0	Index      	 *	Score 	Summary	Detail	
1	22352 46246	 * 	309.89	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1MBVNT|2DMG|3RAT|4MLV|5TLV|6VULN|7DUR|8aRCR|9BLAICY
2	24385 31246	   	306.08	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MBVNT|2RAT|3VULN|4ASPD|5TLV|6DUR|7MLV|8aRCR|9BLAICY
3	61283 31128	 * 	302.34	DCR|DCR|3VULN|1MLV	1MDPS|245VULN|3MBVNT|68RCR|7DUR|9TBNT|aMLV
4	24324 85643	 * 	300.36	DCR|4VULN|3MLV|2RAT|1CDMG	1MBVNT|27RAT|3678VULN|4RMIN|567MLV|67BPWR|9RCR|aCDMG
5	61283 31131	 * 	296.28	DCR|DCR|4VULN	1MDPS|245aVULN|3MBVNT|68RCR|7DUR|9RPLT
6	61283 31137	   	296.19	DCR|DCR|3VULN|1DMG	1MDPS|245VULN|3MBVNT|68RCR|7DUR|9RPLT|aDMG
7	24324 85641	   	295.01	DCR|4VULN|3MLV|2RAT	1MBVNT|27RAT|3678VULN|4RMIN|567MLV|67BPWR|9RCR|aDUR
8	61283 34128	   	293.93	DCR|DCR|3VULN|1MLV	1MDPS|245VULN|3MBVNT|68RCR|7DUST|9TBNT|aMLV
9	61283 31123	   	293.02	DCR|DCR|3VULN|1AAC	1MDPS|245VULN|3MBVNT|68RCR|7DUR|9TBNT|aAAC
10	61283 31173	   	293.02	DCR|DCR|3VULN|1AAC	1MDPS|245VULN|3MBVNT|68RCR|7DUR|9BBNT|aAAC
11	61283 31152	   	292.38	DCR|DCR|3VULN|1ASPD	1MDPS|245VULN|3MBVNT|68RCR|7DUR|9LHND|aASPD
12	61283 31112	   	292.28	DCR|DCR|3VULN|1ASPD	1MDPS|245VULN|3MBVNT|68RCR|7DUR|9BEXP|aASPD
13	61283 34182	   	292.28	DCR|DCR|3VULN|1ASPD	1MDPS|245VULN|3MBVNT|68RCR|7DUST|9DUR|aASPD
14	21472 26246	 * 	290.44	DCR|DCR|2VULN|2ASPD	1MBVNT|2AETHUN|35ASPD|45VULN|5BPWR|6RAT|7DUR|8aRCR|9BLAICY
15	61283 31116	   	289.68	DCR|DCR|3VULN|1CDMG	1MDPS|245VULN|3MBVNT|68RCR|7DUR|9BEXP|aCDMG
16	61283 35131	   	287.97	DCR|DCR|4VULN	1MDPS|245aVULN|3MBVNT|68RCR|7LHND|9RPLT
17	61283 37131	   	287.97	DCR|DCR|4VULN	1MDPS|245aVULN|3MBVNT|68RCR|7LWND|9RPLT
18	12213 14643	   	287.89	DCR|DCR|3VULN|2CDMG	1RPLT|2AEFBLL|3BELT|46aVULN|56CDMG|6BPWR|7ERES|89RCR
19	61283 34131	   	287.87	DCR|DCR|4VULN	1MDPS|245aVULN|3MBVNT|68RCR|7DUST|9RPLT
20	61283 34137	   	287.79	DCR|DCR|3VULN|1DMG	1MDPS|245VULN|3MBVNT|68RCR|7DUST|9RPLT|aDMG
21	24324 85642	   	286.61	DCR|4VULN|3MLV|2RAT	1MBVNT|27RAT|3678VULN|4RMIN|567MLV|67BPWR|9RCR|aAEPOI
22	24324 85644	   	286.61	DCR|4VULN|3MLV|2RAT	1MBVNT|27RAT|3678VULN|4RMIN|567MLV|67BPWR|9RCR|aBEXP
23	24111 61671	   	285.86	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1MBVNT|2RAT|3LSRICY|4VULN|5AAC|6CDMG|79RCR|8LHND|aTLV
24	24111 61771	   	285.86	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1MBVNT|2RAT|3LSRICY|4VULN|5AAC|6CDMG|79RCR|8LWND|aTLV
25	24342 71671	   	285.86	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1MBVNT|2RAT|3VULN|4CDMG|5AAC|6LSRREG|79RCR|8LHND|aTLV
26	24342 71771	   	285.86	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1MBVNT|2RAT|3VULN|4CDMG|5AAC|6LSRREG|79RCR|8LWND|aTLV
27	22318 48338	   	285.74	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1MBVNT|2DMG|3RAT|4MDPS|5ASPD|6MLV|79RCR|8FEWX|aVULN
28	22318 48834	   	285.64	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1MBVNT|2DMG|3RAT|4MDPS|5ASPD|6MLV|79RCR|8BEXP|aVULN
29	61283 35123	   	284.72	DCR|DCR|3VULN|1AAC	1MDPS|245VULN|3MBVNT|68RCR|7LHND|9TBNT|aAAC
30	61283 37123	   	284.72	DCR|DCR|3VULN|1AAC	1MDPS|245VULN|3MBVNT|68RCR|7LWND|9TBNT|aAAC
31	61283 34123	   	284.62	DCR|DCR|3VULN|1AAC	1MDPS|245VULN|3MBVNT|68RCR|7DUST|9TBNT|aAAC
32	61283 34173	   	284.62	DCR|DCR|3VULN|1AAC	1MDPS|245VULN|3MBVNT|68RCR|7DUST|9BBNT|aAAC
33	61283 37143	   	284.62	DCR|DCR|3VULN|1AAC	1MDPS|245VULN|3MBVNT|68RCR|7LWND|9AEWIND|aAAC
34	61283 34152	   	283.98	DCR|DCR|3VULN|1ASPD	1MDPS|245VULN|3MBVNT|68RCR|7DUST|9LHND|aASPD
35	61283 35112	   	283.98	DCR|DCR|3VULN|1ASPD	1MDPS|245VULN|3MBVNT|68RCR|7LHND|9BEXP|aASPD
36	61283 37112	   	283.98	DCR|DCR|3VULN|1ASPD	1MDPS|245VULN|3MBVNT|68RCR|7LWND|9BEXP|aASPD
37	61283 34112	   	283.88	DCR|DCR|3VULN|1ASPD	1MDPS|245VULN|3MBVNT|68RCR|7DUST|9BEXP|aASPD
38	22342 46246	   	283.69	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3RAT|4RMIN|5TLV|6VULN|7DUR|8aRCR|9SPLREG
39	24324 15648	   	283.35	DCR|3VULN|3MLV|1AAC|2RAT	1MBVNT|27RAT|378VULN|4RMIN|567MLV|7BPWR|9RCR|aAAC
40	22352 52474	 * 	283.35	DCR|2MLV|2TLV|2DMG|1VULN|1CDMG	1MBVNT|26DMG|3RAT|4aMLV|56TLV|6BPWR|7RCR|8CDMG|9VULN
41	61283 31127	   	283.07	DCR|DCR|3VULN	1MDPS|245VULN|3MBVNT|68RCR|7DUR|9TBNT|aRAT
42	61283 31134	   	283.07	DCR|DCR|3VULN	1MDPS|245VULN|3MBVNT|68RCR|7DUR|9RPLT|aRAT
43	61283 31118	   	282.97	DCR|DCR|3VULN	1MDPS|245VULN|3MBVNT|68RCR|7DUR|9BEXP|aRAT
44	21472 66443	 * 	282.85	DCR|3VULN|2MLV|3ASPD	1MBVNT|2AETHUN|35aASPD|45aVULN|5aBPWR|6RCR|7TBNT|8AART|9aMLV
45	61283 31154	   	282.68	DCR|DCR|3VULN|2DUR	1MDPS|245VULN|3MBVNT|68RCR|7aDUR|9LHND
46	61283 31181	   	282.68	DCR|DCR|3VULN|2DUR	1MDPS|245VULN|3MBVNT|68RCR|79DUR|aLWND
47	61283 31183	   	282.68	DCR|DCR|3VULN|2DUR	1MDPS|245VULN|3MBVNT|68RCR|79DUR|aFEWX
48	61283 31182	   	282.58	DCR|DCR|3VULN|2DUR	1MDPS|245VULN|3MBVNT|68RCR|79DUR|aBEXP
49	61283 31184	   	282.58	DCR|DCR|3VULN|2DUR	1MDPS|245VULN|3MBVNT|68RCR|79DUR|aDUST
50	61283 34116	   	281.28	DCR|DCR|3VULN|1CDMG	1MDPS|245VULN|3MBVNT|68RCR|7DUST|9BEXP|aCDMG
51	61223 35174	   	280.58	DCR|DCR|2VULN|1DMG|1ASPD	1MDPS|25VULN|3MBVNT|4AEFBLL|68RCR|7LHND|9ASPD|aDMG
52	24324 15643	   	280.11	DCR|3VULN|3MLV|2RAT|1CDMG	1MBVNT|27RAT|378VULN|4RMIN|567MLV|7BPWR|9RCR|aCDMG
