0	Index      	 *	Score 	Summary	Detail	
1	21125 44337	 * 	275.24	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	18VENICY|2AAC|3MULHEA|48MLV|5MBVNT|68VULN|7RCR|8BPWR|9DMG|aTLV
2	12612 63234	 * 	271.44	DCR|4VULN|3MLV	1TBNT|278LHND|378MLV|4BBNT|5RCVC|6789VULN|78BPWR|aRCR
3	21125 44315	   	271.43	DCR|2VULN|2MLV|1TLV|1AAC|1ASPD	18VENICY|2AAC|3MULHEA|48MLV|5MBVNT|68VULN|7RCR|8BPWR|9TLV|aASPD
4	12533 16163	 * 	268.10	DCR|DCR|2VULN|1DMG	1TBNT|2LHND|3DMG|4DUR|5SPLARM|6MDPS|78RCR|9aVULN
5	31512 33522	 * 	266.10	DCR|DCR|2MLV|2RAT	1LWND|2CGEN|34MLV|58RAT|6AART|7DUR|9aRCR
6	31512 33422	   	266.03	DCR|DCR|2MLV|2DUR	1LWND|2CGEN|34MLV|5RAT|6AART|78DUR|9aRCR
7	11433 21346	 * 	262.48	ACR|DCR|3VULN|2DMG	1TBNT|28DMG|3aRCR|4LIT|589VULN|6MBVNT|78DUST|8BPWR
8	61433 21346	   	262.48	ACR|DCR|3VULN|2DMG	1BBNT|28DMG|3aRCR|4LIT|589VULN|6MBVNT|78DUST|8BPWR
9	21125 44314	   	262.12	DCR|2VULN|2MLV|1TLV|1AAC	18VENICY|2AAC|3MULHEA|48MLV|5MBVNT|68VULN|7RCR|8BPWR|9TLV|aRAT
10	11323 16164	   	259.80	DCR|DCR|2VULN|1DMG	1TBNT|2DMG|3LWND|4LHND|5SPLARM|6MDPS|78RCR|9aVULN
11	11223 16163	   	259.70	DCR|DCR|2VULN|1DMG	1TBNT|2DMG|3DUST|4LHND|5SPLARM|6MDPS|78RCR|9aVULN
12	61223 16163	   	259.70	DCR|DCR|2VULN|1DMG	1BBNT|2DMG|3DUST|4LHND|5SPLARM|6MDPS|78RCR|9aVULN
13	31512 33122	   	259.48	DCR|DCR|2MLV	18LWND|2CGEN|34MLV|5RAT|6AART|7DUR|9aRCR
14	21125 44335	   	259.40	DCR|2VULN|2MLV|1DMG|1AAC|1ASPD	18VENICY|2AAC|3MULHEA|48MLV|5MBVNT|68VULN|7RCR|8BPWR|9DMG|aASPD
15	21126 12124	 * 	259.01	DCR|DCR|1VULN|1MLV|1AAC	1VENICY|2AAC|3MULHEA|4MLV|5CGEN|6aRCR|7VULN|8LWND|9LIT
16	12533 16136	   	258.79	DCR|DCR|1VULN|1DMG|1AAC	1TBNT|2LHND|3DMG|4DUR|5SPLARM|6MDPS|78RCR|9AAC|aVULN
17	24321 13253	 * 	255.29	DCR|DCR|1MLV|1DMG|1AAC	1VENICY|2DUR|3BELT|4LIT|5DMG|6AAC|7MLV|8AETHUN|9aRCR
18	21125 44311	   	255.18	DCR|2VULN|2MLV|1TLV|1AAC	18VENICY|2AAC|3MULHEA|48MLV|5MBVNT|68VULN|7RCR|8BPWR|9TLV|aRPLT
19	21125 44312	   	255.18	DCR|2VULN|2MLV|1TLV|1AAC	18VENICY|2AAC|3MULHEA|48MLV|5MBVNT|68VULN|7RCR|8BPWR|9TLV|aAME
20	21125 44317	   	255.18	DCR|2VULN|2MLV|1TLV|1AAC	18VENICY|2AAC|3MULHEA|48MLV|5MBVNT|68VULN|7RCR|8BPWR|9TLV|aLIT
21	21125 44377	   	255.18	DCR|2VULN|2MLV|1TLV|1AAC	18VENICY|2AAC|3MULHEA|48MLV|5MBVNT|68VULN|7RCR|8BPWR|9ZMB|aTLV
22	21125 44313	   	255.08	DCR|2VULN|2MLV|1TLV|1AAC	18VENICY|2AAC|3MULHEA|48MLV|5MBVNT|68VULN|7RCR|8BPWR|9TLV|aDUST
23	21125 44316	   	255.08	DCR|2VULN|2MLV|1TLV|1AAC	18VENICY|2AAC|3MULHEA|48MLV|5MBVNT|68VULN|7RCR|8BPWR|9TLV|aLEGI
24	21125 44318	   	255.08	DCR|2VULN|2MLV|1TLV|1AAC	18VENICY|2AAC|3MULHEA|48MLV|5MBVNT|68VULN|7RCR|8BPWR|9TLV|aBEXP
25	21226 23144	   	252.38	DCR|DCR|1VULN|1AAC|2RAT	1VENICY|2AAC|3DUR|4VULN|58RAT|6BBNT|7aRCR|9CGEN
26	21226 23244	   	252.22	DCR|DCR|1VULN|1AAC|2DUR	1VENICY|2AAC|39DUR|4VULN|5RAT|6BBNT|7aRCR|8ERES
27	41334 12623	 * 	251.71	DCR|2MLV|2TLV|1DMG|1AAC|1CDMG	1aAEFRZ|2DMG|3BELT|4AAC|5aMLV|6RAT|7CDMG|8aTLV|9RCR|aBPWR
28	51334 12623	   	251.71	DCR|2MLV|2TLV|1DMG|1AAC|1CDMG	1aAEPOI|2DMG|3BELT|4AAC|5aMLV|6RAT|7CDMG|8aTLV|9RCR|aBPWR
29	31512 35122	   	251.18	DCR|DCR|2MLV	18LWND|2CGEN|34MLV|5RAT|6AART|7FEWX|9aRCR
30	14231 15221	 * 	250.58	DCR|DCR|1TLV|1DMG|1AAC	1TBNT|2RCVC|34ZMB|4BPWR|5DMG|6TLV|7aRCR|8AAC|9LIT
31	64231 15221	   	250.58	DCR|DCR|1TLV|1DMG|1AAC	1BBNT|2RCVC|34ZMB|4BPWR|5DMG|6TLV|7aRCR|8AAC|9LIT
32	14211 15221	   	250.48	DCR|DCR|1TLV|1DMG|1AAC	1TBNT|2RCVC|3ZMB|4AEPOI|5DMG|6TLV|7aRCR|8AAC|9LIT
33	64211 15221	   	250.48	DCR|DCR|1TLV|1DMG|1AAC	1BBNT|2RCVC|3ZMB|4AEPOI|5DMG|6TLV|7aRCR|8AAC|9LIT
34	11223 16136	   	250.38	DCR|DCR|1VULN|1DMG|1AAC	1TBNT|2DMG|3DUST|4LHND|5SPLARM|6MDPS|78RCR|9AAC|aVULN
35	61223 16136	   	250.38	DCR|DCR|1VULN|1DMG|1AAC	1BBNT|2DMG|3DUST|4LHND|5SPLARM|6MDPS|78RCR|9AAC|aVULN
36	21125 44334	   	250.09	DCR|2VULN|2MLV|1DMG|1AAC	18VENICY|2AAC|3MULHEA|48MLV|5MBVNT|68VULN|7RCR|8BPWR|9DMG|aRAT
37	11323 16165	   	249.84	DCR|DCR|1VULN|1DMG|1ASPD	1TBNT|2DMG|3LWND|4LHND|5SPLARM|6MDPS|78RCR|9VULN|aASPD
38	11223 16165	   	249.74	DCR|DCR|1VULN|1DMG|1ASPD	1TBNT|2DMG|3DUST|4LHND|5SPLARM|6MDPS|78RCR|9VULN|aASPD
39	21125 44237	   	249.23	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1VENICY|2AAC|3MULHEA|4MLV|5MBVNT|68VULN|7RCR|9DMG|aTLV
40	13515 21324	   	248.86	DCR|DCR|1VULN|1MLV	1TBNT|23ERES|4AEPOI|5RAT|6MLV|79RCR|8BBNT|aVULN
41	11433 22326	   	248.85	ACR|DCR|2VULN|2DMG	1TBNT|28DMG|3aRCR|4LIT|58VULN|6MBVNT|78LWND|8BPWR|9DUR
