0	Index      	 *	Score 	Summary	Detail	
1	46243 21133	 * 	286.94	DCR|3MLV|3DMG|1TLV|1ASPD|1CDMG	158DMG|2TLV|38LHND|4ASPD|6CDMG|789MLV|8BPWR|aRCR
2	21613 12125	 * 	286.58	DCR|DCR|3MLV|2RAT|1CDMG	13RAT|23AEPOI|3BPWR|467MLV|5FEWX|8aRCR|9CDMG
3	25613 12125	   	286.58	DCR|DCR|3MLV|2RAT|1CDMG	13RAT|23AEBURN|3BPWR|467MLV|5FEWX|8aRCR|9CDMG
4	46341 22321	 * 	286.06	DCR|DCR|3ASPD|1TLV|1DMG	1DMG|2TLV|3DUR|456ASPD|79RCR|8aLHND
5	46341 22322	   	286.06	DCR|DCR|3ASPD|1TLV|1DMG	1DMG|2TLV|3DUR|456ASPD|79RCR|8LHND|aVENICY
6	46341 22323	   	285.96	DCR|DCR|3ASPD|1TLV|1DMG|1MSE	1DMG|2TLV|3DUR|456ASPD|79RCR|8LHND|aMSE
7	46321 52311	 * 	282.40	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2TLV|3DUR|4AART|5VULN|6LIT|7DMSP|8aRCR|9FRZARM
8	35513 24111	 * 	277.82	DCR|2MLV|2TLV|1VULN|1DMG|1ASPD	17DUST|2AART|3DMG|47MLV|57TLV|6RCR|7BPWR|8VULN|9RAT|aASPD
9	24311 16331	 * 	274.18	ACR|DCR|2TLV|1VULN|2ASPD|1CDMG	1RAT|2CDMG|38ASPD|49RCR|5aTLV|6DUST|7VULN
10	24311 31236	 * 	274.11	ACR|DCR|1VULN|1TLV|1MLV|1ASPD|1CDMG	1RAT|2CDMG|3ASPD|49RCR|5TLV|6RMIN|7MLV|8RCVC|aVULN
11	24311 31536	   	274.01	ACR|DCR|1VULN|1TLV|1MLV|1ASPD|1CDMG	1RAT|2CDMG|3ASPD|49RCR|5TLV|6RMIN|7MLV|8AEWIND|aVULN
12	63631 33343	   	273.99	DCR|DCR|1VULN|1TLV|1DMG	1AETHUN|2DMG|3FEWX|4TBNT|5RPLT|6VULN|7aRCR|8DUR|9TLV
13	35511 52311	 * 	270.49	DCR|DCR|1VULN|1MLV|1DMG	1DUST|2AART|3DMG|4MLV|5VULN|6LIT|7DMSP|8aRCR|9FRZARM
14	35525 32211	   	270.39	DCR|DCR|1VULN|1MLV|1DMG	1DUST|2AART|3DMG|4LIT|5MLV|6AEFBLL|7aRCR|8VULN|9FRZARM
15	15621 32211	   	270.18	DCR|DCR|1VULN|1TLV|1ASPD	1FEWX|2AART|3TLV|4LIT|5ASPD|6AEFBLL|7aRCR|8VULN|9FRZARM
16	26114 32136	 * 	263.18	DCR|DCR|2VULN	1RAT|2TBNT|3BASICY|46VULN|5ERES|7aRCR|8DUR|9AART
17	35513 24123	   	262.93	DCR|2MLV|2TLV|1VULN|1DMG	17DUST|2AART|3DMG|47MLV|57TLV|6RCR|7BPWR|8VULN|9ZMB|aDUR
18	12341 14143	   	261.77	DCR|DCR|1VULN|1TLV|1ASPD	1FEWX|2TBNT|3BEXP|4ASPD|5RPLT|6LEGI|7aRCR|8VULN|9TLV
19	35513 24112	   	261.57	DCR|2MLV|2TLV|1VULN|1DMG	17DUST|2AART|3DMG|47MLV|57TLV|6RCR|7BPWR|8VULN|9RAT|aLHND
20	35513 24113	   	261.57	DCR|2MLV|2TLV|1VULN|1DMG	17DUST|2AART|3DMG|47MLV|57TLV|6RCR|7BPWR|8VULN|9RAT|aCGEN
21	35513 24132	   	261.47	DCR|2MLV|2TLV|1VULN|1DMG	179DUST|2AART|3DMG|47MLV|57TLV|6RCR|7BPWR|8VULN|aRAT
22	13222 21125	   	260.32	DCR|DCR|2VULN|1CDMG	1FEWX|25VULN|3LHND|4RAT|6AEPOI|7CGEN|8aRCR|9CDMG
23	13222 16125	   	260.22	DCR|DCR|2VULN|1CDMG	1FEWX|25VULN|3LHND|4RAT|6ERES|7AEWIND|8aRCR|9CDMG
24	24311 43336	   	260.10	ACR|DCR|1VULN|1TLV|2ASPD|1CDMG	1RAT|2CDMG|38ASPD|49RCR|5TLV|6FEWX|7RCVC|aVULN
25	24311 13336	   	260.00	ACR|DCR|1VULN|1TLV|2ASPD|1CDMG	1RAT|2CDMG|38ASPD|49RCR|5TLV|6DUST|7RCVC|aVULN
26	24311 16334	   	260.00	ACR|DCR|1VULN|1TLV|2ASPD|1CDMG	1RAT|2CDMG|38ASPD|49RCR|5TLV|6DUST|7VULN|aCGEN
27	24311 16335	   	260.00	ACR|DCR|1VULN|1TLV|2ASPD|1CDMG	1RAT|2CDMG|38ASPD|49RCR|5TLV|6DUST|7VULN|aAME
28	24311 16332	   	259.90	ACR|DCR|1VULN|1TLV|2ASPD|1CDMG	1RAT|2CDMG|38ASPD|49RCR|5TLV|6DUST|7VULN|aAEFRZ
29	24311 16333	   	259.90	ACR|DCR|1VULN|1TLV|2ASPD|1CDMG	1RAT|2CDMG|38ASPD|49RCR|5TLV|6DUST|7VULN|aAEPOI
30	24311 16336	   	259.90	ACR|DCR|1VULN|1TLV|2ASPD|1CDMG	1RAT|2CDMG|38ASPD|49RCR|5TLV|6DUST|7VULN|aAEBURN
31	24311 13131	   	259.59	ACR|DCR|2TLV|1VULN|1ASPD|1CDMG	1RAT|2CDMG|3ASPD|49RCR|5aTLV|6DUST|7RCVC|8VULN
32	24311 16531	   	259.59	ACR|DCR|2TLV|1VULN|1ASPD|1CDMG	1RAT|2CDMG|3ASPD|49RCR|5aTLV|6DUST|7VULN|8RCVC
33	24311 16131	   	259.49	ACR|DCR|2TLV|1VULN|1ASPD|1CDMG	1RAT|2CDMG|3ASPD|49RCR|5aTLV|68DUST|7VULN
34	24153 23513	 * 	258.78	DCR|2TLV|1VULN|1DMG|2CDMG|1AAC|1ASPD|2RAT	17RAT|27CDMG|3VULN|4ASPD|57TLV|6AAC|7BPWR|8TBNT|9RCR|aDMG
35	15513 24111	   	257.95	DCR|2MLV|2TLV|1VULN|1ASPD	17FEWX|2AART|3ZMB|47MLV|57TLV|6RCR|7BPWR|8VULN|9RAT|aASPD
36	26316 43113	 * 	257.26	DCR|DCR|1TLV|1MLV	1RAT|2TBNT|3AEBURN|4MLV|5TLV|69RCR|7BASICY|8AME|aDUR
37	26322 43413	   	257.26	DCR|DCR|1VULN|1MLV	1RAT|2TBNT|3AEBURN|4DMSP|5VULN|69RCR|7BASICY|8MLV|aDUR
