0	Index      	 *	Score 	Summary	Detail	
1	26242 34173	 * 	288.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MBVNT|2TBNT|3DLOT|4MLV|5CDMG|6ZMB|7aRCR|8VULN|9TLV
2	23247 67124	 * 	287.48	DCR|4VULN|2MLV|2CDMG|1AAC	1MBVNT|28CDMG|389aVULN|4AAC|5BBNT|68MLV|7RCR|8BPWR
3	27164 21743	 * 	287.03	DCR|3VULN|2TLV|3ASPD	1MBVNT|27aASPD|3DUR|4AART|5aTLV|68aVULN|9RCR|aBPWR
4	23216 33773	   	286.58	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1MBVNT|2CDMG|3VULN|4DUR|5ASPD|6TLV|7TBNT|8aRCR|9DLOT
5	22148 34646	 * 	284.76	DCR|DCR|2VULN|1TLV	1MBVNT|2DUR|3RMIN|49VULN|5VENFST|68RCR|7LIT|aTLV
6	25728 32424	 * 	283.58	DCR|3VULN|2MLV|2TLV	1MBVNT|2RAT|35TLV|457VULN|5BPWR|6CGEN|89MLV|aRCR
7	32356 23241	 * 	282.68	DCR|DCR|3VULN|2DUR	17DUR|28AEBURN|35aVULN|4RCVC|69RCR
8	32336 23441	   	282.58	DCR|DCR|3VULN|2DUR	17DUR|24AEBURN|35aVULN|69RCR|8AEWIND
9	27264 21743	   	278.62	DCR|3VULN|2TLV|3ASPD	1MBVNT|27aASPD|3BEXP|4AART|5aTLV|68aVULN|9RCR|aBPWR
10	21163 22746	   	277.87	DCR|DCR|2VULN|1AAC	1MBVNT|2ZMB|3DUR|4AART|5AAC|68VULN|7AEFRZ|9aRCR
11	22148 34647	   	276.13	DCR|DCR|3VULN	1MBVNT|2DUR|3RMIN|49aVULN|5VENFST|68RCR|7LIT
12	23247 67121	   	275.64	DCR|3VULN|2MLV|2CDMG|1AAC	1MBVNT|28CDMG|389VULN|4AAC|5BBNT|68MLV|7RCR|8BPWR|aDUR
13	22148 34621	   	272.97	DCR|DCR|2VULN|2DUR|2RAT	1MBVNT|2aDUR|3RMIN|4aVULN|5VENFST|68RCR|7LIT|9aRAT|aBPWR
14	35128 34621	   	272.97	DCR|DCR|2VULN|2DUR|2RAT	1aDUR|2aVULN|3RMIN|4MBVNT|5VENFST|68RCR|7LIT|9aRAT|aBPWR
15	36148 34621	   	272.97	DCR|DCR|2VULN|2DUR|2RAT	1aDUR|2MBVNT|3RMIN|4aVULN|5VENFST|68RCR|7LIT|9aRAT|aBPWR
16	35232 25233	 * 	272.63	DCR|DCR|2VULN|1DMG	1DUR|29VULN|3DMG|4LWND|5BEXP|6MDPS|7DLOT|8aRCR
17	35235 25233	   	272.63	DCR|DCR|2VULN|1DMG	1DUR|29VULN|3DMG|4LWND|5DUST|6MDPS|7DLOT|8aRCR
18	35212 25233	   	272.53	DCR|DCR|2VULN|1DMG	1DUR|29VULN|3DMG|4AETHUN|5BEXP|6MDPS|7DLOT|8aRCR
19	35215 25233	   	272.53	DCR|DCR|2VULN|1DMG	1DUR|29VULN|3DMG|4AETHUN|5DUST|6MDPS|7DLOT|8aRCR
20	26242 61483	   	272.29	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1MBVNT|2TBNT|3DLOT|4MLV|5CDMG|6DUST|7VULN|8aRCR|9ASPD
21	25246 12614	 * 	271.89	DCR|4VULN|1TLV|1MLV|2RAT	1MBVNT|27RAT|3567VULN|467AEPOI|67BPWR|8TLV|9RCR|aMLV
22	21163 11746	 * 	271.54	DCR|DCR|1VULN|2AAC|2DUR	1MBVNT|2ZMB|37DUR|4AART|56AAC|8VULN|9aRCR
23	31264 26331	   	271.33	DCR|DCR|1TLV|1MLV|1ASPD	1DUR|2LIT|3ASPD|4RAT|5MLV|68RCR|7CGEN|9BELT|aTLV
24	23317 67124	   	270.59	DCR|4VULN|2MLV|2CDMG	1MBVNT|28CDMG|3ZMB|489aVULN|5BBNT|68MLV|7RCR|8BPWR
25	25271 42312	   	270.22	DCR|3VULN|1TLV|2ASPD|2RAT|1CDMG	1MBVNT|27RAT|379VULN|4CDMG|5LWND|67ASPD|7BPWR|8RCR|aTLV
26	25272 42312	   	270.22	DCR|3VULN|1TLV|2ASPD|2RAT|1CDMG	1MBVNT|27RAT|379VULN|4CDMG|5FEWX|67ASPD|7BPWR|8RCR|aTLV
27	25272 42722	   	270.22	DCR|3VULN|1TLV|2ASPD|2RAT|1CDMG	1MBVNT|27RAT|378VULN|4CDMG|5FEWX|67ASPD|7BPWR|9RCR|aTLV
28	25274 42312	   	270.12	DCR|3VULN|1TLV|2ASPD|2RAT|1CDMG	1MBVNT|27RAT|379VULN|4CDMG|5BEXP|67ASPD|7BPWR|8RCR|aTLV
29	23251 42312	 * 	269.92	DCR|3VULN|1TLV|2ASPD|2CDMG	1MBVNT|27CDMG|379VULN|4RAT|5LWND|67ASPD|7BPWR|8RCR|aTLV
30	23252 42312	   	269.92	DCR|3VULN|1TLV|2ASPD|2CDMG	1MBVNT|27CDMG|379VULN|4RAT|5FEWX|67ASPD|7BPWR|8RCR|aTLV
31	23252 42722	   	269.92	DCR|3VULN|1TLV|2ASPD|2CDMG	1MBVNT|27CDMG|378VULN|4RAT|5FEWX|67ASPD|7BPWR|9RCR|aTLV
32	25772 22334	 * 	269.86	DCR|DCR|2TLV|2DUR|2RAT|1CDMG	1MBVNT|27RAT|37TLV|4LWND|5CDMG|67DUR|7BPWR|8aRCR|9BASICY
33	23254 42312	   	269.82	DCR|3VULN|1TLV|2ASPD|2CDMG	1MBVNT|27CDMG|379VULN|4RAT|5BEXP|67ASPD|7BPWR|8RCR|aTLV
34	25216 12334	 * 	269.75	DCR|5VULN|1TLV|3RAT	1MBVNT|267RAT|34567VULN|67BPWR|8AEPOI|9TLV|aRCR
35	21263 22746	   	269.46	DCR|DCR|2VULN|1AAC	1MBVNT|2ZMB|3BEXP|4AART|5AAC|68VULN|7AEFRZ|9aRCR
36	25228 22424	   	269.41	DCR|3VULN|2MLV|1TLV	1MBVNT|2RAT|357VULN|45CGEN|5BPWR|6TLV|89MLV|aRCR
37	25328 22424	   	269.41	DCR|3VULN|2MLV|1TLV	1MBVNT|2RAT|35CGEN|457VULN|5BPWR|6TLV|89MLV|aRCR
38	25213 22424	   	269.31	DCR|3VULN|2MLV|1TLV	1MBVNT|2RAT|347VULN|5CGEN|6TLV|89MLV|aRCR
39	25213 82624	   	269.31	DCR|3VULN|2MLV|1TLV	1MBVNT|2RAT|347VULN|5CGEN|69MLV|8TLV|aRCR
40	25217 22424	   	269.21	DCR|3VULN|2MLV|1TLV	1MBVNT|2RAT|347VULN|5ERES|6TLV|89MLV|aRCR
41	35361 25233	   	268.82	DCR|DCR|2VULN|1ASPD	1DUR|29VULN|3LEGI|4FEWX|5ASPD|6MDPS|7DLOT|8aRCR
42	33341 21355	   	268.73	DCR|DCR|1TLV|1AAC|1ASPD|1CDMG	1DUR|2CDMG|3ZMB|4FRZARM|5TLV|6RMIN|7AAC|89RCR|aASPD
43	35236 23123	 * 	267.38	DCR|2VULN|2MLV|1TLV|1DMG	1DUR|25VULN|3DMG|4LWND|6TLV|7BBNT|8aMLV|9RCR
44	23247 67114	   	267.33	DCR|3VULN|2MLV|2CDMG|1AAC	1MBVNT|28CDMG|38aVULN|4AAC|5BBNT|68MLV|7RCR|8BPWR|9DMSP
45	23247 67122	   	267.33	DCR|3VULN|2MLV|2CDMG|1AAC	1MBVNT|28CDMG|389VULN|4AAC|5BBNT|68MLV|7RCR|8BPWR|aFEWX
46	23247 67123	   	267.23	DCR|3VULN|2MLV|2CDMG|1AAC	1MBVNT|28CDMG|389VULN|4AAC|5BBNT|68MLV|7RCR|8BPWR|aAEWIND
47	31225 35131	   	267.14	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2LIT|3ASPD|4BEXP|5LHND|6VULN|7aRCR|8TBNT|9MLV
48	21142 12873	   	266.22	DCR|DCR|2VULN|1CDMG	1MBVNT|2ZMB|3DUR|48VULN|5BEXP|6CDMG|7aRCR|9DLOT
49	21146 12873	   	266.22	DCR|DCR|2VULN|1CDMG	1MBVNT|2ZMB|3DUR|48VULN|5DUST|6CDMG|7aRCR|9DLOT
50	22742 12873	   	266.22	DCR|DCR|2VULN|1CDMG	1MBVNT|2DUR|3ZMB|48VULN|5BEXP|6CDMG|7aRCR|9DLOT
51	25228 22418	   	265.37	DCR|4VULN|1TLV|1MLV	1MBVNT|2RAT|357aVULN|45CGEN|5BPWR|6TLV|8MLV|9RCR
52	25328 22418	   	265.37	DCR|4VULN|1TLV|1MLV	1MBVNT|2RAT|35CGEN|457aVULN|5BPWR|6TLV|8MLV|9RCR
53	25213 22418	   	265.27	DCR|4VULN|1TLV|1MLV	1MBVNT|2RAT|347aVULN|5CGEN|6TLV|8MLV|9RCR
54	25217 22418	   	265.17	DCR|4VULN|1TLV|1MLV	1MBVNT|2RAT|347aVULN|5ERES|6TLV|8MLV|9RCR
55	21162 43746	   	264.99	DCR|DCR|1VULN|2AAC	1MBVNT|25ZMB|3DUR|4AART|67AAC|8VULN|9aRCR
56	25271 42315	 * 	264.33	DCR|3VULN|2ASPD|1MLV|2RAT|1CDMG	1MBVNT|27RAT|379VULN|4CDMG|5LWND|67ASPD|7BPWR|8RCR|aMLV
57	25272 42315	   	264.33	DCR|3VULN|2ASPD|1MLV|2RAT|1CDMG	1MBVNT|27RAT|379VULN|4CDMG|5FEWX|67ASPD|7BPWR|8RCR|aMLV
58	25274 42315	   	264.23	DCR|3VULN|2ASPD|1MLV|2RAT|1CDMG	1MBVNT|27RAT|379VULN|4CDMG|5BEXP|67ASPD|7BPWR|8RCR|aMLV
59	23251 42315	 * 	264.03	DCR|3VULN|2ASPD|1MLV|2CDMG	1MBVNT|27CDMG|379VULN|4RAT|5LWND|67ASPD|7BPWR|8RCR|aMLV
60	23252 42315	   	264.03	DCR|3VULN|2ASPD|1MLV|2CDMG	1MBVNT|27CDMG|379VULN|4RAT|5FEWX|67ASPD|7BPWR|8RCR|aMLV
61	23252 42725	   	264.03	DCR|3VULN|2ASPD|1MLV|2CDMG	1MBVNT|27CDMG|378VULN|4RAT|5FEWX|67ASPD|7BPWR|9RCR|aMLV
62	25246 12424	   	263.98	DCR|4VULN|2MLV|2RAT	1MBVNT|27RAT|3567VULN|467AEPOI|67BPWR|89MLV|aRCR
63	23254 42315	   	263.93	DCR|3VULN|2ASPD|1MLV|2CDMG	1MBVNT|27CDMG|379VULN|4RAT|5BEXP|67ASPD|7BPWR|8RCR|aMLV
64	27162 21446	 * 	263.83	DCR|DCR|1VULN|2ASPD	1MBVNT|27ASPD|3DUR|4AART|5ZMB|6VULN|8RCVC|9aRCR
65	27162 21146	   	263.73	DCR|DCR|1VULN|2ASPD	1MBVNT|27ASPD|3DUR|4AART|5ZMB|6VULN|8AEFRZ|9aRCR
66	31264 26313	 * 	263.42	DCR|DCR|2MLV|1ASPD	1DUR|2LIT|3ASPD|4RAT|5aMLV|68RCR|7CGEN|9RPLT
67	22148 34636	   	263.23	DCR|DCR|1VULN|1TLV|2DUR	1MBVNT|29DUR|3RMIN|4VULN|5VENFST|68RCR|7LIT|aTLV
68	25523 32352	   	262.74	DCR|2VULN|2MLV|1TLV|1AAC	1MBVNT|2RAT|3AAC|47VULN|5ZMB|6RCR|8aMLV|9TLV
69	28823 32352	   	262.74	DCR|2VULN|2MLV|1TLV|1AAC	1MBVNT|2AAC|3RAT|47VULN|5ZMB|6RCR|8aMLV|9TLV
70	22248 22637	 * 	262.24	DCR|DCR|2DMG|1VULN	1MBVNT|2DUR|38DMG|4VULN|5VENFST|6FEWX|7aRCR|9LWND
71	46611 32221	 * 	262.16	DCR|3MLV|1VULN|1TLV|1CDMG	13AEFRZ|236MLV|3BPWR|4AART|5RAT|7RCR|8VULN|9CDMG|aTLV
72	25523 32351	   	262.02	DCR|3VULN|1TLV|1MLV|1AAC	1MBVNT|2RAT|3AAC|47aVULN|5ZMB|6RCR|8MLV|9TLV
