0	Index      	 *	Score 	Summary	Detail	
1	53223 34412	 * 	327.31	DCR|DCR|2VULN|1TLV|1MLV|1ASPD	1MLV|2RCVC|3TLV|4DUST|5AART|67VULN|8aRCR|9ASPD
2	15331 34311	   	322.92	DCR|DCR|2VULN|1TLV|1MLV|1DMG	1AEFRZ|24VULN|34LIT|4BPWR|5MLV|6TLV|7DMG|8aRCR|9RCVC
3	51233 34412	   	310.28	DCR|DCR|2VULN|1MLV|1ASPD|2DUR	1MLV|24DUR|34CGEN|4BPWR|5AART|67VULN|8aRCR|9ASPD
4	64221 13142	   	304.92	DCR|DCR|2VULN|1TLV|1DMG	1RMIN|2DMG|35VULN|4AME|6AART|7TLV|8ERES|9aRCR
5	64221 13362	   	304.92	DCR|DCR|2VULN|1TLV|1DMG	1RMIN|2DMG|35VULN|4AME|6AART|7TLV|8aRCR|9ERES
6	51213 34412	   	303.63	DCR|DCR|2VULN|1MLV|1ASPD	1MLV|2DUR|34CGEN|5AART|67VULN|8aRCR|9ASPD
7	63621 13142	   	301.75	DCR|DCR|2VULN|1TLV|1AAC	1RMIN|25VULN|3AAC|4AME|6AART|7TLV|8ERES|9aRCR
8	63621 13362	   	301.75	DCR|DCR|2VULN|1TLV|1AAC	1RMIN|25VULN|3AAC|4AME|6AART|7TLV|8aRCR|9ERES
9	15411 13412	   	301.11	DCR|DCR|2VULN|1TLV|1ASPD	1AEFRZ|25VULN|3FEWX|4CGEN|6AART|7TLV|8aRCR|9ASPD
10	15421 13312	   	301.11	DCR|DCR|2VULN|1TLV|1ASPD	1AEFRZ|25VULN|3FEWX|4AME|6AART|7TLV|8aRCR|9ASPD
11	63111 13412	   	301.11	DCR|DCR|2VULN|1TLV|1ASPD	1RMIN|25VULN|3ERES|4CGEN|6AART|7TLV|8aRCR|9ASPD
12	63121 13412	   	301.11	DCR|DCR|2VULN|1TLV|1ASPD	1RMIN|25VULN|3ERES|4AME|6AART|7TLV|8aRCR|9ASPD
13	63311 13312	   	301.11	DCR|DCR|2VULN|1TLV|1ASPD	1RMIN|25VULN|3LWND|4AEBURN|6AART|7TLV|8aRCR|9ASPD
14	63341 13312	   	301.11	DCR|DCR|2VULN|1TLV|1ASPD	1RMIN|25VULN|3LWND|4AEPOI|6AART|7TLV|8aRCR|9ASPD
15	63351 13312	   	301.11	DCR|DCR|2VULN|1TLV|1ASPD	1RMIN|25VULN|3LWND|4AEFRZ|6AART|7TLV|8aRCR|9ASPD
16	15111 16412	   	301.01	DCR|DCR|2VULN|1TLV|1ASPD	1AEFRZ|25VULN|3LEGI|4CGEN|6AART|7TLV|8aRCR|9ASPD
17	15111 43412	   	301.01	DCR|DCR|2VULN|1TLV|1ASPD	1AEFRZ|25VULN|3LEGI|4CGEN|6TLV|7AART|8aRCR|9ASPD
18	15121 16312	   	301.01	DCR|DCR|2VULN|1TLV|1ASPD	1AEFRZ|25VULN|3LEGI|4AME|6AART|7TLV|8aRCR|9ASPD
19	15121 43312	   	301.01	DCR|DCR|2VULN|1TLV|1ASPD	1AEFRZ|25VULN|3LEGI|4AME|6TLV|7AART|8aRCR|9ASPD
20	15511 13412	   	301.01	DCR|DCR|2VULN|1TLV|1ASPD	1AEFRZ|25VULN|3DUST|4CGEN|6AART|7TLV|8aRCR|9ASPD
21	15521 13412	   	301.01	DCR|DCR|2VULN|1TLV|1ASPD	1AEFRZ|25VULN|3DUST|4AME|6AART|7TLV|8aRCR|9ASPD
22	31233 14246	 * 	300.02	DCR|DCR|3VULN|1TLV	1RPLT|25aVULN|3CGEN|4LHND|67RCR|8BEXP|9TLV
23	31233 14653	   	300.02	DCR|DCR|3VULN|1TLV	1RPLT|25aVULN|3CGEN|4LHND|67RCR|8BASARM|9TLV
24	36313 51363	 * 	297.32	DCR|DCR|2MLV|1VULN|1AAC|1CDMG	1RPLT|2CDMG|3LWND|4AEPOI|5AAC|67MLV|89RCR|aVULN
25	36333 51363	   	297.32	DCR|DCR|2MLV|1VULN|1AAC|1CDMG	1RPLT|2CDMG|3LWND|4AEWIND|5AAC|67MLV|89RCR|aVULN
