0	Index      	 *	Score 	Summary	Detail	
1	42224 84831	 * 	310.91	橙3易伤2矿等2等级1伤害1攻速	1双倍秒伤27等级3加一4伤害57a易伤67矿等7序列升级8核9攻速
2	32413 62225	 * 	305.44	橙橙2易伤1等级1伤害2随机技能	1a暴雪减费2金币生成3双倍秒伤4a随机技能5等级69核7伤害8a易伤a序列升级
3	43113 62225	   	305.44	橙橙2易伤1等级1伤害2随机技能	1双倍秒伤2a烈焰减费3金币生成4a随机技能5等级69核7伤害8a易伤a序列升级
4	42224 84841	 * 	296.07	橙3矿等2易伤2等级1伤害	1双倍秒伤27等级3加一4伤害57易伤67a矿等7序列升级8核9最后敌人
5	42224 84844	   	294.66	橙3易伤2矿等2等级1伤害	1双倍秒伤27等级3加一4伤害57a易伤67矿等7序列升级8核9最后敌人
6	42224 84821	   	289.32	橙2易伤2矿等2等级1伤害1技能	1双倍秒伤27等级3加一4伤害57易伤67矿等7序列升级8核9风暴减费a技能
7	42224 84832	   	288.77	橙2易伤2矿等2等级1伤害1攻速	1双倍秒伤27等级3加一4伤害57易伤67矿等7序列升级8核9攻速a低血量敌人
8	42224 84833	   	288.77	橙2易伤2矿等2等级1伤害1攻速	1双倍秒伤27等级3加一4伤害57易伤67矿等7序列升级8核9攻速a赏金塔
9	42224 84834	   	288.67	橙2易伤2矿等2等级1伤害1攻速1挖怪	1双倍秒伤27等级3加一4伤害57易伤67矿等7序列升级8核9攻速a挖怪
10	42142 12212	   	288.25	橙3易伤2矿等2等级2随机技能	1双倍秒伤27等级39a易伤47矿等57随机技能6赏金邻近7序列升级8核
11	42142 12214	   	286.17	橙2易伤2矿等2等级1伤害2随机技能	1双倍秒伤27等级39易伤47矿等57随机技能6赏金邻近7序列升级8核a伤害
12	32413 61225	   	285.37	橙橙2易伤1等级2随机技能	1a暴雪减费2金币生成3双倍秒伤4a随机技能5等级69核7策反8a易伤a序列升级
13	43113 61225	   	285.37	橙橙2易伤1等级2随机技能	1双倍秒伤2a烈焰减费3金币生成4a随机技能5等级69核7策反8a易伤a序列升级
14	34324 21316	 * 	284.23	紫橙3矿等1等级1攻速1暴击	1暴雪减费2暴击39核4攻速58a矿等6基地爆炸7等级
15	42512 52212	 * 	281.61	橙4易伤2等级1矿等2随机技能	1双倍秒伤27等级3矿等47随机技能5赏金邻近679a易伤7序列升级8核
16	42562 12212	   	281.61	橙4易伤2等级1矿等2随机技能	1双倍秒伤27等级3矿等479a易伤57随机技能6赏金邻近7序列升级8核
