0	Index      	 *	Score 	Summary	Detail	
1	25253 21332	 * 	221.54	DCR|3ASPD|2VULN|2AART	157ASPD|2RCVC|3RMIN|48VULN|6RCR|9aAART
2	21136 13154	 * 	219.57	DCR|3VULN|2ASPD|1AART|2CDMG	1aASPD|2aLHND|3AART|4AME|56CDMG|79aVULN|8RCR|aBPWR
3	21115 13154	   	219.47	DCR|3VULN|2ASPD|1AART|2CDMG	1aASPD|2aLHND|3AART|4TLV|56CDMG|79aVULN|8RCR|aBPWR
4	25643 21232	 * 	218.68	DCR|3ASPD|2VULN|2CDMG|1DMG	157ASPD|2RCVC|3aVULN|4DMG|6RCR|8aCGEN|9aCDMG|aBPWR
5	25643 21333	 * 	218.60	DCR|3ASPD|2DMG|1VULN|1CDMG|1ZMB	157ASPD|2RCVC|3VULN|4aDMG|6RCR|8CDMG|9ZMB
6	21136 53123	 * 	216.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1ASPD|2LHND|36AART|4AME|5CDMG|7aVULN|8RCR|9DMG
7	21115 53123	   	215.93	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1ASPD|2LHND|36AART|4TLV|5CDMG|7aVULN|8RCR|9DMG
8	25632 23221	 * 	215.54	DCR|4VULN|2ASPD|2CDMG	17ASPD|2RCVC|3679VULN|47CDMG|5DMSP|7BPWR|8RMIN|aRCR
9	25522 22261	 * 	214.03	DCR|2SPLARM|2VULN|2ASPD|1AART|1CDMG	19ASPD|2RCVC|39SPLARM|4AART|5LHND|6CDMG|79VULN|8RPLT|9BPWR|aRCR
10	25643 22232	 * 	213.97	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	15ASPD|2RCVC|3aVULN|4DMG|6RCR|7DUR|8LWND|9AART
11	25643 22312	   	213.87	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	15ASPD|2RCVC|3aVULN|4DMG|6RCR|7DUR|8AART|9DUST
12	21136 53152	 * 	213.80	DCR|3VULN|2AART|1ASPD|1CDMG	1ASPD|2LHND|36AART|4AME|5CDMG|79aVULN|8RCR
13	25253 21333	   	213.77	DCR|3ASPD|2VULN|1AART|1DUR	157ASPD|2RCVC|3RMIN|48VULN|6RCR|9AART|aDUR
14	21115 53152	   	213.70	DCR|3VULN|2AART|1ASPD|1CDMG	1ASPD|2LHND|36AART|4TLV|5CDMG|79aVULN|8RCR
15	25643 22231	 * 	213.65	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE|1DUR	15ASPD|2RCVC|3VULN|4DMG|6RCR|7DUR|8LWND|9AART|aNUKE
16	25643 22311	   	213.55	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE|1DUR	15ASPD|2RCVC|3VULN|4DMG|6RCR|7DUR|8AART|9DUST|aNUKE
17	23543 22413	 * 	211.95	DCR|3ASPD|2DMG|1VULN|1AART	158ASPD|238DUST|48DMG|6RCR|7AART|8BPWR|9FEWX|aVULN
18	25632 23121	   	211.38	DCR|4VULN|2ASPD|2CDMG	17ASPD|2RCVC|3679VULN|47CDMG|5DMSP|7BPWR|8AME|aRCR
19	61521 21413	   	210.25	DCR|3ASPD|2DMG|1VULN|1AART	148FEWX|2AART|358ASPD|68DMG|7RCR|8BPWR|9BEXP|aVULN
20	22163 23353	 * 	210.16	DCR|2ASPD|1VULN|1AART|2CDMG|1NUKE	19ASPD|26CDMG|3RPLT|4RMIN|5VULN|7RCR|8AART|aNUKE
21	23543 22522	   	210.03	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	15ASPD|23DUST|4DMG|6RCR|7AART|8aVULN|9DUR
22	21146 13126	 * 	210.01	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1ASPD|2LHND|3aAART|4RMIN|56CDMG|7VULN|8RCR|9DMG
23	23543 22521	   	209.71	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE|1DUR	15ASPD|23DUST|4DMG|6RCR|7AART|8VULN|9DUR|aNUKE
24	23543 22423	 * 	209.08	DCR|3ASPD|2DMG|1MDPS|1AART|1NUKE	158ASPD|238DUST|48DMG|6RCR|7AART|8BPWR|9MDPS|aNUKE
25	23452 23241	   	208.64	DCR|2ASPD|1VULN|1AART|1DMG|2DUR|2ZMB	18ASPD|25DUST|38ZMB|48DUR|6RCR|7AART|8BPWR|9VULN|aDMG
26	21136 51433	   	208.30	DCR|2VULN|2AART|1ASPD|1CDMG|1ZMB	1ASPD|2LHND|36AART|4AME|5CDMG|7RCR|8ZMB|9aVULN
27	61521 21522	   	208.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	14FEWX|2AART|35ASPD|6DMG|7RCR|8aVULN|9DUR
28	21115 51433	   	208.20	DCR|2VULN|2AART|1ASPD|1CDMG|1ZMB	1ASPD|2LHND|36AART|4TLV|5CDMG|7RCR|8ZMB|9aVULN
29	52261 15123	   	208.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1MSLFST|2ZMB|35VULN|49ASPD|6AART|7LIT|8RCR|aDMG
30	61521 21521	   	207.91	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE|1DUR	14FEWX|2AART|35ASPD|6DMG|7RCR|8VULN|9DUR|aNUKE
31	61521 21423	   	207.38	DCR|3ASPD|2DMG|1MDPS|1AART|1NUKE	148FEWX|2AART|358ASPD|68DMG|7RCR|8BPWR|9MDPS|aNUKE
32	21136 13123	 * 	207.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1ASPD|2LHND|3AART|4AME|56CDMG|7aVULN|8RCR|9DMG
33	21115 13123	   	207.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1ASPD|2LHND|3AART|4TLV|56CDMG|7aVULN|8RCR|9DMG
34	23136 13123	   	207.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1ASPD|2DUST|3AART|4AME|56CDMG|7aVULN|8RCR|9DMG
35	61515 13123	   	207.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1FEWX|2AART|3ASPD|4TLV|56CDMG|7aVULN|8RCR|9DMG
36	23115 13123	   	207.18	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1ASPD|2DUST|3AART|4TLV|56CDMG|7aVULN|8RCR|9DMG
