0	Index      	 *	Score 	Summary	Detail	
1	23112 45251	 * 	269.81	DCR|3VULN|3DMG|3CDMG|1AART|1ASPD	178DMG|278CDMG|3BEXP|4ERES|578VULN|6RCR|78BPWR|9ASPD|aAART
2	23112 45231	   	260.08	DCR|3VULN|3DMG|3CDMG|1AART|1ZMB	178DMG|278CDMG|3BEXP|4ERES|578VULN|6RCR|78BPWR|9ZMB|aAART
3	23512 45231	   	259.98	DCR|3VULN|3DMG|3CDMG|1AART|1ZMB	178DMG|278CDMG|3DUST|4ERES|578VULN|6RCR|78BPWR|9ZMB|aAART
4	23112 45223	   	249.65	DCR|3VULN|3DMG|3CDMG|1AART	178DMG|278CDMG|3BEXP|4ERES|578VULN|6RCR|78BPWR|9MSLFST|aAART
5	23512 45223	   	249.55	DCR|3VULN|3DMG|3CDMG|1AART	178DMG|278CDMG|3DUST|4ERES|578VULN|6RCR|78BPWR|9MSLFST|aAART
6	23112 45252	   	246.03	DCR|3VULN|3DMG|3CDMG|1ASPD	178DMG|278CDMG|3BEXP|4ERES|578VULN|6RCR|78BPWR|9ASPD|aFEWX
7	23112 45253	   	246.03	DCR|3VULN|3DMG|3CDMG|1ASPD	178DMG|278CDMG|3aBEXP|4ERES|578VULN|6RCR|78BPWR|9ASPD
8	23112 45225	 * 	244.69	DCR|3VULN|3DMG|1MDPS|3CDMG	178DMG|278CDMG|3BEXP|4ERES|578VULN|6RCR|78BPWR|9MSLFST|aMDPS
9	23112 45211	   	242.77	DCR|3VULN|3DMG|3CDMG|1AART|1AAC	178DMG|278CDMG|3BEXP|4ERES|578VULN|6RCR|78BPWR|9AAC|aAART
10	23512 45211	   	242.67	DCR|3VULN|3DMG|3CDMG|1AART|1AAC	178DMG|278CDMG|3DUST|4ERES|578VULN|6RCR|78BPWR|9AAC|aAART
11	23112 45243	 * 	241.82	DCR|4VULN|3DMG|3CDMG	178DMG|278CDMG|3BEXP|4ERES|578aVULN|6RCR|78BPWR|9BELT
12	23112 45261	   	241.82	DCR|4VULN|3DMG|3CDMG	178DMG|278CDMG|3BEXP|4ERES|5789VULN|6RCR|78BPWR|aRPLT
13	23112 45262	   	241.82	DCR|4VULN|3DMG|3CDMG	178DMG|278CDMG|3BEXP|4ERES|5789VULN|6RCR|78BPWR|aAME
14	23112 45263	   	241.82	DCR|4VULN|3DMG|3CDMG	178DMG|278CDMG|3BEXP|4ERES|5789VULN|6RCR|78BPWR|aLHND
