0	Index      	 *	Score 	Summary	Detail	
1	23362 22651	 * 	254.44	DCR|2SPLARM|2VULN|2ASPD|1AART|1DMG|1CDMG|1AAC	1AAC|2AART|37VULN|47SPLARM|5RCVC|67ASPD|7BPWR|8RCR|9DMG|aCDMG
2	23362 22642	 * 	254.26	DCR|2SPLARM|2VULN|2AART|2ASPD|1DMG|1AAC	1AAC|29AART|37VULN|47SPLARM|5RCVC|67ASPD|7BPWR|8RCR|aDMG
3	23362 22622	   	238.19	DCR|2SPLARM|2VULN|2ASPD|1AART|1DMG|1AAC	1AAC|2AART|37VULN|47SPLARM|59RCVC|67ASPD|7BPWR|8RCR|aDMG
4	23362 22652	   	238.19	DCR|2SPLARM|2VULN|2ASPD|1AART|1DMG|1AAC	1AAC|2AART|37VULN|47SPLARM|5RCVC|67ASPD|7BPWR|8RCR|9DMG|aAME
5	23362 22653	   	238.09	DCR|2SPLARM|2VULN|2ASPD|1AART|1DMG|1AAC	1AAC|2AART|37VULN|47SPLARM|5RCVC|67ASPD|7BPWR|8RCR|9DMG|aAIRARM
6	23362 22662	 * 	235.96	DCR|2SPLARM|3VULN|2ASPD|1AART|1AAC	1AAC|2AART|37aVULN|47SPLARM|5RCVC|67ASPD|7BPWR|8RCR|9RPLT
7	23362 22612	   	234.20	DCR|2SPLARM|2VULN|2AART|2ASPD|1AAC	1AAC|2aAART|37VULN|47SPLARM|5RCVC|67ASPD|7BPWR|8RCR|9LHND
8	23362 22632	   	234.20	DCR|2SPLARM|2VULN|2AART|2ASPD|1AAC	1AAC|2aAART|37VULN|47SPLARM|5RCVC|67ASPD|7BPWR|8RCR|9LWND
9	23362 22641	   	234.20	DCR|2SPLARM|2VULN|2AART|2ASPD|1AAC	1AAC|29AART|37VULN|47SPLARM|5RCVC|67ASPD|7BPWR|8RCR|aLWND
10	23362 22643	   	234.10	DCR|2SPLARM|2VULN|2AART|2ASPD|1AAC	1AAC|29AART|37VULN|47SPLARM|5RCVC|67ASPD|7BPWR|8RCR|aDUST
11	23362 22345	   	230.10	DCR|2SPLARM|2VULN|2AART|2ASPD|1AAC	1AAC|29AART|37VULN|47SPLARM|5RCVC|67ASPD|7BPWR|8DUST|aRCR
12	23361 14343	 * 	229.60	DCR|2SPLARM|2VULN|1MDPS|2DMG|1AART|1AAC|1DUR	1AAC|2AART|3aVULN|4aSPLARM|5TLV|6MDPS|7DUR|8RCR|9aDMG|aBPWR
13	23362 22626	   	228.46	DCR|2SPLARM|2VULN|2ASPD|1AART|1AAC|1ZMB	1AAC|2AART|37VULN|47SPLARM|59RCVC|67ASPD|7BPWR|8RCR|aZMB
14	66211 42113	 * 	225.81	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG|1ZMB	14ASPD|2RMIN|34DMG|4BPWR|5ZMB|6RCR|7CDMG|8VULN|9LHND|aAART
15	66211 42133	   	225.71	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG|1ZMB	14ASPD|2RMIN|34DMG|4BPWR|5ZMB|6RCR|7CDMG|8VULN|9ERES|aAART
