0	Index      	 *	Score 	Summary	Detail	Bounty	
1	43336 31621	 * 	294.55	橙4易伤2等级2时间1暴击1全技能	1a时间2暴击349a易伤5额外掉落6全技能7a等级8核a序列升级	10
2	11113 53142	 * 	288.91	橙3易伤3伤害2等级1时间	1平台29等级39a伤害4基地爆炸5时间679易伤8核9序列升级	10
3	11113 53145	   	288.91	橙3易伤3伤害2等级1时间	1平台29等级39a伤害4基地爆炸5时间679易伤8核9序列升级	9
4	11113 53143	 * 	287.84	橙3易伤2等级2伤害2时间	1平台29等级39伤害4基地爆炸5a时间679易伤8核9序列升级	9
5	43335 63131	   	281.04	橙3易伤2时间1等级1伤害2攻速1暴击	18时间2暴击348易伤5等级6伤害78攻速8序列升级9低血量敌人a核	6
6	11113 51143	 * 	278.80	橙2易伤3伤害2等级2时间	1平台29等级379伤害4基地爆炸5a时间69易伤8核9序列升级	9
7	11236 51131	 * 	278.05	橙4易伤2等级2伤害	1平台28等级3随机矿4678易伤58伤害8序列升级9低血量敌人a核	7
8	11236 51141	   	277.95	橙4易伤2等级2伤害	1平台28等级3随机矿4678易伤58伤害8序列升级9挖尘a核	7
9	43533 31226	 * 	277.32	橙2易伤3时间2伤害1等级2暴击	14a时间2a暴击3等级5随机矿68易伤7核9a伤害a序列升级	9
10	43131 21163	 * 	274.86	紫3易伤2等级3时间3攻速2暴击	148时间2a暴击378攻速5核68a易伤8a序列升级9a等级	6
11	11113 51145	   	273.88	橙2易伤3伤害2等级1时间1全技能	1平台29等级379伤害4基地爆炸5时间69易伤8核9序列升级a全技能	9
12	11113 53141	   	273.25	橙3易伤2等级2伤害1时间	1平台29等级39伤害4基地爆炸5时间679易伤8核9序列升级a敌人爆炸	10
13	11113 53142	   	273.25	橙3易伤2等级2伤害1时间	1平台29等级39伤害4基地爆炸5时间679易伤8核9序列升级a敌人爆炸	9
14	11113 53143	   	273.25	橙3易伤2等级2伤害1时间	1平台29等级39伤害4基地爆炸5时间679易伤8核9序列升级a最后敌人	10
15	11113 53144	   	273.25	橙3易伤2等级2伤害1时间	1平台29等级39伤害4基地爆炸5时间679易伤8核9序列升级a立即金币	10
16	11113 53144	   	273.25	橙3易伤2等级2伤害1时间	1平台29等级39伤害4基地爆炸5时间679易伤8核9序列升级a双倍矿	9
17	11113 53145	   	273.25	橙3易伤2等级2伤害1时间	1平台29等级39伤害4基地爆炸5时间679易伤8核9序列升级a矿等	10
18	11113 53146	   	273.25	橙3易伤2等级2伤害1时间	1平台29等级39伤害4a基地爆炸5时间679易伤8核9序列升级	9
19	11113 53141	   	273.15	橙3易伤2等级2伤害1时间	1平台29等级39伤害4基地爆炸5时间679易伤8核9序列升级a挖尘	9
20	11113 53146	   	273.15	橙3易伤2等级2伤害1时间	1平台29等级39伤害4基地爆炸5时间679易伤8核9序列升级a挖尘	10
21	43332 21333	 * 	272.96	橙4易伤3时间3雷电1暴击	19a时间2暴击349a易伤5双倍矿6核7随机矿89a雷电9a序列升级	7
22	11112 53145	   	272.66	橙3易伤3伤害2等级	1平台29等级39a伤害4基地爆炸5敌人爆炸679易伤8核9序列升级	9
23	43332 23626	   	272.14	橙3易伤2等级2时间1暴击	1a时间2暴击34a易伤5双倍矿6核7攻速8策反9a等级a序列升级	6
24	11535 31423	 * 	271.35	橙2易伤3等级2伤害2时间	1平台234等级4a序列升级5a易伤6攻速7a伤害8核9a时间	7
25	11535 31623	   	271.35	橙2易伤3等级2伤害2时间	1平台234等级4a序列升级5a易伤6攻速7a伤害8核9a时间	8
26	41632 21263	   	271.24	橙4易伤2等级2时间	19时间2敌人爆炸3569易伤4最后敌人7金币生成89等级9序列升级a核	9
27	12235 23163	 * 	271.14	橙4易伤3等级2时间	1平台248a易伤3双倍矿568等级7核8a序列升级9a时间	6
28	43332 24226	 * 	270.15	橙3易伤2等级2时间2暴击	1a时间2a暴击348易伤5双倍矿6核7基地爆炸9a等级a序列升级	8
29	41514 32332	   	269.22	橙3易伤2等级1伤害1时间1暴击	1时间24敌人爆炸34等级4序列升级568易伤7伤害9核a暴击	7
30	41514 32332	   	269.22	橙3易伤2等级1伤害1时间1暴击	1时间24敌人爆炸34等级4序列升级567易伤8伤害9核a暴击	6
31	43333 16231	   	269.02	橙3易伤2等级1伤害1时间1暴击	1时间2暴击348易伤5双倍物品67等级9核a伤害	8
32	11236 61143	 * 	267.09	橙2易伤2等级3时间1伤害	1平台29等级3随机矿49易伤5伤害6攻速79a时间8核9序列升级	9
33	43315 32162	 * 	266.99	橙2易伤2等级3时间2暴击	178时间28暴击35易伤4基地爆炸68等级8序列升级9雷电a核	4
34	43332 32162	   	266.99	橙2易伤2等级3时间2暴击	178时间28暴击34易伤5敌人爆炸68等级8序列升级9雷电a核	4
35	43313 61162	   	266.99	橙2易伤2等级3时间2暴击	158时间28暴击37易伤4基地爆炸68等级8序列升级9雷电a核	7
36	34728 42132	 * 	266.83	橙5易伤3伤害	1加一248最后敌人34589易伤48序列升级678伤害a核	7
37	12311 21446	   	266.80	橙3易伤2等级2时间	1平台27a易伤3额外掉落4a等级5攻速6雷电8a时间9核a序列升级	6
38	12311 23446	   	266.80	橙3易伤2等级2时间	1平台27a易伤3额外掉落4a等级5攻速6雷电8a时间9核a序列升级	7
