0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32322 12451	1	 * 	294.41	橙3易伤3伤害1等级1时间2雷电1全技能	148易伤234伤害48序列升级58雷电6核7全技能9等级a时间
2	35236 11313	10	 * 	292.81	橙4易伤2等级2伤害2雷电	1349易伤2挖青5a等级6核79雷电89伤害9序列升级
3	35236 11314	9	 * 	292.14	橙5易伤2伤害1等级2雷电	1349a易伤2挖青5等级6核79雷电89伤害9序列升级
4	32323 14136	1	 * 	290.84	橙4易伤3伤害1等级1时间	149a易伤234伤害4序列升级5基地爆炸6核7时间8等级
5	32324 14136	1	   	290.84	橙4易伤3伤害1等级1时间	149a易伤234伤害4序列升级5敌人爆炸6核7时间8等级
6	35236 11315	10	   	289.45	橙4易伤3伤害1等级2雷电	1349易伤2挖青5等级6核79雷电89a伤害9序列升级
7	52236 11313	10	   	286.36	橙4易伤2等级2伤害	19低血量敌人2349易伤5a等级6核7雷电89伤害9序列升级
8	32646 11313	10	   	286.36	橙4易伤2等级2伤害	1239易伤49低血量敌人5a等级6核7雷电89伤害9序列升级
9	33646 11313	10	   	286.36	橙4易伤2等级2伤害	1239易伤29序列升级49低血量敌人5a等级6核7雷电89伤害
10	52236 11314	9	   	285.69	橙5易伤2伤害1等级	19低血量敌人2349a易伤5等级6核7雷电89伤害9序列升级
11	32323 14146	1	 * 	284.38	橙3易伤3伤害2时间1等级	14a易伤234伤害4序列升级5基地爆炸6核79时间8等级
12	35236 11326	9	   	283.46	橙4易伤2伤害1等级2雷电1全技能	134a易伤2挖青5等级6核7a雷电8a伤害9全技能a序列升级
13	32323 14133	1	   	283.44	橙3易伤3伤害1等级1时间1暴击	149易伤234伤害4序列升级5基地爆炸6核7时间8等级a暴击
14	32324 14133	1	   	283.44	橙3易伤3伤害1等级1时间1暴击	149易伤234伤害4序列升级5敌人爆炸6核7时间8等级a暴击
15	32321 14133	1	   	283.34	橙3易伤3伤害1等级1时间1暴击	149易伤234伤害4序列升级5挖尘6核7时间8等级a暴击
16	52236 11315	10	   	283.00	橙4易伤3伤害1等级	19低血量敌人2349易伤5等级6核7雷电89a伤害9序列升级
17	32322 11335	1	   	282.90	橙4易伤3伤害1等级	148a易伤234伤害4序列升级5雷电6核7金币生成9等级
18	32322 14415	1	   	282.90	橙4易伤3伤害1等级	147a易伤234伤害4序列升级5雷电6核8等级9矿等
19	32322 14425	1	   	282.90	橙4易伤3伤害1等级	147a易伤234伤害4序列升级5雷电6核8等级9金币生成
20	32322 14435	1	   	282.80	橙4易伤3伤害1等级	147a易伤234伤害4序列升级5雷电6核8等级9赏金邻近
21	32325 31154	1	 * 	281.06	橙3易伤3伤害2等级	149易伤234伤害49序列升级59等级6敌人爆炸7雷电89基地爆炸a核
22	32322 14453	1	   	280.86	橙3易伤3伤害2等级	147易伤234伤害4序列升级5雷电6核8a等级9最后敌人
23	32322 14463	1	   	280.86	橙3易伤3伤害2等级	147易伤234伤害4序列升级5雷电6核8a等级9低血量敌人
24	32451 11513	2	 * 	280.13	橙5易伤2时间1等级1全技能	12357易伤45时间5序列升级6全技能8核9平台a等级
25	32651 11513	3	   	280.13	橙5易伤2时间1等级1全技能	12357易伤45时间5序列升级6全技能8核9平台a等级
26	33451 11513	2	   	280.13	橙5易伤2时间1等级1全技能	12357易伤25序列升级45时间6全技能8核9平台a等级
27	33651 11513	3	   	280.13	橙5易伤2时间1等级1全技能	12357易伤25序列升级45时间6全技能8核9平台a等级
28	32413 36314	6	 * 	279.43	橙4易伤3伤害2时间	1268易伤368伤害4双倍矿5随机矿68序列升级78时间9最后敌人a核
29	32623 63631	2	 * 	278.71	橙5易伤2等级1伤害	12469易伤34等级4序列升级5敌人爆炸7伤害8核a平台
30	32623 63633	2	   	278.71	橙5易伤2等级1伤害	12469易伤34等级4序列升级5敌人爆炸7伤害8核a低血量敌人
31	33623 63631	2	   	278.71	橙5易伤2等级1伤害	12469易伤24序列升级34等级5敌人爆炸7伤害8核a平台
32	33623 63633	2	   	278.71	橙5易伤2等级1伤害	12469易伤24序列升级34等级5敌人爆炸7伤害8核a低血量敌人
33	32621 35334	2	   	278.71	橙5易伤2等级1伤害	12467易伤34等级4序列升级5随机矿8立即金币9伤害a核
34	33621 35334	2	   	278.71	橙5易伤2等级1伤害	12467易伤24序列升级34等级5随机矿8立即金币9伤害a核
35	32623 63632	2	   	278.61	橙5易伤2等级1伤害	12469易伤34等级4序列升级5敌人爆炸7伤害8核a赏金邻近
36	33623 63632	2	   	278.61	橙5易伤2等级1伤害	12469易伤24序列升级34等级5敌人爆炸7伤害8核a赏金邻近
37	32621 12622	2	   	278.51	橙4易伤2等级1时间1暴击	1248易伤34等级4序列升级5随机矿6时间7暴击9雷电a核
38	33621 12622	2	   	278.51	橙4易伤2等级1时间1暴击	1248易伤24序列升级34等级5随机矿6时间7暴击9雷电a核
39	32322 12453	1	   	278.16	橙3易伤3伤害1等级2雷电1全技能	148易伤234伤害48序列升级58雷电6核7全技能9等级a最后敌人
40	32322 12454	1	   	278.16	橙3易伤3伤害1等级2雷电1全技能	148易伤234伤害48序列升级58雷电6核7全技能9等级a额外掉落
41	32322 12455	1	   	278.16	橙3易伤3伤害1等级2雷电1全技能	148易伤234伤害48序列升级58雷电6核7全技能9等级a平台
42	32322 12456	1	   	278.16	橙3易伤3伤害1等级2雷电1全技能	148易伤234伤害48序列升级58雷电6核7全技能9等级a随机矿
43	32322 11513	1	   	278.10	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5雷电6核7金币生成8时间a等级
44	32322 12452	1	   	278.06	橙3易伤3伤害1等级2雷电1全技能	148易伤234伤害48序列升级58雷电6核7全技能9等级a挖尘
45	32322 16513	1	   	278.00	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5雷电6核7掉矿8时间a等级
46	32623 63621	2	   	277.95	橙4易伤2等级2伤害	1246易伤34等级4序列升级5敌人爆炸79伤害8核a平台
47	32623 63623	2	   	277.95	橙4易伤2等级2伤害	1246易伤34等级4序列升级5敌人爆炸79伤害8核a立即金币
48	33623 63621	2	   	277.95	橙4易伤2等级2伤害	1246易伤24序列升级34等级5敌人爆炸79伤害8核a平台
49	33623 63623	2	   	277.95	橙4易伤2等级2伤害	1246易伤24序列升级34等级5敌人爆炸79伤害8核a立即金币
50	32266 36322	9	   	277.85	橙4易伤2等级2伤害	129a易伤35挖尘4平台69伤害7核89等级9序列升级
51	33266 36322	9	   	277.85	橙4易伤2等级2伤害	129a易伤29序列升级35挖尘4平台69伤害7核89等级
52	52236 11326	9	   	277.01	橙4易伤2伤害1等级1全技能	1a低血量敌人234a易伤5等级6核7雷电8a伤害9全技能a序列升级
53	32432 25324	9	 * 	276.70	橙2易伤2等级2伤害2时间1暴击	12易伤39伤害4暴击5基地爆炸69时间7挖尘89等级9序列升级a核
54	33432 25324	9	   	276.70	橙2易伤2等级2伤害2时间1暴击	12易伤29序列升级39伤害4暴击5基地爆炸69时间7挖尘89等级a核
55	32623 63612	2	   	276.52	橙4易伤2等级1伤害1时间	1246易伤34等级4序列升级5敌人爆炸7伤害8核9挖尘a时间
56	33623 63612	2	   	276.52	橙4易伤2等级1伤害1时间	1246易伤24序列升级34等级5敌人爆炸7伤害8核9挖尘a时间
57	32322 11333	1	   	275.50	橙3易伤3伤害1等级1暴击	148易伤234伤害4序列升级5雷电6核7金币生成9等级a暴击
58	32322 14413	1	   	275.50	橙3易伤3伤害1等级1暴击	147易伤234伤害4序列升级5雷电6核8等级9矿等a暴击
59	32322 14423	1	   	275.50	橙3易伤3伤害1等级1暴击	147易伤234伤害4序列升级5雷电6核8等级9金币生成a暴击
60	32322 14433	1	   	275.40	橙3易伤3伤害1等级1暴击	147易伤234伤害4序列升级5雷电6核8等级9赏金邻近a暴击
61	32322 14443	1	   	275.40	橙3易伤3伤害1等级1暴击	147易伤234伤害4序列升级5雷电6核8等级9掉矿a暴击
62	32462 12152	8	   	275.19	橙4易伤2伤害1等级1时间	1257易伤35伤害4平台5序列升级6金币生成8等级9核a时间
63	33462 12152	8	   	275.19	橙4易伤2伤害1等级1时间	1257易伤25序列升级35伤害4平台6金币生成8等级9核a时间
64	32323 11136	1	   	274.59	橙4易伤3伤害1等级	149a易伤234伤害4序列升级5基地爆炸6核7敌人爆炸8等级
65	32324 11136	1	   	274.59	橙4易伤3伤害1等级	149a易伤234伤害4序列升级5敌人爆炸6核7基地爆炸8等级
66	32462 12151	8	   	274.59	橙4易伤3伤害1等级	1257易伤35a伤害4平台5序列升级6金币生成8等级9核
67	33462 12151	8	   	274.59	橙4易伤3伤害1等级	1257易伤25序列升级35a伤害4平台6金币生成8等级9核
68	32451 11523	2	 * 	273.99	橙5易伤2时间1伤害1全技能	12357易伤45时间5序列升级6全技能8核9金币生成a伤害
69	32651 11523	3	   	273.99	橙5易伤2时间1伤害1全技能	12357易伤45时间5序列升级6全技能8核9金币生成a伤害
70	33451 11523	2	   	273.99	橙5易伤2时间1伤害1全技能	12357易伤25序列升级45时间6全技能8核9金币生成a伤害
71	33651 11523	3	   	273.99	橙5易伤2时间1伤害1全技能	12357易伤25序列升级45时间6全技能8核9金币生成a伤害
72	35236 11311	9	   	273.80	橙4易伤2伤害1等级2雷电	1349易伤2挖青5等级6核79雷电89伤害9序列升级a矿等
73	35236 11312	9	   	273.80	橙4易伤2伤害1等级2雷电	1349易伤2挖青5等级6核79雷电89伤害9序列升级a最后敌人
74	35236 11312	10	   	273.80	橙4易伤2伤害1等级2雷电	1349易伤2挖青5等级6核79雷电89伤害9序列升级a矿等
75	35236 11313	9	   	273.80	橙4易伤2伤害1等级2雷电	1349易伤2挖青5等级6核79雷电89伤害9序列升级a低血量敌人
76	35236 11314	10	   	273.80	橙4易伤2伤害1等级2雷电	1349易伤2挖青5等级6核79雷电89伤害9序列升级a最后敌人
77	35236 11316	10	   	273.80	橙4易伤2伤害1等级2雷电	1349易伤2挖青5等级6核79雷电89伤害9序列升级a基地爆炸
78	35236 11315	9	   	273.70	橙4易伤2伤害1等级2雷电	1349易伤2挖青5等级6核79雷电89伤害9序列升级a赏金邻近
79	35236 11316	9	   	273.70	橙4易伤2伤害1等级2雷电	1349易伤2挖青5等级6核79雷电89伤害9序列升级a挖尘
80	32632 53334	2	   	273.40	橙5易伤2等级2雷电	1279a易伤3a等级4挖青5a雷电6赏金邻近8核a序列升级
81	33632 53334	2	   	273.40	橙5易伤2等级2雷电	1279a易伤2a序列升级3a等级4挖青5a雷电6赏金邻近8核
82	32323 14143	1	   	273.34	橙2易伤3伤害2时间1等级1暴击	14易伤234伤害4序列升级5基地爆炸6核79时间8等级a暴击
83	32324 14143	1	   	273.34	橙2易伤3伤害2时间1等级1暴击	14易伤234伤害4序列升级5敌人爆炸6核79时间8等级a暴击
84	32361 56232	1	   	273.25	橙3易伤2等级2伤害1时间	179易伤23伤害47等级57最后敌人6核7序列升级8基地爆炸a时间
85	32434 53212	2	   	273.25	橙5易伤1等级1伤害1暴击	1234a易伤4序列升级5等级6核7伤害8额外掉落9暴击
86	32634 53212	3	   	273.25	橙5易伤1等级1伤害1暴击	1234a易伤4序列升级5等级6核7伤害8额外掉落9暴击
87	33434 53212	2	   	273.25	橙5易伤1等级1伤害1暴击	1234a易伤24序列升级5等级6核7伤害8额外掉落9暴击
88	33634 53212	3	   	273.25	橙5易伤1等级1伤害1暴击	1234a易伤24序列升级5等级6核7伤害8额外掉落9暴击
89	32321 14143	1	   	273.24	橙2易伤3伤害2时间1等级1暴击	14易伤234伤害4序列升级5挖尘6核79时间8等级a暴击
90	32322 43142	1	   	272.95	橙4易伤3伤害1时间	148a易伤234伤害4序列升级5雷电6额外掉落7核9时间
91	32361 56223	1	   	272.66	橙3易伤3伤害2等级	17a易伤239伤害47等级57最后敌人6核7序列升级8基地爆炸
92	32133 13245	10	 * 	272.44	橙5易伤3时间2雷电	12689易伤3最后敌人479时间59雷电9序列升级a核
93	32353 13245	10	   	272.44	橙5易伤3时间2雷电	12689易伤3基地爆炸479时间59雷电9序列升级a核
94	33133 13245	10	   	272.44	橙5易伤3时间2雷电	12689易伤29序列升级3最后敌人479时间59雷电a核
95	33353 13245	10	   	272.44	橙5易伤3时间2雷电	12689易伤29序列升级3基地爆炸479时间59雷电a核
96	32463 32134	3	   	272.39	橙4易伤2伤害1等级1暴击	1268易伤35伤害4等级7暴击9赏金邻近a核
97	33463 32134	3	   	272.39	橙4易伤2伤害1等级1暴击	1268易伤2序列升级35伤害4等级7暴击9赏金邻近a核
98	32612 35531	2	 * 	272.14	橙3易伤2等级2时间1暴击	129易伤39等级4低血量敌人5雷电69时间7核8额外掉落9序列升级a暴击
99	33612 35531	2	   	272.14	橙3易伤2等级2时间1暴击	129易伤29序列升级39等级4低血量敌人5雷电69时间7核8额外掉落a暴击
100	52236 11262	6	 * 	272.09	橙4易伤2时间1等级1伤害	1低血量敌人2347易伤5等级6核8伤害9a时间
101	65323 22534	2	   	272.04	橙3易伤2等级2时间1暴击	1额外掉落2a时间3加一49a易伤5暴击6核7攻速8a等级a序列升级
102	35236 11262	6	   	271.99	橙4易伤2时间1等级1伤害	1347易伤2挖青5等级6核8伤害9a时间
103	35636 11313	10	   	271.76	橙3易伤2等级2伤害2雷电	149易伤2挖青3双倍矿5a等级6核79雷电89伤害9序列升级
104	52236 12412	7	   	271.15	橙4易伤1等级1伤害1时间1暴击	1低血量敌人234a易伤5等级6核7时间8暴击9伤害
105	36225 41221	1	 * 	271.10	橙3易伤2时间1等级2暴击1伤害	189易伤2挖尘38暴击4低血量敌人5等级68时间7核8序列升级a伤害
106	35236 12412	7	   	271.05	橙4易伤1等级1伤害1时间1暴击	134a易伤2挖青5等级6核7时间8暴击9伤害
107	52236 11533	6	 * 	271.04	橙4易伤2等级2时间	1低血量敌人2347易伤59等级6核8a时间
108	52236 12533	8	   	271.04	橙4易伤2等级2时间	1低血量敌人2348易伤59等级6核7a时间
109	35236 11533	6	   	270.94	橙4易伤2等级2时间	1347易伤2挖青59等级6核8a时间
110	35236 12533	8	   	270.94	橙4易伤2等级2时间	1348易伤2挖青59等级6核7a时间
111	32323 12663	1	   	270.16	橙3易伤3伤害1等级	149易伤234伤害4序列升级5基地爆炸6核7雷电8攻速a等级
112	32321 12663	1	   	270.06	橙3易伤3伤害1等级	149易伤234伤害4序列升级5挖尘6核7雷电8攻速a等级
113	32322 13663	1	   	270.06	橙3易伤3伤害1等级	149易伤234伤害4序列升级5雷电6核7挖尘8攻速a等级
114	32623 63611	2	   	269.93	橙4易伤2等级1伤害1全技能	1246易伤34等级4序列升级5敌人爆炸7伤害8核9挖尘a全技能
115	33623 63611	2	   	269.93	橙4易伤2等级1伤害1全技能	1246易伤24序列升级34等级5敌人爆炸7伤害8核9挖尘a全技能
116	32323 11142	1	   	269.79	橙3易伤3伤害1等级1时间	14a易伤234伤害4序列升级5基地爆炸6核7敌人爆炸8等级9时间
117	32323 14112	1	   	269.79	橙3易伤3伤害1等级1时间	14a易伤234伤害4序列升级5基地爆炸6核7时间8等级9最后敌人
118	32323 14131	1	   	269.79	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5基地爆炸6核7时间8等级a低血量敌人
119	32323 14134	1	   	269.79	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5基地爆炸6核7时间8等级a矿等
120	32324 11142	1	   	269.79	橙3易伤3伤害1等级1时间	14a易伤234伤害4序列升级5敌人爆炸6核7基地爆炸8等级9时间
121	32324 14112	1	   	269.79	橙3易伤3伤害1等级1时间	14a易伤234伤害4序列升级5敌人爆炸6核7时间8等级9最后敌人
122	32324 14131	1	   	269.79	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5敌人爆炸6核7时间8等级a低血量敌人
123	32324 14134	1	   	269.79	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5敌人爆炸6核7时间8等级a矿等
124	32321 11142	1	   	269.69	橙3易伤3伤害1等级1时间	14a易伤234伤害4序列升级5挖尘6核7敌人爆炸8等级9时间
125	32321 13142	1	   	269.69	橙3易伤3伤害1等级1时间	14a易伤234伤害4序列升级5挖尘6核7基地爆炸8等级9时间
126	32321 14112	1	   	269.69	橙3易伤3伤害1等级1时间	14a易伤234伤害4序列升级5挖尘6核7时间8等级9最后敌人
127	32321 14122	1	   	269.69	橙3易伤3伤害1等级1时间	14a易伤234伤害4序列升级5挖尘6核7时间8等级9基地爆炸
128	32321 14131	1	   	269.69	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5挖尘6核7时间8等级a低血量敌人
129	32321 14134	1	   	269.69	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5挖尘6核7时间8等级a矿等
130	32321 14136	1	   	269.69	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5挖尘6核7时间8等级a金币生成
131	32323 14132	1	   	269.69	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5基地爆炸6核7时间8等级a赏金邻近
132	32323 14135	1	   	269.69	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5基地爆炸6核7时间8等级a挖尘
133	32323 16142	1	   	269.69	橙3易伤3伤害1等级1时间	14a易伤234伤害4序列升级5基地爆炸6核7挖尘8等级9时间
134	32324 14132	1	   	269.69	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5敌人爆炸6核7时间8等级a赏金邻近
135	32324 14135	1	   	269.69	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5敌人爆炸6核7时间8等级a挖尘
136	32324 16142	1	   	269.69	橙3易伤3伤害1等级1时间	14a易伤234伤害4序列升级5敌人爆炸6核7挖尘8等级9时间
137	32321 14132	1	   	269.59	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5挖尘6核7时间8等级a赏金邻近
138	32321 14135	1	   	269.59	橙3易伤3伤害1等级1时间	149易伤234伤害4序列升级5a挖尘6核7时间8等级
139	32623 15314	2	   	269.22	橙3易伤2等级1伤害1时间1暴击	124易伤34等级4序列升级5敌人爆炸6暴击7基地爆炸8时间9伤害a核
140	33623 15314	2	   	269.22	橙3易伤2等级1伤害1时间1暴击	124易伤24序列升级34等级5敌人爆炸6暴击7基地爆炸8时间9伤害a核
141	32646 11333	10	   	268.57	橙4易伤2等级1伤害	1239易伤4低血量敌人5a等级6核7雷电8伤害
142	33646 11333	10	   	268.57	橙4易伤2等级1伤害	1239易伤2序列升级4低血量敌人5a等级6核7雷电8伤害
143	52236 11333	10	   	268.57	橙4易伤2等级1伤害	1低血量敌人2349易伤5a等级6核7雷电8伤害
144	32361 21553	1	   	268.50	橙3易伤3伤害1等级2雷电	17a易伤23a伤害4等级5最后敌人6a雷电8额外掉落9核a序列升级
145	35236 11333	10	   	268.47	橙4易伤2等级1伤害	1349易伤2挖青5a等级6核7雷电8伤害
146	32322 12441	1	   	268.21	橙3易伤3伤害1时间2雷电1全技能	148易伤234伤害48序列升级58雷电6核7全技能9金币生成a时间
147	32322 12461	1	   	268.11	橙3易伤3伤害1时间2雷电1全技能	148易伤234伤害48序列升级58雷电6核7全技能9掉矿a时间
148	52236 11334	9	   	267.90	橙5易伤1等级1伤害	1低血量敌人2349a易伤5等级6核7雷电8伤害
149	33432 14621	2	 * 	267.90	橙5易伤1等级2暴击	12347易伤247序列升级5立即金币67暴击8雷电9核a等级
150	33632 14621	3	   	267.90	橙5易伤1等级2暴击	12347易伤247序列升级5立即金币67暴击8雷电9核a等级
151	35236 11334	9	   	267.80	橙5易伤1等级1伤害	1349a易伤2挖青5等级6核7雷电8伤害
152	52236 11311	9	   	267.35	橙4易伤2伤害1等级	19低血量敌人2349易伤5等级6核7雷电89伤害9序列升级a矿等
153	52236 11312	10	   	267.35	橙4易伤2伤害1等级	19低血量敌人2349易伤5等级6核7雷电89伤害9序列升级a矿等
