0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45112 23521	6	 * 	287.62	橙4易伤2等级2伤害1全技能	167a易伤2敌人爆炸3加一4全技能5a伤害8a等级9核a序列升级
2	42123 35263	6	 * 	282.90	橙4易伤3伤害1等级	146a易伤2随机矿356伤害6序列升级7核8雷电9等级
3	62222 22244	7	 * 	281.91	橙5易伤2伤害2时间	1立即金币2加一34569易伤59序列升级79伤害89时间a核
4	62222 22844	8	   	281.91	橙5易伤2伤害2时间	1立即金币2加一34569易伤59序列升级79伤害89时间a核
5	62222 73144	6	   	281.91	橙5易伤2伤害2时间	1立即金币2加一34589易伤59序列升级69时间79伤害a核
6	42123 22433	6	 * 	279.33	橙4易伤3伤害2时间	146a易伤2随机矿35a伤害7平台8a时间9核a序列升级
7	62323 34714	9	   	279.23	橙4易伤3伤害2时间	1立即金币2加一348伤害48序列升级58时间6核789a易伤
8	62363 34714	9	   	279.23	橙4易伤3伤害2时间	1立即金币2加一358伤害48时间6核789a易伤8序列升级
9	62328 34814	8	 * 	278.70	橙2易伤3伤害2等级2时间	1立即金币2加一349伤害49序列升级5a易伤6核79等级89时间
10	43123 11626	2	 * 	278.46	橙3易伤2等级2时间1伤害	189易伤2基地爆炸3赏金邻近49时间5伤害6雷电79等级9序列升级a核
11	43123 11626	1	   	278.46	橙3易伤2等级2时间1伤害	189易伤2基地爆炸3赏金邻近49时间5伤害6雷电79等级9序列升级a核
12	43223 11626	1	   	278.46	橙3易伤2等级2时间1伤害	189易伤2基地爆炸3赏金塔49时间5伤害6雷电79等级9序列升级a核
13	43223 11626	2	   	278.46	橙3易伤2等级2时间1伤害	189易伤2基地爆炸3赏金塔49时间5伤害6雷电79等级9序列升级a核
14	62223 32321	7	 * 	278.39	橙3易伤2伤害2时间1等级1全技能	1立即金币2加一34a易伤5等级6全技能7a时间8a伤害9核a序列升级
15	62223 36321	6	   	278.39	橙3易伤2伤害2时间1等级1全技能	1立即金币2加一34a易伤5等级6全技能7a时间8a伤害9核a序列升级
16	42351 23253	9	 * 	275.16	紫4易伤3伤害2等级1暴击	1689易伤2随机矿3额外掉落4核568伤害68序列升级78等级a暴击
17	42221 45521	5	   	274.87	橙3易伤2等级2伤害1全技能	14a易伤2随机矿3攻速5加一6a伤害7全技能8a等级9核a序列升级
18	42221 55321	6	   	274.87	橙3易伤2等级2伤害1全技能	14a易伤2随机矿3攻速5加一6a等级7全技能8a伤害9核a序列升级
19	42221 85321	5	   	274.87	橙3易伤2等级2伤害1全技能	14a易伤2随机矿3攻速5加一6a等级7全技能8a伤害9核a序列升级
20	62223 27331	8	 * 	274.80	橙5易伤2等级1时间	1立即金币2加一3467a易伤56等级6序列升级8核9时间
21	42123 35184	6	   	274.49	橙4易伤3伤害1等级	146a易伤2随机矿356伤害6序列升级7核8加一9等级
22	43132 38712	6	   	274.49	橙4易伤3伤害1等级	1689易伤2基地爆炸3加一49掉矿569伤害69序列升级7核a等级
23	42123 31441	7	   	274.30	橙4易伤3伤害1时间1全技能	146a易伤2随机矿356伤害6序列升级7时间8核9全技能
24	41631 33343	9	   	273.78	橙2易伤3伤害2等级1时间1全技能	19易伤2额外掉落359伤害4时间6掉矿79等级8全技能9序列升级a核
25	62223 28117	9	   	273.05	橙3易伤2等级2伤害1时间	1立即金币2加一346易伤56等级6序列升级7时间8a伤害9核
26	46234 38321	2	   	272.71	橙2易伤2等级2伤害2时间1全技能	1a易伤2双倍矿3加一47时间5全技能6a等级8a伤害9核a序列升级
27	62231 85321	3	   	272.71	橙2易伤2等级2伤害2时间1全技能	1立即金币2加一3a易伤45时间6a等级7全技能8a伤害9核a序列升级
28	62234 38321	3	   	272.71	橙2易伤2等级2伤害2时间1全技能	1立即金币2加一3a易伤47时间5全技能6a等级8a伤害9核a序列升级
29	62272 38321	5	   	272.71	橙2易伤2等级2伤害2时间1全技能	1立即金币2加一3a易伤47时间5全技能6a等级8a伤害9核a序列升级
30	62274 38321	4	   	272.71	橙2易伤2等级2伤害2时间1全技能	1立即金币2加一3a易伤47时间5全技能6a等级8a伤害9核a序列升级
31	62282 38321	3	   	272.71	橙2易伤2等级2伤害2时间1全技能	1立即金币2加一3a易伤4全技能57时间6a等级8a伤害9核a序列升级
32	62834 38321	2	   	272.71	橙2易伤2等级2伤害2时间1全技能	1立即金币2加一3a易伤47时间5全技能6a等级8a伤害9核a序列升级
33	63231 85321	1	   	272.71	橙2易伤2等级2伤害2时间1全技能	1立即金币2a易伤3加一45时间6a等级7全技能8a伤害9核a序列升级
34	63234 38321	1	   	272.71	橙2易伤2等级2伤害2时间1全技能	1立即金币2a易伤3加一47时间5全技能6a等级8a伤害9核a序列升级
35	63282 38321	1	   	272.71	橙2易伤2等级2伤害2时间1全技能	1立即金币2a易伤3加一4全技能57时间6a等级8a伤害9核a序列升级
