0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32262 36162	3	 * 	298.01	橙4易伤2等级3时间1暴击	138掉矿2389易伤389序列升级4暴击59等级6赏金邻近789时间a核
2	32222 23654	7	 * 	293.43	橙5易伤2伤害1等级1时间	13a掉矿2356a易伤3a序列升级4等级7核8时间9a伤害
3	32256 11431	6	 * 	283.59	橙5易伤3时间1等级	13掉矿2359a易伤35序列升级458时间6等级7核
4	32256 11431	7	   	283.59	橙5易伤3时间1等级	13掉矿2359a易伤35序列升级458时间6等级7核
5	32256 11413	10	   	279.34	橙4易伤2等级2时间	13掉矿2358易伤35序列升级45时间69等级7核a雷电
6	32222 11454	8	   	277.18	橙5易伤2伤害1等级	13a掉矿2358a易伤3a序列升级4等级6低血量敌人7核9a伤害
7	32222 23354	8	   	277.18	橙5易伤2伤害1等级	13a掉矿2356a易伤3a序列升级4等级7核8敌人爆炸9a伤害
8	32222 23554	8	   	277.18	橙5易伤2伤害1等级	13a掉矿2356a易伤3a序列升级4等级7核8低血量敌人9a伤害
9	32222 23154	8	   	277.08	橙5易伤2伤害1等级	13a掉矿2356a易伤3a序列升级4等级7核8挖尘9a伤害
10	32322 23654	7	   	274.99	橙4易伤2伤害1等级1时间	13a掉矿256a易伤4等级7核8时间9a伤害a序列升级
11	32222 23646	7	 * 	274.70	橙5易伤2等级1时间	13掉矿2356a易伤3序列升级49等级7核8时间
12	32256 11433	6	   	273.56	橙4易伤3时间1等级	13掉矿2359易伤35序列升级458时间6等级7核a雷电
13	32256 11433	7	   	273.56	橙4易伤3时间1等级	13掉矿2359易伤35序列升级458时间6等级7核a雷电
14	32256 11241	8	 * 	272.09	橙4易伤2时间1等级1伤害	13掉矿235a易伤35序列升级45时间6等级7核8矿等9伤害
15	32256 11241	6	   	272.09	橙4易伤2时间1等级1伤害	13掉矿235a易伤35序列升级45时间6等级7核8策反9伤害
16	32256 11241	7	   	272.09	橙4易伤2时间1等级1伤害	13掉矿235a易伤35序列升级45时间6等级7核8策反9伤害
17	32222 23653	7	   	271.99	橙4易伤2时间1等级1伤害	13掉矿2356易伤3序列升级4等级7核8a时间9伤害
18	32256 11412	9	   	271.04	橙4易伤2等级2时间	13掉矿2358易伤35序列升级45时间69等级7核a立即金币
19	32256 13631	10	   	271.04	橙4易伤2等级2时间	13掉矿2359易伤35序列升级45时间68等级7额外掉落a核
20	32256 11411	9	   	270.94	橙4易伤2等级2时间	13掉矿2358易伤35序列升级45时间69等级7核a赏金塔
21	32256 11412	10	 * 	270.94	橙4易伤3等级2时间	13掉矿2358易伤35序列升级45时间69a等级7核
22	32256 11413	9	   	270.94	橙4易伤2等级2时间	13a掉矿2358易伤35序列升级45时间69等级7核
23	32256 11131	9	   	270.37	橙5易伤2时间1等级	13掉矿2359a易伤35序列升级45时间6等级7核8敌人爆炸
24	32256 11136	10	   	270.37	橙5易伤2时间1等级	13掉矿2359a易伤35序列升级45时间6等级7核8敌人爆炸
25	32256 11421	9	   	270.37	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9最后敌人
26	32256 11431	8	   	270.37	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9低血量敌人
27	32256 11531	9	   	270.37	橙5易伤2时间1等级	13掉矿2359a易伤35序列升级45时间6等级7核8低血量敌人
28	32256 11631	7	   	270.37	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9低血量敌人
29	32256 11631	6	   	270.37	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9低血量敌人
30	32256 11411	8	   	270.27	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9挖尘
31	32256 11431	9	   	270.27	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9挖尘
32	32256 11611	7	   	270.27	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9挖尘
33	32256 11611	6	   	270.27	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9挖尘
34	12223 51631	1	 * 	268.62	橙3易伤2伤害2时间1等级	1基地爆炸28a易伤36伤害4等级57时间9核
35	22223 51631	1	   	268.62	橙3易伤2伤害2时间1等级	1敌人爆炸28a易伤36伤害4等级57时间9核
36	52223 51631	1	   	268.52	橙3易伤2伤害2时间1等级	1挖尘28a易伤36伤害4等级57时间9核
