0	Index      	 *	Score 	Summary	Detail	
1	35241 22113	 * 	306.81	紫橙1等级1易伤1伤害1攻速1全技能	1伤害2平台3随机技能49核5攻速6时间7全技能8易伤a等级
2	31624 13143	 * 	297.29	橙2等级2易伤1伤害1烈焰减费1攻速1暴击	1伤害29低血量敌人3烈焰减费4金币生成59等级6核7攻速89易伤9序列升级a暴击
3	45213 11351	   	284.06	橙2等级2易伤1烈焰减费2寒冰对甲1暴击	1随机技能29寒冰对甲3双倍矿4敌人爆炸5暴击69等级7烈焰减费89易伤9序列升级a核
4	45313 11351	   	284.06	橙2等级2易伤1烈焰减费2寒冰对甲1暴击	1随机技能29寒冰对甲3立即金币4敌人爆炸5暴击69等级7烈焰减费89易伤9序列升级a核
5	35231 32634	 * 	284.06	橙2易伤1等级3伤害1攻速2随机技能	146伤害2平台34随机技能4序列升级59易伤7核8攻速a等级
6	31624 13141	   	283.64	橙2等级2易伤1伤害1烈焰减费1攻速	1伤害29低血量敌人3烈焰减费4金币生成59等级6核7攻速89易伤9序列升级a最后敌人
7	31624 13142	   	283.54	橙2等级2易伤1伤害1烈焰减费1攻速	1伤害29低血量敌人3烈焰减费4金币生成59等级6核7攻速89易伤9序列升级a加一
8	12266 33632	 * 	283.18	橙3易伤1等级2全技能1伤害1攻速	1攻速249易伤34最后敌人4序列升级57全技能6等级8伤害a核
9	32266 33632	   	283.18	橙3易伤1等级2全技能1伤害1攻速	1伤害249易伤34最后敌人4序列升级57全技能6等级8攻速a核
10	42133 41342	 * 	281.65	橙3易伤2等级1攻速2随机技能	1a随机技能2攻速3技能4a等级5最后敌人6挖尘79a易伤8核a序列升级
11	32266 34222	   	280.89	橙2等级2易伤1伤害1毒气减费1全技能	1伤害24易伤34最后敌人4序列升级5全技能67等级8毒气减费9技能a核
12	32133 64112	 * 	279.20	橙橙1等级1易伤1伤害1暴击	1伤害2易伤3敌人爆炸4等级5基地爆炸6额外掉落7暴击8平台9a核
13	12135 71812	   	279.10	橙橙1等级1易伤1伤害1攻速	1攻速2易伤3敌人爆炸4等级5加一6额外掉落7基地爆炸8伤害9a核
14	32132 64112	   	279.10	橙橙1等级1易伤1伤害1暴击	1伤害2易伤3敌人爆炸4等级5挖尘6额外掉落7暴击8平台9a核
15	32612 64112	   	279.10	橙橙1等级1易伤1伤害1暴击	1伤害2易伤3等级4基地爆炸5挖尘6额外掉落7暴击8平台9a核
16	12661 11433	 * 	278.21	橙2等级2易伤3攻速1全技能	159攻速2a易伤39等级4技能6核79挖尘8全技能9序列升级
17	12631 11433	   	278.11	橙2等级2易伤3攻速1全技能	159攻速2a易伤39等级4核弹6核79挖尘8全技能9序列升级
18	35231 32334	   	277.35	橙2易伤1等级3伤害2随机技能	146伤害2平台34随机技能4序列升级59易伤7核8策反a等级
19	42325 31523	   	277.25	橙2等级2易伤1火球减费1攻速	1随机技能2攻速3低血量敌人48等级57易伤6策反9火球减费a核
20	52533 21113	   	276.82	橙2等级2易伤1伤害1攻速1暴击	17挖尘27等级3暴击4散射对甲57易伤6挖青7序列升级8核9攻速a伤害
21	22533 61143	 * 	276.82	橙2等级2易伤3时间2暴击	1挖青27等级37暴击4散射对甲5a易伤679时间7序列升级8核
