0	Index      	 *	Score 	Summary	Detail	
1	62226 36221	 * 	264.13	紫1基础对甲2伤害2易伤2基地爆炸1攻速	1核2a基地爆炸3攻速4技能5a伤害6双倍矿7策反8基础对甲9a易伤a序列升级
2	62226 33221	 * 	264.13	紫1基础对甲2攻速2易伤2基地爆炸1伤害	1核2a基地爆炸3a攻速4技能5伤害6双倍矿7随机矿8基础对甲9a易伤a序列升级
3	62226 63221	   	264.03	紫1基础对甲2伤害2易伤2基地爆炸1攻速	1核2a基地爆炸3攻速4技能5a伤害6火球减费7随机矿8基础对甲9a易伤a序列升级
4	62113 24511	   	250.51	紫1基础对甲2伤害1易伤1攻速1基地爆炸1暴击	1核2基地爆炸3敌人爆炸4a伤害5易伤6攻速7毒液对黄8基础对甲9暴击
5	62242 33221	   	244.67	紫1基础对甲2攻速2易伤2基地爆炸	1核2a基地爆炸3a攻速4立即金币5时间6双倍矿7随机矿8基础对甲9a易伤a序列升级
6	62241 63221	   	244.47	紫1基础对甲2攻速2易伤2基地爆炸	1核2a基地爆炸3a攻速4立即金币5挖青6火球减费7随机矿8基础对甲9a易伤a序列升级
7	61512 33221	   	241.79	紫1基础对甲2攻速2易伤2基地爆炸	1核2a攻速36双倍矿4a基地爆炸5时间7随机矿8基础对甲9a易伤a序列升级
8	62413 63221	   	241.69	紫1基础对甲2伤害2易伤2基地爆炸	1核2a基地爆炸3最后敌人4a伤害5双倍矿6火球减费7随机矿8基础对甲9a易伤a序列升级
9	61511 63221	   	241.59	紫1基础对甲2攻速2易伤2基地爆炸	1核2a攻速3双倍矿4a基地爆炸5挖青6火球减费7随机矿8基础对甲9a易伤a序列升级
10	62223 16221	   	241.59	紫1基础对甲2攻速2易伤2基地爆炸	1核2a基地爆炸3a攻速45技能6随机矿7策反8基础对甲9a易伤a序列升级
11	62326 63221	   	241.59	紫1基础对甲2伤害2易伤2基地爆炸	1核2a基地爆炸3策反4技能5a伤害6火球减费7随机矿8基础对甲9a易伤a序列升级
12	62132 33633	 * 	241.05	紫3攻速2易伤3基地爆炸1全技能	1核278基地爆炸389敌人爆炸4挖尘59易伤689攻速89序列升级a全技能
13	61112 35523	 * 	240.40	紫3易伤3攻速2基地爆炸1暴击	1核268攻速3喷火对黄48基地爆炸589易伤7挖青8序列升级a暴击
14	62212 53631	 * 	239.51	紫3易伤3基地爆炸2攻速1伤害	1核278基地爆炸39攻速489最后敌人5挖青689易伤89序列升级a伤害
15	62116 21521	 * 	238.30	紫1基础对甲2攻速2伤害1基地爆炸	1核2基地爆炸3敌人爆炸49伤害5时间6a攻速7低血量敌人8基础对甲
16	62112 21521	   	238.20	紫1基础对甲2攻速2伤害1基地爆炸	1核2基地爆炸3敌人爆炸49伤害5低血量敌人6a攻速7挖青8基础对甲
17	62112 22521	   	238.20	紫1基础对甲2攻速2伤害1基地爆炸	1核2基地爆炸3敌人爆炸49伤害5低血量敌人6a攻速7挖尘8基础对甲
18	62115 21521	   	238.20	紫1基础对甲2攻速2伤害1基地爆炸	1核2基地爆炸3敌人爆炸49伤害5挖青6a攻速7低血量敌人8基础对甲
19	62252 26221	 * 	237.78	紫3攻速2伤害1易伤2基地爆炸	1核28基地爆炸369攻速4易伤5挖青7a伤害
20	61122 12623	   	236.10	紫3易伤2攻速1伤害1暴击1全技能	1核28攻速38喷火对黄458易伤6技能7全技能8序列升级9伤害a暴击
21	61626 33221	   	235.75	紫1基础对甲2攻速2易伤1伤害	1核2a攻速3策反4a时间5伤害6双倍矿7随机矿8基础对甲9a易伤a序列升级
22	61636 33221	   	235.75	紫1基础对甲2攻速2易伤1伤害	1核2a攻速3策反4a敌人爆炸5伤害6双倍矿7随机矿8基础对甲9a易伤a序列升级
23	61623 36221	   	235.65	紫1基础对甲2攻速2易伤1伤害	1核2a攻速3策反4a时间5技能6双倍矿7伤害8基础对甲9a易伤a序列升级
24	61633 36221	   	235.65	紫1基础对甲2攻速2易伤1伤害	1核2a攻速3策反4a敌人爆炸5技能6双倍矿7伤害8基础对甲9a易伤a序列升级
25	61426 33221	   	235.45	紫1基础对甲2攻速2易伤1伤害	1核2a攻速3a挖尘4技能5伤害6双倍矿7随机矿8基础对甲9a易伤a序列升级
26	62112 22531	   	235.45	紫1基础对甲2攻速2基地爆炸1伤害	1核29基地爆炸3敌人爆炸4伤害5低血量敌人6a攻速7挖尘8基础对甲
27	61423 16221	   	235.35	紫1基础对甲2攻速2易伤1伤害	1核2a攻速3a挖尘45技能6随机矿7伤害8基础对甲9a易伤a序列升级
28	64215 23121	 * 	235.19	紫2基础对甲2伤害1攻速1全技能	1核2最后敌人3攻速4低血量敌人5全技能6a伤害7技能89基础对甲
29	62226 33243	   	234.26	紫1基础对甲2攻速1伤害1基地爆炸1暴击	1核2基地爆炸3a攻速4技能5伤害6双倍矿7随机矿8基础对甲9暴击
