0	Index      	 *	Score 	Summary	Detail	
1	41552 31122	 * 	237.61	橙3易伤2伤害1双倍秒伤2攻速1暴击1技能1策反	1双倍秒伤29攻速39伤害4暴击5策反6技能7核89a易伤9序列升级
2	54362 12322	 * 	233.85	橙5易伤2攻速1全技能	13457易伤24雷电4序列升级6核89攻速a全技能
3	24213 12426	 * 	229.99	橙3易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5敌人爆炸6核79a易伤89时间9序列升级
4	24212 12426	   	229.89	橙3易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5挖尘6核79a易伤89时间9序列升级
5	41552 31123	   	229.45	橙2易伤2伤害1双倍秒伤2攻速1暴击1技能1时间1策反	1双倍秒伤29攻速39伤害4暴击5策反6技能7核89易伤9序列升级a时间
6	54361 13112	 * 	221.63	橙4易伤1全技能1伤害1暴击	134a易伤24雷电4序列升级5暴击6核7金币生成8伤害9全技能
7	54362 12321	   	221.07	橙5易伤2攻速1时间	13457易伤24雷电4序列升级6核89攻速a时间
8	41552 31121	   	218.35	橙2易伤2伤害1双倍秒伤2攻速1暴击1技能1策反	1双倍秒伤29攻速39伤害4暴击5策反6技能7核89易伤9序列升级a挖尘
9	51411 21324	   	215.83	橙3易伤2伤害2攻速	19a易伤29伤害3平台4矿等5低血量敌人6核79攻速8双倍矿9序列升级
10	54361 13111	   	215.74	橙3易伤1全技能1伤害1暴击1时间	134易伤24雷电4序列升级5暴击6核7金币生成8伤害9全技能a时间
11	46112 41122	 * 	213.09	橙3易伤1双倍秒伤2伤害2暴击1技能1策反	1双倍秒伤29暴击39伤害4技能点5策反6技能7核89a易伤9序列升级
12	24232 12426	   	212.40	橙3易伤1全技能2时间1伤害	1立即金币2双倍矿3全技能49最后敌人5伤害6核79a易伤89时间9序列升级
13	11445 21121	 * 	211.27	橙3易伤3攻速1伤害	1低血量敌人2伤害3平台48a易伤579攻速6核
14	31445 21121	   	211.27	橙3易伤3攻速1伤害	1最后敌人2伤害3平台48a易伤579攻速6核
15	24213 12421	   	210.82	橙2易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5敌人爆炸6核79易伤89时间9序列升级a基地爆炸
16	24213 12422	   	210.82	橙2易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5敌人爆炸6核79易伤89时间9序列升级a随机矿
17	24213 12425	   	210.82	橙2易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5敌人爆炸6核79易伤89时间9序列升级a金币生成
18	24214 12421	   	210.82	橙2易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5低血量敌人6核79易伤89时间9序列升级a基地爆炸
19	24214 12422	   	210.82	橙2易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5低血量敌人6核79易伤89时间9序列升级a随机矿
20	51143 23631	 * 	210.78	橙3易伤3伤害1技能1策反	149易伤24a伤害3立即金币4序列升级5技能6核7低血量敌人8策反
21	24212 12421	   	210.72	橙2易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5挖尘6核79易伤89时间9序列升级a敌人爆炸
22	24212 12422	   	210.72	橙2易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5挖尘6核79易伤89时间9序列升级a随机矿
23	24212 12425	   	210.72	橙2易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5挖尘6核79易伤89时间9序列升级a金币生成
24	24216 12421	   	210.72	橙2易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5挖青6核79易伤89时间9序列升级a基地爆炸
25	24216 12422	   	210.72	橙2易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5挖青6核79易伤89时间9序列升级a随机矿
26	24213 12423	   	210.72	橙2易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5敌人爆炸6核79易伤89时间9序列升级a挖尘
27	24213 12424	   	210.72	橙2易伤2伤害1全技能2时间1挖怪	1立即金币2双倍矿3全技能49伤害5敌人爆炸6核79易伤89时间9序列升级a挖怪
28	24214 12423	   	210.72	橙2易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5低血量敌人6核79易伤89时间9序列升级a挖尘
29	24212 12423	   	210.62	橙2易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5a挖尘6核79易伤89时间9序列升级
30	24212 12424	   	210.62	橙2易伤2伤害1全技能2时间1挖怪	1立即金币2双倍矿3全技能49伤害5挖尘6核79易伤89时间9序列升级a挖怪
31	24216 12423	   	210.62	橙2易伤2伤害1全技能2时间	1立即金币2双倍矿3全技能49伤害5挖青6核79易伤89时间9序列升级a挖尘
32	61135 21417	   	210.52	橙2易伤2伤害1全技能2时间	1基地爆炸28伤害34时间5加一6核79易伤a全技能
33	54362 12323	   	210.07	橙5易伤2攻速	13457易伤24雷电4序列升级6核89攻速a最后敌人
34	51141 22511	 * 	209.40	橙3伤害2易伤1双倍秒伤1全技能1策反	14易伤24a伤害3立即金币4序列升级5双倍秒伤6策反7平台8全技能9核
35	51123 32323	 * 	208.89	橙5易伤2伤害1技能	14689易伤28伤害3立即金币5技能78金币生成8序列升级a核
36	54361 13121	   	208.88	橙3易伤2伤害1暴击1策反	134易伤24雷电4序列升级5暴击6核7金币生成8a伤害9策反
37	24213 12326	   	208.77	橙3易伤2伤害1全技能	1立即金币2双倍矿3全技能49伤害5敌人爆炸6核79a易伤89低血量敌人9序列升级
38	24212 12126	   	208.67	橙3易伤2伤害1全技能	1立即金币2双倍矿3全技能49伤害5挖尘6核79a易伤89基地爆炸9序列升级
39	24212 12326	   	208.67	橙3易伤2伤害1全技能	1立即金币2双倍矿3全技能49伤害5挖尘6核79a易伤89低血量敌人9序列升级
40	24216 12326	   	208.67	橙3易伤2伤害1全技能	1立即金币2双倍矿3全技能49伤害5挖青6核79a易伤89低血量敌人9序列升级
41	24232 12526	   	208.67	橙3易伤2伤害1全技能	1立即金币2双倍矿3全技能49最后敌人59伤害6核79a易伤8挖青9序列升级
42	51143 23326	   	208.57	橙3易伤2伤害1全技能1技能	14a易伤24伤害3立即金币4序列升级5技能6核7低血量敌人8全技能9随机矿
43	51161 35133	 * 	208.55	橙1易伤1全技能1伤害1核弹1攻速1暴击1时间1挖怪	1易伤2伤害3立即金币4时间5攻速6暴击7核8全技能9挖怪a核弹
44	51143 23316	   	208.23	橙2易伤2伤害1双倍秒伤1全技能1技能	14易伤24伤害3立即金币4序列升级5技能6核7低血量敌人8全技能9敌人爆炸a双倍秒伤
45	24213 12212	   	208.23	橙2易伤2伤害1双倍秒伤1全技能	1立即金币2双倍矿3全技能48伤害5敌人爆炸6核79易伤a双倍秒伤
46	24214 12212	   	208.23	橙2易伤2伤害1双倍秒伤1全技能	1立即金币2双倍矿3全技能48伤害5低血量敌人6核79易伤a双倍秒伤
47	24232 12212	   	208.23	橙2易伤2伤害1双倍秒伤1全技能	1立即金币2双倍矿3全技能4最后敌人58伤害6核79易伤a双倍秒伤
48	24262 12212	   	208.23	橙2易伤2伤害1双倍秒伤1全技能	1立即金币2双倍矿3全技能4低血量敌人58伤害6核79易伤a双倍秒伤
49	24212 12212	   	208.13	橙2易伤2伤害1双倍秒伤1全技能	1立即金币2双倍矿3全技能48伤害5挖尘6核79易伤a双倍秒伤
50	24216 12212	   	208.13	橙2易伤2伤害1双倍秒伤1全技能	1立即金币2双倍矿3全技能48伤害5挖青6核79易伤a双倍秒伤
51	24242 12212	   	208.13	橙2易伤2伤害1双倍秒伤1全技能	1立即金币2双倍矿3全技能4挖尘58伤害6核79易伤a双倍秒伤
52	51143 23336	   	208.13	橙2易伤2伤害1双倍秒伤1全技能1技能1挖怪	14易伤24伤害3立即金币4序列升级5技能6核7低血量敌人8全技能9挖怪a双倍秒伤
53	51362 53121	   	208.07	橙3伤害2易伤1全技能1时间	18易伤267伤害3金币生成4时间5全技能9额外掉落a核
54	51426 11213	   	208.02	橙3易伤1双倍秒伤1伤害1暴击1策反	159易伤2伤害3平台4敌人爆炸6策反7核8暴击a双倍秒伤
55	61436 11213	   	208.02	橙3易伤1双倍秒伤1伤害1暴击1策反	1基地爆炸2伤害3平台459易伤6策反7核8暴击a双倍秒伤
56	51443 11213	   	207.92	橙3易伤1双倍秒伤1伤害1暴击1策反	149易伤2伤害3平台5挖尘6策反7核8暴击a双倍秒伤
