0	Index      	 *	Score 	Summary	Detail	
1	22234 31516	 * 	271.95	橙橙2易伤1矿等1时间1暴击1技能	1技能2时间3矿等49易伤5暴击6赏金塔7a核8雷电
2	51522 36131	 * 	262.28	橙橙2易伤1等级	1头目24易伤3平台5等级6敌人爆炸7随机矿89核a攻速
3	51522 51131	   	262.28	橙橙2易伤1等级	1头目24易伤3平台5等级6随机矿7最后敌人89核a攻速
4	51522 34331	   	262.18	橙橙2易伤1等级	1头目24易伤3平台5等级6敌人爆炸79核8掉矿a攻速
5	22234 31536	 * 	258.19	橙橙1易伤2时间1矿等1暴击1技能	1技能29时间3矿等4易伤5暴击6赏金塔7a核8雷电
6	51522 36132	   	255.34	橙橙2易伤1等级	1头目24易伤3平台5等级6敌人爆炸7随机矿89核a金币生成
7	51522 51132	   	255.34	橙橙2易伤1等级	1头目24易伤3平台5等级6随机矿7最后敌人89核a金币生成
8	51522 34332	   	255.24	橙橙2易伤1等级	1头目24易伤3平台5等级6敌人爆炸79核8掉矿a金币生成
9	51522 36133	   	255.24	橙橙2易伤1等级1挖怪	1头目24易伤3平台5等级6敌人爆炸7随机矿89核a挖怪
10	51522 51133	   	255.24	橙橙2易伤1等级1挖怪	1头目24易伤3平台5等级6随机矿7最后敌人89核a挖怪
11	51522 34333	   	255.14	橙橙2易伤1等级1挖怪	1头目24易伤3平台5等级6敌人爆炸79核8掉矿a挖怪
12	51541 23131	   	251.58	橙橙1易伤1等级1矿等	1头目2易伤3平台4等级5矿等6挖尘7立即金币89核a攻速
13	51323 21462	   	249.39	橙橙1易伤1等级1全技能1卖塔	1头目2易伤3卖塔4金币生成5爆破对冰6全技能79核8攻速a等级
14	22234 31256	   	245.64	橙橙1易伤1矿等1时间1暴击1技能	1技能2时间3矿等4易伤5暴击6赏金塔7a核8火球减费9头目
15	51541 23132	   	244.64	橙橙1易伤1等级1矿等	1头目2易伤3平台4等级5矿等6挖尘7立即金币89核a金币生成
16	51541 23133	   	244.64	橙橙1易伤1等级1矿等	1头目2易伤3平台4等级5矿等6挖尘7立即金币89核a基地爆炸
17	51433 23322	 * 	243.36	紫橙3易伤1等级	1头目256易伤3a核4掉矿7等级8随机矿9防空对头目
18	23226 11536	   	242.59	橙橙1易伤1等级1技能1暴击	1技能2暴击3等级4低血量敌人5激光对绿6金币生成7掉矿8a核9易伤
