0	Index      	 *	Score 	Summary	Detail	
1	11211 25653	 * 	282.55	橙橙2易伤3伤害	1赏金邻近29策反39易伤4敌人爆炸5金币生成68核79a伤害9序列升级
2	25132 43143	 * 	267.84	橙橙2易伤2矿等1雷电	1策反24易伤3a矿等5赏金邻近6雷电79核8技能点
3	11211 25651	   	266.89	橙橙2易伤2伤害	1赏金邻近29策反39易伤4敌人爆炸5金币生成68核79伤害9序列升级a最后敌人
4	11211 25652	   	266.89	橙橙2易伤2伤害	1赏金邻近29策反39易伤4敌人爆炸5金币生成68核79伤害9序列升级a平台
5	11231 43146	 * 	266.05	橙橙2易伤1等级1雷电	1赏金邻近2策反35易伤4掉矿6雷电79核8技能点a等级
6	11211 25633	   	260.11	橙橙2易伤1伤害1雷电	1赏金邻近2策反3a易伤4敌人爆炸5金币生成68核7伤害9雷电
7	21233 25633	   	260.11	橙橙2易伤1伤害1雷电	1策反2金币生成3敌人爆炸4a易伤5赏金邻近68核7伤害9雷电
8	61211 25633	   	260.11	橙橙2易伤1伤害1雷电	1赏金塔2策反3a易伤4敌人爆炸5金币生成68核7伤害9雷电
9	11211 25635	 * 	260.11	橙橙1易伤1等级1伤害1雷电	1赏金邻近2策反3易伤4敌人爆炸5金币生成68核7伤害9雷电a等级
10	21233 25635	   	260.11	橙橙1易伤1等级1伤害1雷电	1策反2金币生成3敌人爆炸4易伤5赏金邻近68核7伤害9雷电a等级
11	21233 25653	   	256.34	橙橙3伤害1易伤	19策反29金币生成3敌人爆炸4易伤5赏金邻近68核79a伤害9序列升级
12	25132 43141	   	255.55	橙橙2易伤1矿等1雷电	1策反24易伤3矿等5赏金邻近6雷电79核8技能点a敌人爆炸
13	25132 43142	   	255.55	橙橙2易伤1矿等1雷电	1策反24易伤3矿等5赏金邻近6雷电79核8技能点a基地爆炸
14	11231 43643	   	255.55	橙橙2易伤1矿等1雷电	1赏金邻近2策反35易伤4掉矿6雷电79核8金币生成a矿等
15	11231 43143	   	255.45	橙橙2易伤1矿等1雷电	1赏金邻近2策反35易伤4掉矿6雷电79核8技能点a矿等
16	61231 43143	   	255.45	橙橙2易伤1矿等1雷电	1赏金塔2策反35易伤4掉矿6雷电79核8技能点a矿等
