0	Index      	 *	Score 	Summary	Detail	
1	61351 25332	 * 	275.31	DCR|DCR|1VULN|2DUR|1TLV|1DMG	1DMG|26DUR|3TLV|4RAT|56LHND|6BPWR|7VULN|8aRCR|9DUST
2	61351 42332	 * 	273.09	DCR|DCR|2TLV|1VULN|1DMG|1DUR	1DMG|2DUR|37TLV|4RAT|5LHND|6VULN|8aRCR|9DUST
3	61352 15332	   	273.09	DCR|DCR|2TLV|1VULN|1DMG|1DUR	1DMG|2DUR|35TLV|4RAT|6LHND|7VULN|8aRCR|9DUST
4	61352 24221	   	273.09	DCR|DCR|2TLV|1VULN|1DMG|1DUR	1DMG|2DUR|35TLV|4RAT|6TBNT|7VULN|89RCR|aRPLT
5	61352 24222	   	273.09	DCR|DCR|2TLV|1VULN|1DMG|1DUR	1DMG|2DUR|35TLV|4RAT|6TBNT|7VULN|89RCR|aLIT
6	61352 24223	   	273.09	DCR|DCR|2TLV|1VULN|1DMG|1DUR	1DMG|2DUR|35TLV|4RAT|6TBNT|7VULN|89RCR|aLHND
7	11613 16342	 * 	268.99	DCR|DCR|2VULN|1TLV|1DUR	1DUR|2RAT|35VULN|4TLV|6ZMB|7LWND|8aRCR|9FEWX
8	11611 14332	   	268.89	DCR|DCR|2VULN|1TLV|1DUR|1AAC	1DUR|2RAT|36VULN|4TLV|5DUST|7AAC|8aRCR|9LWND
9	11611 14352	   	268.89	DCR|DCR|2VULN|1TLV|1DUR|1AAC	1DUR|2RAT|36VULN|4TLV|5DUST|7AAC|8aRCR|9LHND
10	11613 12332	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1DUR|2RAT|35VULN|4TLV|6ZMB|7DUST|8aRCR|9LWND
11	11613 12352	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1DUR|2RAT|35VULN|4TLV|6ZMB|7DUST|8aRCR|9LHND
12	11613 16332	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1DUR|2RAT|35VULN|4TLV|6ZMB|7LWND|8aRCR|9DUST
13	11613 34332	   	268.89	DCR|DCR|2VULN|1TLV|1DUR|1AAC	1DUR|2RAT|35VULN|4TLV|6DUST|7AAC|8aRCR|9LWND
14	11613 34352	   	268.89	DCR|DCR|2VULN|1TLV|1DUR|1AAC	1DUR|2RAT|35VULN|4TLV|6DUST|7AAC|8aRCR|9LHND
15	11613 54332	   	268.89	DCR|DCR|2VULN|1TLV|1DUR|1AAC	1DUR|2RAT|35VULN|4TLV|6LWND|7AAC|8aRCR|9DUST
16	61311 15342	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2DUR|3TLV|4AEPOI|5RAT|6LHND|7VULN|8aRCR|9FEWX
17	61311 24221	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2DUR|3TLV|4AEPOI|5RAT|6TBNT|7VULN|89RCR|aRPLT
18	61311 24222	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2DUR|3TLV|4AEPOI|5RAT|6TBNT|7VULN|89RCR|aLIT
19	61311 24223	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2DUR|3TLV|4AEPOI|5RAT|6TBNT|7VULN|89RCR|aLHND
20	61311 24224	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2DUR|3TLV|4AEPOI|5RAT|6TBNT|7VULN|89RCR|aRMIN
21	61311 15332	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2DUR|3TLV|4AEPOI|5RAT|6LHND|7VULN|8aRCR|9DUST
22	61311 55332	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2DUR|3TLV|4AEPOI|5RAT|6LWND|7VULN|8aRCR|9DUST
23	62351 42332	   	259.44	DCR|DCR|2TLV|1VULN|1DMG	1DMG|2DUST|37TLV|4RAT|5LHND|6VULN|8aRCR|9LWND
24	62352 24221	   	259.34	DCR|DCR|2TLV|1VULN|1DMG	1DMG|2DUST|35TLV|4RAT|6TBNT|7VULN|89RCR|aRPLT
25	62352 24222	   	259.34	DCR|DCR|2TLV|1VULN|1DMG	1DMG|2DUST|35TLV|4RAT|6TBNT|7VULN|89RCR|aLIT
26	62352 24223	   	259.34	DCR|DCR|2TLV|1VULN|1DMG	1DMG|2DUST|35TLV|4RAT|6TBNT|7VULN|89RCR|aLHND
27	11623 16342	   	258.39	DCR|DCR|2VULN|1MLV|1DUR	1DUR|2RAT|35VULN|4MLV|6ZMB|7LWND|8aRCR|9FEWX
28	11621 14332	   	258.29	DCR|DCR|2VULN|1MLV|1DUR|1AAC	1DUR|2RAT|36VULN|4MLV|5DUST|7AAC|8aRCR|9LWND
29	11621 14352	   	258.29	DCR|DCR|2VULN|1MLV|1DUR|1AAC	1DUR|2RAT|36VULN|4MLV|5DUST|7AAC|8aRCR|9LHND
30	11623 12332	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1DUR|2RAT|35VULN|4MLV|6ZMB|7DUST|8aRCR|9LWND
31	11623 12352	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1DUR|2RAT|35VULN|4MLV|6ZMB|7DUST|8aRCR|9LHND
32	11623 16332	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1DUR|2RAT|35VULN|4MLV|6ZMB|7LWND|8aRCR|9DUST
33	11623 34332	   	258.29	DCR|DCR|2VULN|1MLV|1DUR|1AAC	1DUR|2RAT|35VULN|4MLV|6DUST|7AAC|8aRCR|9LWND
34	11623 34352	   	258.29	DCR|DCR|2VULN|1MLV|1DUR|1AAC	1DUR|2RAT|35VULN|4MLV|6DUST|7AAC|8aRCR|9LHND
