0	Index      	 *	Score 	Summary	Detail	
1	13563 22352	 * 	282.44	DCR|DCR|2VULN|1TLV|1DUR|1AART	1SPLREG|24VULN|3AART|5TLV|6aRCR|7AEFBLL|8BOSS|9DUR
2	13563 23612	   	268.89	DCR|DCR|2VULN|1TLV|1AART	1SPLREG|24VULN|3AART|5TLV|6aRCR|7LIT|8DMSP|9LHND
3	13563 22312	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1SPLREG|24VULN|3AART|5TLV|6aRCR|7AEFBLL|8BOSS|9LHND
4	13563 23632	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1SPLREG|24VULN|3AART|5TLV|6aRCR|7LIT|8DMSP|9DUST
5	13563 22332	   	268.69	DCR|DCR|2VULN|1TLV|1AART	1SPLREG|24VULN|3AART|5TLV|6aRCR|7AEFBLL|8BOSS|9DUST
6	13632 23264	 * 	257.82	DCR|DCR|3VULN	1SPLREG|256VULN|3BBNT|4AIRARM|7aRCR|8ASPD|9SPLARM
7	13533 23652	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1SPLREG|2VULN|3AART|48DMSP|5TLV|6aRCR|7LIT|9DUR
8	13533 22352	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AART	1SPLREG|2VULN|3AART|4DMSP|5TLV|6aRCR|7AEFBLL|8BOSS|9DUR
9	23623 32536	 * 	255.14	DCR|DCR|2VULN|2DUR	1MDPS|25VULN|3RMIN|49FEWX|68DUR|7aRCR
10	23233 42536	   	254.94	DCR|DCR|2VULN|2DUR	1MDPS|25VULN|3ERES|48DUR|6LHND|7aRCR|9AEFRZ
11	23233 62536	   	254.94	DCR|DCR|2VULN|2DUR	1MDPS|25VULN|3ERES|48DUR|6LWND|7aRCR|9AEFRZ
12	23216 12536	   	254.84	DCR|DCR|2VULN|2DUR	1MDPS|24VULN|3ERES|58DUR|6LEGI|7aRCR|9AEFRZ
13	23233 12536	   	254.84	DCR|DCR|2VULN|2DUR	1MDPS|25VULN|3ERES|48DUR|6LEGI|7aRCR|9AEFRZ
