0	Index      	 *	Score 	Summary	Detail	
1	26433 14212	 * 	268.59	DCR|DCR|2VULN|1TLV|1CDMG	1AEPOI|2ERES|39VULN|4TLV|5BBNT|6aRCR|7AME|8CDMG
2	23824 32526	 * 	268.59	DCR|DCR|1VULN|2DUR|1TLV|1CDMG	1AEPOI|2MBVNT|38DUR|4CDMG|5BBNT|6VULN|7TLV|9aRCR
3	42225 14113	 * 	268.42	DCR|3VULN|2DMG|2TLV|2MLV	1aDMG|249VULN|3RPLT|5aTLV|6BELT|7RCR|8aMLV|aBPWR
4	41232 21145	 * 	267.49	ACR|DCR|2VULN|2DUR|1TLV|1DMG	1DMG|2aRCR|34DUR|5SNIFST|6BEXP|78VULN|9TLV
5	41232 31145	   	267.49	ACR|DCR|2VULN|2DUR|1TLV|1DMG	1DMG|2aRCR|34DUR|5SNIFST|6LHND|78VULN|9TLV
6	42121 86244	 * 	266.59	DCR|DCR|2VULN|2DMG|1AAC	18DMG|2aVULN|3AAC|4MBVNT|5FEWX|67RCR|9DLOT
7	42121 86213	 * 	266.59	DCR|DCR|2DMG|1VULN|1TLV|1AAC	18DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|9TBNT|aTLV
8	42122 86214	   	266.59	DCR|DCR|2DMG|1VULN|1TLV|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|9TBNT|aTLV
9	42122 86243	 * 	266.59	DCR|DCR|2DMG|1VULN|2AAC|1DUR	18DMG|2VULN|3aAAC|4MBVNT|5LHND|67RCR|9DUR
10	42124 86213	   	266.59	DCR|DCR|2DMG|1VULN|1TLV|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|9TBNT|aTLV
11	42124 86243	   	266.59	DCR|DCR|2DMG|1VULN|2AAC|1DUR	18DMG|2VULN|3aAAC|4MBVNT|5LWND|67RCR|9DUR
12	25431 24212	 * 	264.73	DCR|DCR|3VULN|1CDMG	1AEPOI|2RMIN|379VULN|4TBNT|5LHND|6aRCR|8CDMG
13	42121 86143	   	262.75	DCR|DCR|2VULN|1DMG|1CDMG|1AAC	1DMG|2aVULN|3AAC|4MBVNT|5FEWX|67RCR|8CDMG|9LIT
14	31631 64212	   	261.08	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	13DUR|2BEXP|4aRCR|59VULN|6MDPS|7TLV|8CDMG
15	41232 12525	 * 	258.87	ACR|DCR|2DMG|1VULN|2DUR|1TLV	16DMG|2aRCR|34DUR|5SNIFST|7LHND|8TLV|9VULN
16	41232 16121	   	258.87	ACR|DCR|2DMG|1VULN|2DUR|1TLV	16DMG|28RCR|34DUR|5SNIFST|7TLV|9BOSS|aVULN
17	41232 16136	   	258.77	ACR|DCR|2DMG|1VULN|2DUR|1TLV	16DMG|28RCR|34DUR|5SNIFST|7TLV|9MDPS|aVULN
18	31561 31325	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1DUR|2BEXP|3FEWX|4RPLT|56VULN|7DUST|8MLV|9aRCR
19	23824 48226	 * 	257.83	DCR|DCR|1VULN|2MLV|1DUR|1CDMG	1AEPOI|2MBVNT|3DUR|4CDMG|5BBNT|67MLV|8VULN|9aRCR
20	41162 52123	 * 	256.19	ACR|4VULN|3DMG|3DUR|1AART	189DMG|2RCR|3AART|4RCVC|5TBNT|689DUR|789aVULN|89BPWR
21	41253 53123	   	256.19	ACR|4VULN|3DMG|3DUR|1AART	189DMG|2RCR|389DUR|4DMSP|589aVULN|6AART|7TBNT|89BPWR
22	31226 32225	   	255.14	DCR|DCR|1VULN|2DUR|1TLV	19DUR|2BEXP|3LHND|4AETHUN|5RPLT|6VULN|7TLV|8aRCR
23	23841 28432	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1AEPOI|2MBVNT|38DUR|4VULN|5FEWX|6RAT|7aRCR|9TLV
24	23842 28432	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1AEPOI|2MBVNT|38DUR|4VULN|5LHND|6RAT|7aRCR|9TLV
25	23844 28432	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1AEPOI|2MBVNT|38DUR|4VULN|5LWND|6RAT|7aRCR|9TLV
26	41233 26512	   	255.04	ACR|DCR|2VULN|2DUR|1DMG|1CDMG	1DMG|28RCR|34DUR|5aVULN|6CDMG|7CGEN|9LIT
27	41233 26522	   	255.04	ACR|DCR|2VULN|2DUR|1DMG|1CDMG	1DMG|28RCR|34DUR|5aVULN|6CDMG|7CGEN|9BOSS
28	23447 28432	   	254.94	DCR|DCR|1VULN|2DUR|1TLV	1AEPOI|2MBVNT|3LEGI|4VULN|58DUR|6RAT|7aRCR|9TLV
29	26433 14112	   	254.70	DCR|DCR|2VULN|1TLV|1SELL	1AEPOI|2ERES|39VULN|4TLV|5BBNT|6aRCR|7AME|8SELL
30	42122 86241	   	254.14	DCR|DCR|2DMG|1VULN|1DUR|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|9DUR|aDMSP
31	42122 86244	   	254.14	DCR|DCR|2DMG|1VULN|1DUR|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|9DUR|aFEWX
32	42124 86241	   	254.14	DCR|DCR|2DMG|1VULN|1DUR|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|9DUR|aDMSP
33	42124 86244	   	254.14	DCR|DCR|2DMG|1VULN|1DUR|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|9DUR|aFEWX
34	42225 14311	   	254.07	DCR|3VULN|2DMG|2TLV|2ASPD	1aDMG|249VULN|3RPLT|5aTLV|6BELT|7RCR|8aASPD|aBPWR
35	42122 86242	   	254.04	DCR|DCR|2DMG|1VULN|1DUR|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|9DUR|aERES
36	42124 86242	   	254.04	DCR|DCR|2DMG|1VULN|1DUR|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|9DUR|aERES
37	13114 36115	 * 	253.02	DCR|DCR|2TLV|1VULN|1CDMG|1AAC	18TLV|2CDMG|3LWND|4AAC|5ZMB|6aRCR|7BBNT|9VULN
38	42122 86233	   	252.94	DCR|DCR|2DMG|1VULN|2AAC	18DMG|2VULN|3aAAC|4MBVNT|5LHND|67RCR|9FEWX
39	42124 86233	   	252.94	DCR|DCR|2DMG|1VULN|2AAC	18DMG|2VULN|3aAAC|4MBVNT|5LWND|67RCR|9FEWX
40	41162 52122	   	252.63	ACR|3VULN|3DMG|3DUR|1MLV|1AART	189DMG|2RCR|3AART|4RCVC|5TBNT|689DUR|789VULN|89BPWR|aMLV
41	41253 53122	   	252.63	ACR|3VULN|3DMG|3DUR|1MLV|1AART	189DMG|2RCR|389DUR|4DMSP|589VULN|6AART|7TBNT|89BPWR|aMLV
42	25431 24112	   	250.84	DCR|DCR|3VULN|1SELL	1AEPOI|2RMIN|379VULN|4TBNT|5LHND|6aRCR|8SELL
