0	Index      	 *	Score 	Summary	Detail	
1	21542 16842	 * 	288.83	DCR|DCR|3VULN|2DMG	1BELT|267VULN|3MBVNT|4RPLT|57DMG|7BPWR|8aRCR|9AEWIND
2	61413 31232	 * 	266.69	DCR|DCR|2DMG|1VULN|2DUR	16FEWX|2CGEN|34DUR|56DMG|6BPWR|7AEFBLL|89RCR|aVULN
3	61413 32232	   	266.69	DCR|DCR|2DMG|1VULN|2DUR	16FEWX|2CGEN|34DUR|56DMG|6BPWR|7AEBURN|89RCR|aVULN
4	62513 31232	   	266.69	DCR|DCR|2DMG|1VULN|2DUR	16FEWX|24DUR|3CGEN|56DMG|6BPWR|7AEFBLL|89RCR|aVULN
5	62513 32232	   	266.69	DCR|DCR|2DMG|1VULN|2DUR	16FEWX|24DUR|3CGEN|56DMG|6BPWR|7AEBURN|89RCR|aVULN
6	62643 31232	   	266.69	DCR|DCR|2DMG|1VULN|2DUR	16FEWX|23DUR|4CGEN|56DMG|6BPWR|7AEFBLL|89RCR|aVULN
7	62643 32232	   	266.69	DCR|DCR|2DMG|1VULN|2DUR	16FEWX|23DUR|4CGEN|56DMG|6BPWR|7AEBURN|89RCR|aVULN
8	62651 31232	   	266.69	DCR|DCR|2DMG|1VULN|2DUR	1FEWX|23DUR|4DMSP|56DMG|7CGEN|89RCR|aVULN
9	33163 11231	   	264.83	DCR|DCR|3VULN|1DUR|1AAC	1AAC|2aRMIN|346VULN|5DUR|7AEFRZ|89RCR
10	33163 11233	   	264.83	DCR|DCR|3VULN|1DUR|1AAC	1AAC|2RMIN|346VULN|5DUR|7AEFRZ|89RCR|aCGEN
11	33163 11234	   	264.83	DCR|DCR|3VULN|1DUR|1AAC	1AAC|2RMIN|346VULN|5DUR|7AEFRZ|89RCR|aRCVC
12	33163 11235	   	264.83	DCR|DCR|3VULN|1DUR|1AAC	1AAC|2RMIN|346VULN|5DUR|7AEFRZ|89RCR|aBOSS
13	33163 11236	   	264.83	DCR|DCR|3VULN|1DUR|1AAC	1AAC|2RMIN|346VULN|5DUR|7AEFRZ|89RCR|aLWND
14	33163 11232	   	264.73	DCR|DCR|3VULN|1DUR|1AAC	1AAC|2RMIN|346VULN|5DUR|7AEFRZ|89RCR|aFLTFST
15	21562 84233	   	262.75	DCR|DCR|2VULN|1DMG|1AART	1BELT|27VULN|3MBVNT|4AART|5BEXP|6CGEN|8DMG|9aRCR
16	21562 34233	   	262.65	DCR|DCR|2VULN|1DMG|1AART	1BELT|27VULN|3MBVNT|4AART|5BEXP|6AME|8DMG|9aRCR
17	21562 44233	   	262.65	DCR|DCR|2VULN|1DMG|1AART	1BELT|27VULN|3MBVNT|4AART|5BEXP|6ERES|8DMG|9aRCR
18	21612 33354	 * 	261.01	DCR|3VULN|2DMG|2TLV|1DUR	1BELT|267VULN|37DMG|4BBNT|57TLV|7BPWR|8DUR|9ASPD|aRCR
19	21612 33144	 * 	259.49	DCR|4VULN|2DMG|2TLV	1BELT|2679VULN|37DMG|4BBNT|57TLV|7BPWR|8AEFBLL|aRCR
