0	Index      	 *	Score 	Summary	Detail	
1	41361 36213	 * 	285.74	DCR|DCR|2VULN|2TLV|1DMG	17TLV|25VULN|35FEWX|4BBNT|5BPWR|6BELT|8aRCR|9DMG
2	41361 32213	   	275.41	DCR|DCR|2VULN|1TLV|1DMG	1TLV|25VULN|35FEWX|4BBNT|5BPWR|6BELT|7RCVC|8aRCR|9DMG
3	11242 63233	 * 	266.59	DCR|DCR|2DMG|1VULN|1TLV	1RMIN|2TLV|3VULN|4BELT|56DMG|7BBNT|8aRCR|9ERES
4	41533 11334	 * 	266.15	DCR|4VULN|3TLV|2DMG	15aTLV|289aVULN|3RPLT|4aDMG|6BELT|7RCR|aBPWR
5	41361 32253	   	262.28	DCR|DCR|2VULN|1TLV	1TLV|25VULN|35FEWX|4BBNT|5BPWR|6BELT|7RCVC|8aRCR|9ASPD
6	41122 36213	   	259.44	DCR|DCR|2TLV|1VULN|1DMG	17TLV|2VULN|3RCVC|4BEXP|5TBNT|6BELT|8aRCR|9DMG
7	41622 36213	   	259.44	DCR|DCR|2TLV|1VULN|1DMG	17TLV|2VULN|3DMSP|4BEXP|5TBNT|6BELT|8aRCR|9DMG
8	13232 52213	   	259.34	DCR|DCR|2TLV|1VULN|1DMG	1RMIN|2BBNT|35ERES|45TLV|5BPWR|6VULN|7BELT|8aRCR|9DMG
9	41112 36213	   	259.34	DCR|DCR|2TLV|1VULN|1DMG	17TLV|2VULN|3RCVC|4DUST|5TBNT|6BELT|8aRCR|9DMG
10	41312 36213	   	259.34	DCR|DCR|2TLV|1VULN|1DMG	17TLV|2VULN|3FEWX|4AEFBLL|5TBNT|6BELT|8aRCR|9DMG
11	41362 36213	   	259.34	DCR|DCR|2TLV|1VULN|1DMG	17TLV|2VULN|3FEWX|4BBNT|5AEFBLL|6BELT|8aRCR|9DMG
12	41612 36213	   	259.34	DCR|DCR|2TLV|1VULN|1DMG	17TLV|2VULN|3DMSP|4DUST|5TBNT|6BELT|8aRCR|9DMG
13	41325 15331	 * 	258.15	DCR|3VULN|2FLTARM|2TLV|1AAC	1aTLV|25aVULN|3FEWX|4ASPD|6BOSS|7AAC|8aFLTARM|9RCR|aBPWR
14	11212 15511	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1RMIN|2TLV|3VULN|4CDMG|5TBNT|6MDPS|7aRCR|8DUR|9LWND
15	11212 15561	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1RMIN|2TLV|3VULN|4CDMG|5TBNT|6MDPS|7aRCR|8DUR|9LHND
16	11212 15521	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1RMIN|2TLV|3VULN|4CDMG|5TBNT|6MDPS|7aRCR|8DUR|9DUST
17	41212 15511	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1TLV|2VULN|3AME|4CDMG|5TBNT|6MDPS|7aRCR|8DUR|9LWND
18	41212 15521	   	256.04	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1TLV|2VULN|3AME|4CDMG|5TBNT|6MDPS|7aRCR|8DUR|9DUST
