0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66213 34311	5	 * 	313.15	橙3易伤3伤害2等级2时间	1全技能2a时间34等级58a易伤67a伤害9核a序列升级
2	66213 35311	5	 * 	310.73	橙3易伤2等级3时间2伤害	1全技能27a时间34等级58a易伤6a伤害9核a序列升级
3	22154 23341	1	 * 	302.81	橙5易伤3等级3时间	1378a易伤278时间4双倍矿578等级6加一78序列升级9核
4	24154 23341	2	   	302.81	橙5易伤3等级3时间	1378a易伤278时间4双倍矿578等级6加一78序列升级9核
5	66213 36311	5	   	297.50	橙3易伤2等级2伤害2时间	1全技能2a时间34等级58a易伤6a伤害7立即金币9核a序列升级
6	21164 41111	4	   	294.30	橙4易伤2等级2时间1暴击1卖塔	138a易伤2暴击4a时间5a等级6全技能7核9卖塔a序列升级
7	22164 23162	2	   	289.68	橙5易伤2等级2时间	13479易伤24低血量敌人47序列升级57等级67时间8核a金币生成
8	22164 23163	2	   	289.68	橙5易伤2等级2时间	13479易伤24低血量敌人47序列升级57等级67时间8核a最后敌人
9	23164 23162	1	   	289.68	橙5易伤2等级2时间	13479易伤24低血量敌人47序列升级57等级67时间8核a金币生成
10	23164 23163	1	   	289.68	橙5易伤2等级2时间	13479易伤24低血量敌人47序列升级57等级67时间8核a最后敌人
11	22164 23134	2	   	289.58	橙5易伤2等级2时间	1347a易伤24低血量敌人47序列升级57等级67时间8核9挖尘
12	22164 23161	2	   	289.58	橙5易伤2等级2时间	13479易伤24低血量敌人47序列升级57等级67时间8核a挖尘
13	23164 23134	1	   	289.58	橙5易伤2等级2时间	1347a易伤24低血量敌人47序列升级57等级67时间8核9挖尘
14	23164 23161	1	   	289.58	橙5易伤2等级2时间	13479易伤24低血量敌人47序列升级57等级67时间8核a挖尘
15	23124 63162	2	   	289.58	橙5易伤2等级2时间	1379a易伤24敌人爆炸57等级67时间7序列升级8核
16	23221 26782	10	   	286.19	橙4易伤2等级2时间2雷电	1679易伤29敌人爆炸37雷电4加一57等级79序列升级89时间a核
17	22134 41111	1	   	286.03	橙4易伤2等级2暴击1时间1卖塔	138a易伤2时间4a暴击5a等级6全技能7核9卖塔a序列升级
18	24134 41111	2	   	286.03	橙4易伤2等级2暴击1时间1卖塔	138a易伤2时间4a暴击5a等级6全技能7核9卖塔a序列升级
19	22164 23153	2	   	284.99	橙4易伤2等级2时间1暴击	1347易伤24低血量敌人47序列升级57等级67时间8核9策反a暴击
20	23164 23153	1	   	284.99	橙4易伤2等级2时间1暴击	1347易伤24低血量敌人47序列升级57等级67时间8核9策反a暴击
21	21322 41265	10	   	284.79	橙4易伤3等级2时间1暴击	156a易伤2暴击3随机矿48a等级7a时间9核a序列升级
22	22164 23151	2	   	284.56	橙4易伤2等级3时间	1347易伤24低血量敌人47序列升级57等级67a时间8核9策反
23	23164 23151	1	   	284.56	橙4易伤2等级3时间	1347易伤24低血量敌人47序列升级57等级67a时间8核9策反
24	22154 23342	1	   	284.46	橙4易伤3等级3时间	1378易伤278时间4双倍矿578等级6加一78序列升级9核a基地爆炸
25	22154 23343	1	   	284.46	橙4易伤3等级3时间	1378易伤278时间4双倍矿578等级6加一78序列升级9核a矿等
26	22154 23344	1	   	284.46	橙4易伤3等级3时间	1378易伤278时间4双倍矿578等级6加一78序列升级9核a策反
27	22154 23346	1	   	284.46	橙4易伤3等级3时间	1378易伤278时间4双倍矿578等级6加一78序列升级9核a立即金币
28	22154 23348	1	   	284.46	橙4易伤3等级3时间	1378易伤278时间4双倍矿578等级6加一78序列升级9核a最后敌人
29	24154 23342	2	   	284.46	橙4易伤3等级3时间	1378易伤278时间4双倍矿578等级6加一78序列升级9核a基地爆炸
30	24154 23343	2	   	284.46	橙4易伤3等级3时间	1378易伤278时间4双倍矿578等级6加一78序列升级9核a矿等
31	24154 23344	2	   	284.46	橙4易伤3等级3时间	1378易伤278时间4双倍矿578等级6加一78序列升级9核a策反
32	22154 23347	1	   	284.36	橙4易伤3等级3时间	1378易伤278时间4双倍矿578等级6加一78序列升级9核a赏金邻近
33	21136 24234	3	 * 	283.31	橙4易伤3伤害2暴击2雷电	134a易伤25暴击69a伤害7a雷电8核a序列升级
