0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22558 23342	10	 * 	292.03	橙2易伤3伤害3等级3时间	129时间29a序列升级3加一49a等级5基地爆炸6核7a易伤89a伤害
2	25225 21221	1	 * 	285.20	橙4易伤3时间2伤害	168时间2立即金币3478易伤58伤害8序列升级9攻速a核
3	25423 31221	1	   	285.20	橙4易伤3时间2伤害	138时间2立即金币48伤害5678易伤8序列升级9攻速a核
4	22512 83542	10	 * 	283.38	橙3易伤3等级3时间2暴击	129时间29a序列升级3加一4平台5a暴击6核79a易伤89a等级
5	62523 31611	7	   	276.96	橙3易伤2等级3时间1暴击	17等级235时间478易伤6核7序列升级9暴击a低血量敌人
6	62523 31612	7	   	276.96	橙3易伤2等级3时间1暴击	17等级235时间478易伤6核7序列升级9暴击a敌人爆炸
7	62523 31613	7	   	276.96	橙3易伤2等级3时间1暴击	17等级235时间478易伤6核7序列升级9暴击a策反
8	26315 63212	1	 * 	276.49	紫4易伤3等级2伤害2时间	19时间2核368等级4挖青569a易伤69序列升级79伤害
9	22558 23342	9	   	276.27	橙2易伤2等级3时间2伤害	129时间29序列升级3加一49等级5基地爆炸6核7a易伤89伤害
10	62523 33513	6	   	276.27	橙2易伤2等级3时间2伤害	19等级235时间49易伤6核7赏金邻近89伤害9序列升级a立即金币
11	62523 33511	6	   	276.17	橙2易伤2等级3时间2伤害	19等级235时间49易伤6核7赏金邻近89伤害9序列升级a掉矿
12	62523 33512	6	   	276.17	橙2易伤2等级3时间2伤害	19等级235时间49易伤6核7赏金邻近89伤害9序列升级a赏金塔
13	61221 41432	2	 * 	274.34	橙3易伤2等级2伤害2全技能	18等级2金币生成348易伤5赏金塔69全技能78伤害8序列升级a核
14	61263 11432	2	   	274.34	橙3易伤2等级2伤害2全技能	18等级2金币生成368易伤4赏金邻近59全技能78伤害8序列升级a核
15	23235 56111	1	 * 	273.99	橙5易伤2时间2暴击1全技能	19时间2平台3589a易伤49暴击6核7全技能9序列升级
16	61233 25322	1	   	273.05	橙3易伤2等级2伤害1时间	19等级2基地爆炸39a易伤4赏金邻近5掉矿6核7时间89伤害9序列升级
17	22263 53216	2	   	272.97	橙3易伤2等级3时间1全技能	127时间27序列升级379易伤4赏金邻近5全技能67等级8基地爆炸a核
18	22263 53631	2	   	272.73	橙3易伤2等级3时间1全技能1卖塔	127时间27序列升级37a易伤4赏金邻近5全技能67等级8卖塔9核
19	66112 24122	5	 * 	272.56	橙3易伤3伤害3等级	146等级246伤害35立即金币46序列升级78a易伤9核
20	66112 62122	7	   	272.56	橙3易伤3伤害3等级	146等级246伤害35立即金币46序列升级78a易伤9核
21	66212 24122	5	   	272.56	橙3易伤3伤害3等级	146等级246伤害3双倍矿46序列升级5立即金币78a易伤9核
22	66212 62122	7	   	272.56	橙3易伤3伤害3等级	146等级246伤害3双倍矿46序列升级5立即金币78a易伤9核
23	11263 35263	2	 * 	272.03	橙5易伤1等级2攻速1时间	1立即金币28攻速34568易伤7核8序列升级9等级a时间
24	22213 15134	3	   	271.62	橙3易伤2等级3时间	129时间29序列升级3雷电4赏金邻近5平台679易伤89等级a核
25	23213 15134	3	   	271.62	橙3易伤2等级3时间	139时间2雷电4赏金邻近5平台679易伤89等级9序列升级a核
26	62523 31142	10	   	271.62	橙3易伤2等级3时间	17等级235时间47a易伤6核7序列升级8最后敌人9攻速
27	62523 31322	7	   	271.52	橙3易伤3等级3时间	178等级235时间47a易伤6核7序列升级9攻速
28	66421 23311	6	   	271.25	橙2易伤2等级2伤害2时间	18等级27伤害3攻速49易伤5a时间6核
29	61221 46121	2	 * 	270.03	橙4易伤2等级1伤害1全技能	17等级27金币生成3479易伤5赏金塔6全技能7序列升级8核a伤害
30	61263 16121	2	   	270.03	橙4易伤2等级1伤害1全技能	17等级27金币生成3679易伤4赏金邻近5全技能7序列升级8核a伤害
31	11521 62531	9	   	267.52	橙4易伤3时间1伤害	1立即金币2攻速356时间4678易伤6序列升级9伤害a核
32	66421 22311	7	   	266.89	橙2易伤2等级3时间1伤害	18等级2伤害3攻速49易伤57a时间6核
33	23563 11413	10	   	266.09	橙2易伤2伤害2时间1等级1暴击	17时间2雷电37伤害4暴击58易伤67策反7序列升级9等级a核
34	25125 36113	2	   	265.89	橙2易伤2伤害2时间1等级1暴击	19时间2攻速3等级46易伤5a伤害7暴击8核
35	22322 25516	1	   	265.41	橙3易伤3时间2伤害1全技能	178时间2基地爆炸379易伤47伤害5全技能6赏金塔7序列升级a核
36	62222 25262	2	 * 	265.25	橙4易伤3时间1等级	1等级246时间379a易伤5立即金币8核
37	62521 22262	7	   	265.25	橙4易伤3时间1等级	1等级236时间479a易伤5立即金币8核
38	61221 46131	2	   	265.23	橙3易伤2等级1伤害1时间1全技能	17等级27金币生成347易伤5赏金塔6全技能7序列升级8核9时间a伤害
39	61263 16131	2	   	265.23	橙3易伤2等级1伤害1时间1全技能	17等级27金币生成367易伤4赏金邻近5全技能7序列升级8核9时间a伤害
40	62113 52135	9	   	264.86	橙4易伤2等级1时间	17等级2时间37基地爆炸4雷电5挖尘6789易伤7序列升级a核
41	22221 22564	2	 * 	264.16	橙3易伤3时间1等级1伤害	126时间2序列升级34a易伤5赏金邻近7等级8伤害9核
42	11545 21221	1	   	264.15	橙3易伤3时间2伤害	1立即金币2双倍矿378易伤468时间58伤害8序列升级9攻速a核
43	22525 23151	2	   	263.76	橙4易伤3时间2雷电1全技能	128时间28序列升级3全技能458a易伤68雷电7随机矿9核
44	63364 11331	1	   	263.67	橙3易伤2等级1伤害1时间	16等级2雷电3挖尘46a易伤5赏金邻近6序列升级7伤害8核9时间
45	25111 63113	10	   	263.60	橙2易伤2等级2时间2攻速1暴击	1a时间29攻速3基地爆炸4雷电59等级6核7暴击89易伤9序列升级
46	25111 63114	9	   	263.60	橙2易伤2等级2时间2攻速1暴击	1a时间29攻速3基地爆炸4雷电59等级6核7暴击89易伤9序列升级
47	25111 63124	8	   	263.60	橙2易伤2等级2时间2攻速1暴击	1a时间29攻速3基地爆炸4雷电59等级6核7暴击89易伤9序列升级
48	25411 63113	10	   	263.60	橙2易伤2等级2时间2攻速1暴击	1a时间29攻速3敌人爆炸4雷电59等级6核7暴击89易伤9序列升级
49	61123 21114	1	   	263.51	橙3易伤3等级3时间	137等级29基地爆炸47策反579时间6核79序列升级89a易伤
50	62523 33521	9	   	263.41	橙3易伤2等级3时间	18等级235时间489易伤6核78敌人爆炸8序列升级a基地爆炸
51	62523 33522	9	   	263.41	橙3易伤2等级3时间	18等级235时间489易伤6核78敌人爆炸8序列升级a额外掉落
52	62523 33523	9	   	263.41	橙3易伤2等级3时间	18等级235时间489易伤6核78敌人爆炸8序列升级a随机矿
53	62523 33531	8	   	263.41	橙3易伤2等级3时间	18等级235时间489易伤6核78敌人爆炸8序列升级a基地爆炸
54	62523 33532	10	   	263.41	橙3易伤2等级3时间	18等级235时间48a易伤6核78敌人爆炸8序列升级9随机矿
55	62523 33532	8	   	263.41	橙3易伤2等级3时间	18等级235时间489易伤6核78敌人爆炸8序列升级a额外掉落
56	62523 33533	8	   	263.41	橙3易伤2等级3时间	18等级235时间489易伤6核78敌人爆炸8序列升级a随机矿
57	61524 35344	3	   	263.41	橙3易伤3等级3时间	178等级29金币生成3加一479易伤579时间6随机矿79序列升级a核
58	62151 21632	6	   	263.41	橙3易伤2等级3时间	17等级257时间37基地爆炸4立即金币6核7序列升级89a易伤
59	62333 34633	5	   	263.41	橙3易伤2等级3时间	17等级278时间3随机矿4矿等5敌人爆炸679易伤7序列升级a核
60	62523 31121	9	   	263.31	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8最后敌人a基地爆炸
61	62523 31122	9	   	263.31	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8最后敌人a敌人爆炸
62	62523 31125	10	   	263.31	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8最后敌人a策反
63	62523 31125	9	   	263.31	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8a最后敌人
64	62523 31131	8	   	263.31	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8最后敌人a基地爆炸
65	62523 31132	10	   	263.31	橙3易伤2等级3时间	17等级235时间47a易伤6核7序列升级8最后敌人9随机矿
66	62523 31132	8	   	263.31	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8最后敌人a敌人爆炸
67	62523 31135	8	   	263.31	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8a最后敌人
68	62523 31231	7	   	263.31	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8最后敌人a基地爆炸
69	62523 31232	7	   	263.31	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8最后敌人a敌人爆炸
70	62523 31235	7	   	263.31	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8a最后敌人
71	62523 31522	10	   	263.31	橙3易伤2等级3时间	17等级235时间47a易伤6核7序列升级8矿等9最后敌人
72	62523 33512	10	   	263.31	橙3易伤2等级3时间	18等级235时间48a易伤6核78敌人爆炸8序列升级9掉矿
73	62523 33521	10	   	263.31	橙3易伤3等级3时间	18a等级235时间489易伤6核78敌人爆炸8序列升级
74	62331 34633	3	   	263.31	橙3易伤2等级3时间	17等级278时间3随机矿4金币生成5挖尘679易伤7序列升级a核
75	62331 34633	4	   	263.31	橙3易伤2等级3时间	17等级278时间3随机矿4矿等5挖尘679易伤7序列升级a核
76	22341 51531	10	   	263.21	橙3易伤2等级3时间	125时间27序列升级37挖尘47等级679易伤8矿等a核
77	62523 11531	10	   	263.21	橙3易伤2等级3时间	17等级235时间479易伤67挖尘7序列升级8矿等a核
78	62523 31112	10	   	263.21	橙3易伤2等级3时间	17等级235时间47a易伤6核7序列升级8最后敌人9掉矿
79	62523 31121	10	   	263.21	橙3易伤3等级3时间	17a等级235时间479易伤6核7序列升级8最后敌人
80	62523 31124	10	   	263.21	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8最后敌人a挖尘
81	62523 31126	10	   	263.21	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8最后敌人a掉矿
82	62523 31126	9	   	263.21	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8最后敌人a加一
83	62523 31131	7	   	263.21	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8挖尘a基地爆炸
84	62523 31132	7	   	263.21	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8挖尘a额外掉落
85	62523 31133	7	   	263.21	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8挖尘a随机矿
86	62523 31134	7	   	263.21	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8挖尘a敌人爆炸
87	62523 31135	7	   	263.21	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8挖尘a最后敌人
88	62523 31136	8	   	263.21	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8最后敌人a加一
89	62523 31222	10	   	263.21	橙3易伤2等级3时间	17等级235时间47a易伤6核7序列升级8掉矿9最后敌人
90	62523 31236	7	   	263.21	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8最后敌人a加一
91	62523 31242	9	   	263.21	橙3易伤2等级3时间	17等级235时间47a易伤6核7序列升级8掉矿9立即金币
92	62523 31332	8	   	263.21	橙3易伤3等级3时间	179等级235时间47a易伤6核7序列升级8金币生成
93	62523 31336	7	   	263.21	橙3易伤3等级3时间	178等级235时间47a易伤6核7序列升级9平台
94	62523 31431	7	   	263.21	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8加一a基地爆炸
95	62523 31432	7	   	263.21	橙3易伤2等级3时间	17等级235时间479易伤6核7序列升级8加一a额外掉落
