0	Index      	 *	Score 	Summary	Detail	
1	15153 23521	 * 	198.74	ACR|3VULN|3DMG|2ASPD|1CDMG	18aDMG|2CDMG|3RCR|4RPLT|58ASPD|678VULN|8BPWR|9BELT
2	15153 23512	   	194.09	ACR|3VULN|2DMG|2ASPD|1CDMG|1ZMB	18DMG|2CDMG|3RCR|4RPLT|58ASPD|678VULN|8BPWR|9LHND|aZMB
3	15126 12261	 * 	186.49	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2CDMG|3RCR|4MLV|5RCVC|68aVULN|7AART|9ASPD
4	15126 12521	   	186.49	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2CDMG|3RCR|4MLV|5RCVC|69aVULN|7AART|8ASPD
5	15151 51122	 * 	185.79	ACR|2VULN|2AART|1DMG|2CDMG|1DUR	1DMG|26CDMG|3RCR|4RPLT|5DUR|7aAART|89VULN
6	15151 42222	   	185.38	ACR|2VULN|2AART|1DMG|1CDMG|2DUR	1DMG|2CDMG|3RCR|4RPLT|58DUR|6aAART|79VULN
7	15151 31122	   	184.78	ACR|2VULN|2AART|1DMG|1CDMG|2DUR	1DMG|2CDMG|3RCR|4RPLT|56DUR|7aAART|89VULN
8	15153 23623	 * 	184.42	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1aDMG|2CDMG|3RCR|4RPLT|5ASPD|67VULN|8LIT|9AART
9	15153 23511	   	184.39	ACR|3VULN|2DMG|2ASPD|1CDMG	18DMG|2CDMG|3RCR|4RPLT|58ASPD|678VULN|8BPWR|9LHND|aRCVC
10	15153 23522	   	184.39	ACR|3VULN|2DMG|2ASPD|1CDMG	18DMG|2CDMG|3RCR|4RPLT|58ASPD|678VULN|8BPWR|9BELT|aRCVC
11	12132 14212	 * 	183.86	DCR|3DMG|1AART|1VULN|2ASPD|2DUR	14aDMG|2aDUR|3LHND|5VULN|6aASPD|7AART|8RCR|9BELT|aBPWR
