0	Index      	 *	Score 	Summary	Detail	
1	42321 64231	 * 	187.72	DCR|3VULN|3DMG|3CDMG	178LWND|269CDMG|3RCVC|479VULN|579DMG|79BPWR|aRCR
2	34622 12531	 * 	181.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2LWND|3AART|489VULN|5RCR|6CDMG|7DUR|aDMG
3	43622 12531	   	181.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2LHND|3AART|489VULN|5RCR|6CDMG|7DUR|aDMG
4	34622 13631	   	174.25	ACR|3VULN|1AART|1DMG|1CDMG	1LHND|2LWND|3AART|489VULN|5RCR|6CDMG|7MBVNT|aDMG
5	43622 13631	   	174.25	ACR|3VULN|1AART|1DMG|1CDMG	1LWND|2LHND|3AART|489VULN|5RCR|6CDMG|7MBVNT|aDMG
6	42321 54211	   	172.92	DCR|3DMG|2VULN|1CDMG|1ZMB	17LWND|2CDMG|3RCVC|47VULN|567DMG|7BPWR|8LIT|9RCR|aZMB
7	34622 12532	   	172.23	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2LWND|3AART|489VULN|5RCR|6CDMG|7DUR|aZMB
8	43622 12532	   	172.23	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1LWND|2LHND|3AART|489VULN|5RCR|6CDMG|7DUR|aZMB
9	11646 33313	 * 	171.50	ACR|3VULN|1DMG|1CDMG|1FLTHEA|1ZMB	1TLV|2FEWX|3DMG|49aVULN|5RCR|6CDMG|7ZMB|8FLTHEA
10	12646 33313	   	171.50	ACR|3VULN|1DMG|1CDMG|1FLTHEA|1ZMB	1TLV|2BEXP|3DMG|49aVULN|5RCR|6CDMG|7ZMB|8FLTHEA
11	34622 12131	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1LHND|2LWND|3AART|49VULN|5RCR|6CDMG|78DUR|aDMG
12	43622 12131	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1LWND|2LHND|3AART|49VULN|5RCR|6CDMG|78DUR|aDMG
13	42321 54213	   	168.85	DCR|3DMG|2VULN|1CDMG|1DUR	17LWND|2CDMG|3RCVC|47VULN|567DMG|7BPWR|8LIT|9RCR|aDUR
14	34622 42331	   	167.39	ACR|3VULN|1AART|1DMG|1DUR|1SELL	1LHND|2LWND|3AART|489VULN|5RCR|6SELL|7DUR|aDMG
15	43622 42331	   	167.39	ACR|3VULN|1AART|1DMG|1DUR|1SELL	1LWND|2LHND|3AART|489VULN|5RCR|6SELL|7DUR|aDMG
16	34622 12521	   	165.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	19LHND|2LWND|3AART|48VULN|5RCR|6CDMG|7DUR|aDMG
17	43622 12521	   	165.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|29LHND|3AART|48VULN|5RCR|6CDMG|7DUR|aDMG
18	32321 64511	   	165.58	DCR|3VULN|2DMG|2CDMG|1SELL	17LHND|26CDMG|3RCVC|478VULN|57DMG|7BPWR|9SELL|aRCR
19	34622 13452	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2LWND|3AART|49VULN|5RCR|6CDMG|7MBVNT|8DMG|aASPD
20	43622 13452	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2LHND|3AART|49VULN|5RCR|6CDMG|7MBVNT|8DMG|aASPD
21	32553 63112	 * 	165.41	DCR|3VULN|1AART|2CDMG|2DUR	19LHND|29CDMG|3BEXP|45DUR|689VULN|7AART|9BPWR|aRCR
22	32253 63112	   	165.31	DCR|3VULN|1AART|2CDMG|2DUR	19LHND|29CDMG|3DUST|45DUR|689VULN|7AART|9BPWR|aRCR
23	42253 63112	   	165.31	DCR|3VULN|1AART|2CDMG|2DUR	19LWND|29CDMG|3DUST|45DUR|689VULN|7AART|9BPWR|aRCR
24	34622 13231	 * 	164.91	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|2LWND|3AART|49VULN|5RCR|68CDMG|7MBVNT|aDMG
25	34622 15231	   	164.91	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|2LWND|3AART|49VULN|5RCR|68CDMG|7DUST|aDMG
26	43622 13231	   	164.91	ACR|2VULN|1AART|1DMG|2CDMG	1LWND|2LHND|3AART|49VULN|5RCR|68CDMG|7MBVNT|aDMG
27	43622 15231	   	164.91	ACR|2VULN|1AART|1DMG|2CDMG	1LWND|2LHND|3AART|49VULN|5RCR|68CDMG|7DUST|aDMG
28	25213 53234	 * 	164.57	DCR|4VULN|2DMG	1LIT|2357VULN|4FEWX|6CGEN|8RCR|9aDMG
29	25213 62234	   	164.57	DCR|4VULN|2DMG	1LIT|2356VULN|4FEWX|7RMIN|8RCR|9aDMG
30	25233 53234	   	164.57	DCR|4VULN|2DMG	1LIT|2357VULN|4LHND|6CGEN|8RCR|9aDMG
31	36514 31233	 * 	164.48	ACR|2VULN|2DMG|1FLTHEA|1ZMB	1LHND|2AIRHEA|3RCR|4ZMB|5FLTHEA|69DMG|7DUST|8aVULN
32	25211 33234	   	164.47	DCR|4VULN|2DMG	1LIT|2367VULN|4FEWX|5ERES|8RCR|9aDMG
33	25231 33234	   	164.47	DCR|4VULN|2DMG	1LIT|2367VULN|4LHND|5ERES|8RCR|9aDMG
34	34622 32261	 * 	163.19	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	19LHND|29LWND|3AART|4VULN|5RCR|6RCVC|7DUR|89DMG|9BPWR|aZMB
35	43622 32261	   	163.19	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	19LWND|29LHND|3AART|4VULN|5RCR|6RCVC|7DUR|89DMG|9BPWR|aZMB
36	32321 34562	   	161.91	DCR|3VULN|2DMG|1CDMG	17LHND|2CDMG|36RCVC|478VULN|57DMG|7BPWR|9RCR|aRPLT
37	42321 54212	   	161.91	DCR|3DMG|2VULN|1CDMG	17LWND|2CDMG|3RCVC|47VULN|567DMG|7BPWR|8aLIT|9RCR
38	34622 12132	   	161.87	ACR|2VULN|1AART|1CDMG|2DUR|1ZMB	1LHND|2LWND|3AART|49VULN|5RCR|6CDMG|78DUR|aZMB
39	43622 12132	   	161.87	ACR|2VULN|1AART|1CDMG|2DUR|1ZMB	1LWND|2LHND|3AART|49VULN|5RCR|6CDMG|78DUR|aZMB
40	32321 34561	   	161.81	DCR|3VULN|2DMG|1CDMG	17LHND|2CDMG|36RCVC|478VULN|57DMG|7BPWR|9RCR|aERES
41	31242 42214	   	161.61	DCR|3VULN|2DMG|1CDMG	1LHND|2RCVC|346VULN|5aDMG|7MBVNT|8CDMG|9RCR
42	33242 42214	   	161.61	DCR|3VULN|2DMG|1CDMG	12LHND|346VULN|5aDMG|7MBVNT|8CDMG|9RCR
43	41242 42214	   	161.61	DCR|3VULN|2DMG|1CDMG	1LWND|2RCVC|346VULN|5aDMG|7MBVNT|8CDMG|9RCR
44	22345 11623	 * 	161.58	DCR|2AART|2VULN|1DMG|1ZMB	1LIT|2LHND|3ZMB|47AART|5DMG|6DLOT|89VULN|aRCR
45	23345 11623	   	161.48	DCR|2AART|2VULN|1DMG|1ZMB	1LIT|2LEGI|3ZMB|47AART|5DMG|6DLOT|89VULN|aRCR
46	34622 12511	   	161.22	ACR|3VULN|1AART|1CDMG|1DUR	1LHND|2LWND|3AART|48aVULN|5RCR|6CDMG|7DUR|9BEXP
47	34622 12533	   	161.22	ACR|3VULN|1AART|1CDMG|1DUR	1LHND|2LWND|3AART|489VULN|5RCR|6CDMG|7DUR|aCGEN
48	43622 12511	   	161.22	ACR|3VULN|1AART|1CDMG|1DUR	1LWND|2LHND|3AART|48aVULN|5RCR|6CDMG|7DUR|9BEXP
49	43622 12533	   	161.22	ACR|3VULN|1AART|1CDMG|1DUR	1LWND|2LHND|3AART|489VULN|5RCR|6CDMG|7DUR|aCGEN
50	21666 23231	 * 	160.63	DCR|4VULN|1DMG|1CDMG	1LIT|25CGEN|3457VULN|5BPWR|6LEGI|8RCR|9DMG|aCDMG
