0	Index      	 *	Score 	Summary	Detail	
1	31121 13124	 * 	201.64	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1ASPD	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8ZMB|9ASPD|aAART
2	31121 13455	 * 	199.71	ACR|3VULN|2DMG|1AART|2CDMG|1SELL	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8SELL|9AART
3	31143 35243	 * 	198.22	DCR|3VULN|3DMG|1CDMG|2ASPD	1LEGI|24aDMG|3CDMG|5aASPD|6RCR|78aVULN|9DMSP|aBPWR
4	31121 13164	   	194.70	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8ZMB|9MLV|aAART
5	31121 13134	   	194.60	ACR|2DMG|2VULN|1AART|2CDMG|1ZMB	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8ZMB|9ERES|aAART
6	31121 13126	 * 	194.09	ACR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8ZMB|9ASPD
7	31121 13435	 * 	191.76	ACR|3VULN|3DMG|2CDMG|1SELL	1LEGI|27aDMG|37CDMG|4RCR|5RCVC|67aVULN|7aBPWR|8SELL|9aFEWX
8	31143 35223	   	191.41	DCR|3VULN|3DMG|1CDMG|1ASPD	1LEGI|249DMG|3CDMG|5ASPD|6RCR|78aVULN
9	31121 13643	   	191.24	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8CGEN|9AART|aDUR
10	31121 13624	   	190.64	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8CGEN|9ASPD|aAART
11	31121 13451	 * 	190.10	ACR|2VULN|2DMG|3CDMG|1AART|1SELL	1LEGI|27DMG|37aCDMG|4RCR|5RCVC|67VULN|7BPWR|8SELL|9AART
12	25316 25133	 * 	189.21	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	17CGEN|2RPLT|3AART|4CDMG|57VULN|67DMG|7BPWR|8ZMB|9ASPD|aRCR
13	63121 13145	 * 	187.33	ACR|4VULN|3ZMB|3CDMG	17aZMB|2LWND|37aCDMG|4RCR|5RCVC|679aVULN|7aBPWR|8RPLT
14	31121 13112	   	187.15	ACR|3VULN|2DMG|2CDMG|1ZMB	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8ZMB|9FEWX
15	31121 13143	   	187.15	ACR|3VULN|2DMG|2CDMG|1ZMB	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8ZMB|9DMSP
16	31121 13152	   	187.15	ACR|3VULN|2DMG|2CDMG|1ZMB	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8ZMB|9BEXP
17	31121 13166	   	187.15	ACR|3VULN|2DMG|2CDMG|1ZMB	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8ZMB|9MLV
18	31121 13136	   	187.05	ACR|3VULN|2DMG|2CDMG|1ZMB	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8ZMB|9ERES
19	31121 13463	   	186.91	ACR|3VULN|2DMG|2CDMG|1ZMB|1SELL	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8SELL|9ZMB
20	31612 22422	 * 	186.19	DCR|3DMG|3ZMB|1AART|2ASPD|2DUR	1LEGI|268DMG|38DUR|48ASPD|567ZMB|68BPWR|9AART|aRCR
21	15121 13145	 * 	185.99	ACR|4VULN|3CDMG|3DUR|1ZMB	17aDUR|2ZMB|37aCDMG|4RCR|5RCVC|679aVULN|7aBPWR|8RPLT
22	31121 13642	   	185.47	ACR|2VULN|2DMG|1AART|2CDMG	1LEGI|27DMG|37CDMG|4RCR|5aRCVC|67VULN|7BPWR|8CGEN|9AART
23	31121 13123	   	185.38	ACR|2VULN|2DMG|2CDMG|1ZMB|1ASPD|1DUR	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8ZMB|9ASPD|aDUR
24	55125 32212	 * 	184.35	ACR|3DMG|2VULN|2CDMG|1ZMB	1aVULN|2ZMB|3aCDMG|4RCR|59RPLT|68aDMG|7DLOT|aBPWR
25	31121 13641	   	184.30	ACR|2VULN|2DMG|1AART|2CDMG	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8CGEN|9AART|aBEXP
26	31121 13644	   	184.30	ACR|2VULN|2DMG|1AART|2CDMG	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8aCGEN|9AART
27	31121 13645	   	184.30	ACR|2VULN|2DMG|1AART|2CDMG	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8CGEN|9AART|aLHND
28	31121 13646	   	184.20	ACR|2VULN|2DMG|1AART|2CDMG	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8CGEN|9AART|aDUST
29	31121 13452	   	184.06	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8SELL|9AART|aBEXP
30	31121 13454	   	184.06	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8SELL|9AART|aCGEN
31	31121 13453	   	183.96	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8SELL|9AART|aDUST
32	31124 23132	 * 	183.85	ACR|2DMG|3CDMG|1AART|1VULN|2ASPD|1SELL	1LEGI|29DMG|369CDMG|4RCR|5SELL|79ASPD|8AART|9BPWR|aVULN
33	53131 15241	 * 	183.71	DCR|3VULN|2DMG|1AART|1ASPD	169VULN|2BEXP|39FEWX|4DLOT|5AART|79DMG|8RCR|9BPWR|aASPD
34	31612 26132	   	183.70	DCR|3DMG|3ZMB|1AART|2ASPD|1DUR	1LEGI|269DMG|3DUR|49ASPD|569ZMB|69BPWR|7RCVC|8AART|aRCR
35	53231 15241	   	183.51	DCR|3VULN|2DMG|1AART|1ASPD	169VULN|2BEXP|39DUST|4DLOT|5AART|79DMG|8RCR|9BPWR|aASPD
36	31121 13254	   	183.50	ACR|2VULN|2DMG|1AART|2CDMG	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|89DUST|aAART
37	31143 34312	 * 	183.17	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1LEGI|249DMG|3CDMG|5ASPD|6RCR|7AART|8BEXP|aVULN
38	31121 13344	   	183.09	ACR|3DMG|2VULN|2CDMG|1DUR	1LEGI|27aDMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8LWND|9DUR
39	31121 13346	   	183.09	ACR|3VULN|2DMG|2CDMG|1DUR	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8LWND|9DUR
