0	Index      	 *	Score 	Summary	Detail	
1	36233 21621	 * 	213.65	ACR|4VULN|2DMG|1AART|2CDMG	168aVULN|25DMG|3RCR|45CDMG|5BPWR|7LHND|9AART
2	36233 11532	 * 	211.84	ACR|4VULN|3DMG|3CDMG	189aVULN|259DMG|3RCR|458CDMG|589BPWR|689BEXP|7DLOT
3	36532 63123	 * 	210.98	DCR|5VULN|2DMG|3ZMB	1478aVULN|29DMG|38aLIT|58aZMB|6RCR|8aBPWR
4	36225 13431	 * 	210.70	ACR|3VULN|3DMG|1AART|1CDMG	145VULN|257DMG|3RCR|5BPWR|6ERES|8AART|9CDMG|aRCVC
5	36225 16121	 * 	210.64	ACR|4VULN|3DMG|1AART	145aVULN|25aDMG|3RCR|5aBPWR|6ERES|7AART|8CGEN|9aFEWX
6	36232 12461	 * 	210.19	ACR|5VULN|1AART|1DMG|2CDMG	1689aVULN|2DMG|3RCR|49CDMG|59LHND|7AART|9BPWR
7	36233 64113	 * 	209.85	ACR|3DMG|2VULN|1AART|2CDMG|1ZMB	18VULN|258DMG|3RCR|45CDMG|58BPWR|6ZMB|78ERES|9DUST|aAART
8	36225 21123	   	209.30	ACR|4VULN|3DMG|1AART|1SELL	1458VULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9AART|aRPLT
9	36225 21124	   	209.30	ACR|4VULN|3DMG|1AART|1SELL	1458VULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9AART|aLIT
10	36225 21125	   	209.30	ACR|4VULN|3DMG|1AART|1SELL	1458VULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9AART|aBEXP
11	36225 21126	   	209.30	ACR|4VULN|3DMG|1AART|1SELL	1458VULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9AART|aLWND
12	36225 13432	   	209.29	ACR|3VULN|3DMG|1AART|1CDMG	145VULN|257DMG|3RCR|5BPWR|6ERES|8AART|9CDMG|aLSRREG
13	36225 21121	   	209.20	ACR|4VULN|3DMG|1AART|1SELL	1458VULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9AART|aERES
14	36225 21122	   	209.20	ACR|4VULN|3DMG|1AART|1SELL	1458VULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9AART|aDUST
15	36235 21121	   	208.99	ACR|5VULN|1AART|1DMG|2CDMG	1568aVULN|2DMG|3RCR|48CDMG|78LHND|8BPWR|9AART
16	36241 12531	 * 	208.81	ACR|4VULN|2AART|1DMG|2CDMG	168aVULN|2DMG|3RCR|48LWND|58CDMG|79AART|8BPWR
17	36261 12531	   	208.81	ACR|4VULN|2AART|1DMG|2CDMG	168aVULN|2DMG|3RCR|48LHND|58CDMG|79AART|8BPWR
18	56221 12531	   	208.81	ACR|4VULN|2AART|1DMG|2CDMG	18LWND|2DMG|3RCR|468aVULN|58CDMG|79AART|8BPWR
19	36232 12531	   	208.81	ACR|4VULN|2AART|1DMG|2CDMG	168aVULN|2DMG|3RCR|48CDMG|58LHND|79AART|8BPWR
20	36225 13332	   	208.64	ACR|4VULN|3DMG|1AART	1458VULN|257DMG|3RCR|5BPWR|6ERES|9DMSP|aAART
21	36225 11521	   	207.24	ACR|4VULN|2DMG|1AART|1CDMG	145aVULN|25DMG|3RCR|5BPWR|6ERES|7CGEN|8CDMG|9AART
22	33213 63114	   	206.84	ACR|4VULN|2DMG|1AART|1CDMG	1578VULN|2RMIN|3RCR|48LIT|68DMG|8BPWR|9CDMG|aAART
23	36213 23114	   	206.84	ACR|4VULN|2DMG|1AART|1CDMG	1578VULN|28DMG|3RCR|48LIT|6RMIN|8BPWR|9CDMG|aAART
24	36223 42114	   	206.84	ACR|4VULN|2DMG|1AART|1CDMG	1458VULN|28DMG|3RCR|6RMIN|78LIT|8BPWR|9CDMG|aAART
25	36224 12121	 * 	206.52	ACR|5VULN|2DMG|1AART	1468aVULN|28DMG|3RCR|5RPLT|7DMSP|8BPWR|9AART
26	36233 24121	   	206.49	ACR|3VULN|2DMG|1AART|2CDMG	16aVULN|25DMG|3RCR|45CDMG|5BPWR|7CGEN|8ASPD|9AART
27	36233 25121	   	206.39	ACR|3VULN|2DMG|1AART|2CDMG	16aVULN|25DMG|3RCR|45CDMG|5BPWR|7ERES|8ASPD|9AART
28	36223 21121	   	206.37	ACR|5VULN|2DMG|1AART|1SELL	1458aVULN|28DMG|3RCR|6SELL|78LHND|8BPWR|9AART
29	36225 21621	   	206.27	ACR|5VULN|2DMG|1AART|1SELL	1458aVULN|25DMG|3RCR|5BPWR|6SELL|7LHND|9AART
30	36225 21142	   	206.08	ACR|4VULN|3DMG|1CDMG|1SELL	1458VULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9DUR|aCDMG
31	36225 13352	   	206.03	ACR|4VULN|3DMG|1CDMG	1458VULN|257DMG|3RCR|5BPWR|6ERES|9ASPD|aCDMG
32	36233 21632	   	205.50	ACR|4VULN|3DMG|2CDMG	168aVULN|259DMG|3RCR|45CDMG|5BPWR|7LHND
33	36225 16133	   	205.34	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	145VULN|25DMG|3RCR|5BPWR|6ERES|7AART|8CGEN|9ZMB|aCDMG
34	36233 21134	   	204.58	ACR|3VULN|3DMG|3CDMG	168VULN|259DMG|3RCR|458CDMG|58BPWR|78LHND|aDUR
35	36233 21136	   	204.58	ACR|3VULN|3DMG|3CDMG	168VULN|259DMG|3RCR|458CDMG|58BPWR|78LHND|aASPD
36	36232 12515	   	204.30	ACR|4VULN|1AART|1DMG|2CDMG	168aVULN|2DMG|3RCR|48CDMG|58LHND|7AART|8BPWR|9ASPD
37	36233 62121	   	204.04	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	1aVULN|25DMG|3RCR|45CDMG|5BPWR|6ZMB|7RCVC|8ASPD|9AART
38	36232 12561	 * 	203.60	ACR|4VULN|3CDMG|1AART|1DMG	1689VULN|2DMG|3RCR|489CDMG|589LHND|7AART|89BPWR|aCGEN
39	36232 12562	   	203.60	ACR|4VULN|3CDMG|1AART|1DMG	1689VULN|2DMG|3RCR|489CDMG|589LHND|7AART|89BPWR|aDMSP
40	36232 12563	   	203.50	ACR|4VULN|3CDMG|1AART|1DMG	1689VULN|2DMG|3RCR|489CDMG|589LHND|7AART|89BPWR|aTLV
