0	Index      	 *	Score 	Summary	Detail	
1	63524 23332	 * 	197.87	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3DUR|48aVULN|5DMG|6RCR|7LHND|9ZMB
2	63314 22315	 * 	192.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|38VULN|4FEWX|5aDMG|6RCR|7DMSP|9ZMB
3	31546 22313	 * 	191.27	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	1LHND|2DMG|38VULN|4CDMG|57AART|6RCR|9ZMB|aDUR
4	63314 21342	 * 	190.93	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2CDMG|3VULN|4FEWX|589DMG|6RCR|7RMIN|aZMB
5	63314 23332	   	190.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|38aVULN|4FEWX|5DMG|6RCR|7LHND|9ZMB
6	63314 24332	   	190.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|38aVULN|4FEWX|5DMG|6RCR|7BEXP|9ZMB
7	63334 21342	   	190.93	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2CDMG|3VULN|4BEXP|589DMG|6RCR|7RMIN|aZMB
8	63334 23332	   	190.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|38aVULN|4BEXP|5DMG|6RCR|7LHND|9ZMB
9	63334 25232	   	190.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|37aVULN|4BEXP|5DMG|6RCR|8FEWX|9ZMB
10	63334 26332	   	190.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|38aVULN|4BEXP|5DMG|6RCR|7LWND|9ZMB
11	63314 21332	   	188.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2CDMG|3aVULN|4FEWX|58DMG|6RCR|7RMIN|9DUR
12	63314 23341	   	188.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2CDMG|38VULN|4FEWX|5aDMG|6RCR|7LHND|9DUR
13	63334 23341	   	188.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2CDMG|38VULN|4BEXP|5aDMG|6RCR|7LHND|9DUR
14	63524 21312	   	188.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2CDMG|3DUR|4aVULN|58DMG|6RCR|7RMIN|9FEWX
15	31523 11411	 * 	187.55	DCR|4VULN|2DMG|1CDMG|1DUR	1LHND|28DMG|349aVULN|5CDMG|6DUR|7RCR
16	31542 11411	   	187.55	DCR|4VULN|2DMG|1CDMG|1DUR	1LHND|28DMG|359aVULN|4CDMG|6DUR|7RCR
17	63524 22313	   	187.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2CDMG|3aDUR|48VULN|5DMG|6RCR|7DMSP|9ZMB
18	63314 23343	   	186.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|38aVULN|4FEWX|5DMG|6RCR|7LHND|9DUR
19	63334 23343	   	186.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|38aVULN|4BEXP|5DMG|6RCR|7LHND|9DUR
20	63334 23353	   	186.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|389VULN|4BEXP|5DMG|6RCR|7LHND|aDUR
21	63314 23262	   	186.87	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2CDMG|39aVULN|4FEWX|5DMG|6RCR|7LHND|8ASPD
22	63334 23262	   	186.87	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2CDMG|39aVULN|4BEXP|5DMG|6RCR|7LHND|8ASPD
23	63524 21222	   	186.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|3DUR|49aVULN|5DMG|6RCR|7RMIN|8LHND
24	31134 44322	   	186.31	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1LHND|24DMG|3AART|5VULN|6RCR|7ZMB|89DUR|aCDMG
25	31121 22332	   	185.53	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1LHND|2DMG|37AART|4LWND|5CDMG|6RCR|8aVULN|9ZMB
26	63524 23212	 * 	184.76	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1AART|2CDMG|3DUR|4aVULN|5DMG|6RCR|7LHND|89ASPD
