0	Index      	 *	Score 	Summary	Detail	
1	36634 11223	 * 	209.28	DCR|3VULN|2DMG|1AART|2CDMG|1ASPD|2SELL	18aVULN|25SELL|3AART|48DMG|6RCR|78CDMG|8BPWR|9ASPD
2	36634 11212	 * 	202.34	DCR|3DMG|2VULN|1AART|2CDMG|2SELL	18VULN|25SELL|3AART|489DMG|6RCR|78CDMG|8BPWR|aMLV
3	36634 11213	 * 	202.34	DCR|3DMG|2VULN|1AART|2CDMG|2SELL	18VULN|25SELL|3AART|489DMG|6RCR|78CDMG|8BPWR|aRPLT
4	36634 11211	 * 	202.24	DCR|3DMG|2VULN|1AART|2CDMG|2SELL	18VULN|25SELL|3AART|489DMG|6RCR|78CDMG|8BPWR|aTLV
5	33413 21345	 * 	200.77	DCR|3VULN|2DMG|1AART|2CDMG|1DUR	13aVULN|2DUR|4aDMG|5aCDMG|6AART|7RMIN|8RPLT|9RCR|aBPWR
6	33533 21345	   	200.77	DCR|3VULN|2DMG|1AART|2CDMG|1DUR	14aVULN|2DUR|3aDMG|5aCDMG|6AART|7RMIN|8RPLT|9RCR|aBPWR
7	33543 33412	 * 	199.16	DCR|3VULN|3DMG|3CDMG|1DUR	16aVULN|2DUR|347DMG|569CDMG|6BPWR|8RCR
8	33413 33326	   	196.01	DCR|3VULN|3DMG|2CDMG|2DUR	136VULN|28DUR|47aDMG|56CDMG|6BPWR|9RCR
9	33533 33326	   	196.01	DCR|3VULN|3DMG|2CDMG|2DUR	146VULN|28DUR|37aDMG|56CDMG|6BPWR|9RCR
10	33413 35316	   	195.52	DCR|3VULN|3DMG|2CDMG|1DUR	136VULN|2DUR|49aDMG|56CDMG|6BPWR|7RCR|8FEWX
11	33533 35316	   	195.52	DCR|3VULN|3DMG|2CDMG|1DUR	146VULN|2DUR|39aDMG|56CDMG|6BPWR|7RCR|8FEWX
12	33413 33322	 * 	194.46	DCR|4VULN|2DMG|2CDMG|2DUR	136aVULN|28DUR|47DMG|56CDMG|6BPWR|9RCR
13	33533 33322	   	194.46	DCR|4VULN|2DMG|2CDMG|2DUR	146aVULN|28DUR|37DMG|56CDMG|6BPWR|9RCR
14	36634 11222	   	193.63	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD|2SELL	18VULN|25SELL|3AART|48DMG|6RCR|78CDMG|8BPWR|9ASPD|aDMSP
15	36634 11221	   	193.53	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD|2SELL	18VULN|25SELL|3AART|48DMG|6RCR|78CDMG|8BPWR|9ASPD|aERES
16	33225 33431	 * 	193.46	ACR|3DMG|2VULN|1AART|2DUR|1ASPD	18VULN|28DUR|3ASPD|4FEWX|5RCR|689DMG|7BELT|8BPWR|aAART
17	33322 12315	   	190.77	DCR|3DMG|2VULN|2CDMG|1ZMB|1DUR	18VULN|2DUR|38CDMG|4ZMB|59aDMG|68TLV|7RCR|8BPWR
18	33241 32326	   	190.04	DCR|3VULN|2DMG|1AART|1DUR|1ASPD	159VULN|2DUR|3ASPD|45DMG|5BPWR|6FEWX|7RCR|8LIT|aAART
19	33241 32431	 * 	190.04	DCR|3DMG|2VULN|1AART|1DUR|1ASPD	15VULN|2DUR|3ASPD|459DMG|5BPWR|6FEWX|7RCR|8BELT|aAART
20	33241 12326	   	189.95	DCR|3VULN|2DMG|1AART|1DUR|1ASPD	159VULN|2DUR|3ASPD|45DMG|5BPWR|6DUST|7RCR|8LIT|aAART
21	33241 12431	   	189.95	DCR|3DMG|2VULN|1AART|1DUR|1ASPD	15VULN|2DUR|3ASPD|459DMG|5BPWR|6DUST|7RCR|8BELT|aAART
22	33215 33415	 * 	189.93	ACR|3VULN|3DMG|3DUR|1ASPD	18aVULN|289DUR|3ASPD|4aBEXP|5RCR|68aDMG|7BELT|8aBPWR
23	33241 55221	   	189.79	DCR|4VULN|2DMG|1CDMG|1DUR|1ASPD	1578VULN|2DUR|3ASPD|45DMG|5BPWR|6RMIN|9RCR|aCDMG
24	33543 33433	   	188.47	DCR|3DMG|2VULN|2CDMG|1ZMB|1DUR	16VULN|2DUR|347DMG|56CDMG|6BPWR|8RCR|9CGEN|aZMB
25	33543 33326	   	188.32	DCR|3VULN|3DMG|2CDMG|1DUR	169VULN|2DUR|347DMG|56CDMG|6BPWR|8LSRICY|aRCR
26	32413 33156	 * 	187.87	DCR|4VULN|2DMG|1AART	138aVULN|2LWND|4aDMG|5MBVNT|6AART|7aLHND|9RCR|aBPWR
27	32533 33156	   	187.87	DCR|4VULN|2DMG|1AART	148aVULN|2LWND|3aDMG|5MBVNT|6AART|7aLHND|9RCR|aBPWR
28	33413 33325	   	187.30	DCR|3VULN|2DMG|2CDMG|2DUR|1ASPD	136VULN|28DUR|47DMG|56CDMG|6BPWR|9RCR|aASPD
29	33533 33325	   	187.30	DCR|3VULN|2DMG|2CDMG|2DUR|1ASPD	146VULN|28DUR|37DMG|56CDMG|6BPWR|9RCR|aASPD
30	33413 33323	   	186.40	DCR|3VULN|2DMG|3CDMG|2DUR	136VULN|28DUR|47DMG|56aCDMG|6BPWR|9RCR
31	33533 33323	   	186.40	DCR|3VULN|2DMG|3CDMG|2DUR	146VULN|28DUR|37DMG|56aCDMG|6BPWR|9RCR
32	42613 52142	 * 	185.16	DCR|2VULN|2DMG|2AART|1ZMB	1MLV|28VULN|3ZMB|49DMG|5MBVNT|6aAART|7RCR
33	33413 35612	   	185.16	DCR|3VULN|2DMG|2CDMG|2DUR	136VULN|29DUR|4aDMG|56CDMG|6BPWR|7RCR|8RPLT
34	33533 35612	   	185.16	DCR|3VULN|2DMG|2CDMG|2DUR	146VULN|29DUR|3aDMG|56CDMG|6BPWR|7RCR|8RPLT
35	33543 35232	   	185.06	DCR|3VULN|2DMG|2CDMG|2DUR	16aVULN|29DUR|34DMG|56CDMG|6BPWR|7RCR|8BASICY
36	33512 12453	 * 	184.46	DCR|2VULN|2DMG|2CDMG|2ZMB|2DUR	19VULN|25DUR|39DMG|4BEXP|6aCDMG|7RCR|89ZMB|9BPWR
37	33522 12453	   	184.46	DCR|2VULN|2DMG|2CDMG|2ZMB|2DUR	19VULN|25DUR|39DMG|4FEWX|6aCDMG|7RCR|89ZMB|9BPWR
38	33215 33461	 * 	184.36	ACR|4VULN|2DMG|2DUR|1ASPD	189aVULN|28DUR|3ASPD|4BEXP|5RCR|68DMG|7BELT|8BPWR
39	33225 33461	   	184.36	ACR|4VULN|2DMG|2DUR|1ASPD	189aVULN|28DUR|3ASPD|4FEWX|5RCR|68DMG|7BELT|8BPWR
40	32322 12312	   	183.83	DCR|3VULN|2DMG|2CDMG|1ZMB	18aVULN|2LWND|38CDMG|4ZMB|59DMG|68TLV|7RCR|8BPWR
41	32322 12315	   	183.83	DCR|3DMG|2VULN|2CDMG|1ZMB	18VULN|2LWND|38CDMG|4ZMB|59aDMG|68TLV|7RCR|8BPWR
42	33543 33411	   	183.51	DCR|3DMG|2VULN|3CDMG|1DUR	16VULN|2DUR|347DMG|569CDMG|6BPWR|8RCR|aLIT
43	22613 54162	 * 	183.23	DCR|3VULN|2AART|1DMG|1ZMB	1CGEN|289VULN|3ZMB|4DMG|5MBVNT|6aAART|7RCR
44	33321 52363	 * 	183.17	DCR|3VULN|3CDMG|3ASPD|2ZMB|1DUR	189VULN|2DUR|389CDMG|4aZMB|5ERES|689ASPD|7RCR|89BPWR
45	32241 32431	   	183.11	DCR|3DMG|2VULN|1AART|1ASPD	15VULN|2LWND|3ASPD|459DMG|5BPWR|6FEWX|7RCR|8BELT|aAART
46	32241 12431	   	183.01	DCR|3DMG|2VULN|1AART|1ASPD	15VULN|2LWND|3ASPD|459DMG|5BPWR|6DUST|7RCR|8BELT|aAART
47	34241 12431	   	183.01	DCR|3DMG|2VULN|1AART|1ASPD	15VULN|2LHND|3ASPD|459DMG|5BPWR|6DUST|7RCR|8BELT|aAART
48	33413 35232	   	181.57	DCR|4VULN|1DMG|2CDMG|2DUR	136aVULN|29DUR|4DMG|56CDMG|6BPWR|7RCR|8BASICY
49	33413 35532	   	181.57	DCR|4VULN|1DMG|2CDMG|2DUR	136aVULN|29DUR|4DMG|56CDMG|6BPWR|7RCR|8BASHEA
50	33533 35232	   	181.57	DCR|4VULN|1DMG|2CDMG|2DUR	146aVULN|29DUR|3DMG|56CDMG|6BPWR|7RCR|8BASICY
51	33533 35532	   	181.57	DCR|4VULN|1DMG|2CDMG|2DUR	146aVULN|29DUR|3DMG|56CDMG|6BPWR|7RCR|8BASHEA
52	33241 55223	   	181.44	DCR|4VULN|2DMG|2DUR|1ASPD	1578VULN|2aDUR|3ASPD|45DMG|5BPWR|6RMIN|9RCR
53	32413 18843	   	181.38	DCR|3VULN|3DMG|2CDMG	139VULN|27LWND|489DMG|5MBVNT|69CDMG|9BPWR|aRCR
54	32533 18843	   	181.38	DCR|3VULN|3DMG|2CDMG	149VULN|27LWND|389DMG|5MBVNT|69CDMG|9BPWR|aRCR
55	36312 36513	   	181.14	DCR|3VULN|3DMG|2CDMG|1SELL	189VULN|2SELL|3ERES|469DMG|5RCVC|79CDMG|9BPWR|aRCR
56	33241 32461	   	180.94	DCR|4VULN|2DMG|1DUR|1ASPD	159aVULN|2DUR|3ASPD|45DMG|5BPWR|6FEWX|7RCR|8BELT
57	33241 12461	   	180.84	DCR|4VULN|2DMG|1DUR|1ASPD	159aVULN|2DUR|3ASPD|45DMG|5BPWR|6DUST|7RCR|8BELT
58	33413 33321	   	180.36	DCR|3VULN|2DMG|2CDMG|2DUR	136VULN|28DUR|47DMG|56CDMG|6BPWR|9RCR|aBEXP
59	33533 33321	   	180.36	DCR|3VULN|2DMG|2CDMG|2DUR	146VULN|28DUR|37DMG|56CDMG|6BPWR|9RCR|aBEXP
60	33413 35311	   	179.87	DCR|3VULN|2DMG|2CDMG|1DUR	136VULN|2DUR|49DMG|56CDMG|6BPWR|7RCR|8FEWX|aLWND
61	33413 35313	   	179.87	DCR|3VULN|2DMG|2CDMG|1DUR	136VULN|2DUR|49DMG|56CDMG|6BPWR|7RCR|8FEWX|aRPLT
62	33413 35314	   	179.87	DCR|3VULN|2DMG|2CDMG|1DUR	136VULN|2DUR|49DMG|56CDMG|6BPWR|7RCR|8FEWX|aBELT
63	33533 35311	   	179.87	DCR|3VULN|2DMG|2CDMG|1DUR	146VULN|2DUR|39DMG|56CDMG|6BPWR|7RCR|8FEWX|aLWND
64	33533 35313	   	179.87	DCR|3VULN|2DMG|2CDMG|1DUR	146VULN|2DUR|39DMG|56CDMG|6BPWR|7RCR|8FEWX|aRPLT
65	33533 35314	   	179.87	DCR|3VULN|2DMG|2CDMG|1DUR	146VULN|2DUR|39DMG|56CDMG|6BPWR|7RCR|8FEWX|aBELT
66	33543 35312	   	179.87	DCR|3DMG|2VULN|2CDMG|1DUR	16VULN|2DUR|349DMG|56CDMG|6BPWR|7RCR|8FEWX|aLHND
67	42412 12315	   	179.87	DCR|3DMG|2VULN|2CDMG|1DUR	18MLV|28VULN|39aDMG|4NUKE|5DUR|68CDMG|7RCR|8BPWR
68	33413 35312	   	179.77	DCR|3VULN|2DMG|2CDMG|1DUR	136VULN|2DUR|49DMG|56CDMG|6BPWR|7RCR|8FEWX|aERES
69	33413 35315	   	179.77	DCR|3VULN|2DMG|2CDMG|1DUR	136VULN|2DUR|49DMG|56CDMG|6BPWR|7RCR|8FEWX|aDUST
70	33413 35325	   	179.77	DCR|3VULN|2DMG|2CDMG|1DUR	136VULN|2DUR|4aDMG|56CDMG|6BPWR|7RCR|8FEWX|9DUST
71	33533 35312	   	179.77	DCR|3VULN|2DMG|2CDMG|1DUR	146VULN|2DUR|39DMG|56CDMG|6BPWR|7RCR|8FEWX|aERES
72	33533 35315	   	179.77	DCR|3VULN|2DMG|2CDMG|1DUR	146VULN|2DUR|39DMG|56CDMG|6BPWR|7RCR|8FEWX|aDUST
73	33533 35325	   	179.77	DCR|3VULN|2DMG|2CDMG|1DUR	146VULN|2DUR|3aDMG|56CDMG|6BPWR|7RCR|8FEWX|9DUST
74	33543 35213	   	179.77	DCR|3VULN|2DMG|2CDMG|1DUR	16aVULN|2DUR|34DMG|56CDMG|6BPWR|7RCR|8BASICY|9LHND
75	33543 35222	   	179.77	DCR|3VULN|2DMG|2CDMG|1DUR	16aVULN|2DUR|34DMG|56CDMG|6BPWR|7RCR|8BASICY|9RMIN
76	33543 35311	   	179.77	DCR|3DMG|2VULN|2CDMG|1DUR	16VULN|2DUR|349DMG|56CDMG|6BPWR|7RCR|8FEWX|aLEGI
77	33543 35313	   	179.77	DCR|3DMG|2VULN|2CDMG|1DUR	16VULN|2DUR|349DMG|56CDMG|6BPWR|7RCR|8FEWX|aMBVNT
78	33241 32316	   	179.68	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	15VULN|29DUR|3ASPD|45DMG|5BPWR|6FEWX|7RCR|8LIT|aAART
79	33241 12316	   	179.58	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	15VULN|29DUR|3ASPD|45DMG|5BPWR|6DUST|7RCR|8LIT|aAART
80	33321 52361	   	179.32	DCR|3VULN|3CDMG|3ASPD|1ZMB|1DUR	189VULN|2DUR|389CDMG|4ZMB|5ERES|689ASPD|7RCR|89BPWR|aFEWX
81	33321 52362	   	179.32	DCR|3VULN|3CDMG|3ASPD|1ZMB|1DUR	189VULN|2DUR|389CDMG|4ZMB|5ERES|689ASPD|7RCR|89BPWR|aRPLT
82	33321 52365	   	179.32	DCR|3VULN|3CDMG|3ASPD|1ZMB|1DUR	189VULN|2DUR|389CDMG|4ZMB|5ERES|689ASPD|7RCR|89BPWR|aBEXP
83	33321 52366	   	179.32	DCR|3VULN|3CDMG|3ASPD|1ZMB|1DUR	189VULN|2DUR|389CDMG|4ZMB|5ERES|689ASPD|7RCR|89BPWR|aMLV
