0	Index      	 *	Score 	Summary	Detail	
1	21131 42326	 * 	198.64	DCR|5VULN|2DMG|3DUR	179LIT|2479aVULN|357DUR|6RCR|79BPWR|89DMG
2	21131 42324	   	196.82	DCR|4VULN|2DMG|3DUR|1ZMB	179LIT|2479VULN|357DUR|6RCR|79BPWR|89DMG|aZMB
3	21133 45343	 * 	196.17	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1LIT|245aVULN|3DUR|6RCR|7DMG|8CDMG|9AART
4	21133 45232	   	195.57	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2458VULN|3DUR|6RCR|7DMG|9CDMG|aAART
5	21133 45352	   	195.57	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2459VULN|3DUR|6RCR|7DMG|8CDMG|aAART
6	21133 34416	 * 	195.51	DCR|4VULN|2DMG|1AART|1DUR	1aLIT|245aVULN|3DUR|6CGEN|7aDMG|8RCR|9AART|aBPWR
7	21133 24416	   	195.41	DCR|4VULN|2DMG|1AART|1DUR	1aLIT|245aVULN|3DUR|6TLV|7aDMG|8RCR|9AART|aBPWR
8	12651 41231	 * 	194.12	DCR|3VULN|3DMG|1AART	1FEWX|29aVULN|358DMG|4CGEN|6AART|7RCR
9	13561 41231	   	194.02	DCR|3VULN|3DMG|1AART	1FEWX|2ERES|358DMG|49aVULN|6AART|7RCR
10	41511 41231	   	194.02	DCR|3VULN|3DMG|1AART	1NUKE|29aVULN|358DMG|4BEXP|6AART|7RCR
11	21133 45342	   	193.07	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LIT|245VULN|3DUR|6RCR|7DMG|8CDMG|9AART|aZMB
12	41636 33223	 * 	192.51	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1NUKE|25VULN|3ZMB|4ASPD|6CDMG|7RCR|8aDMG|9AART
13	24421 52123	 * 	192.44	ACR|3VULN|3DMG|1AART	137LIT|257DMG|4RCR|679VULN|79BPWR|89LWND|aAART
14	21133 42132	   	192.00	DCR|4VULN|1AART|1CDMG|2DUR|1ZMB	17LIT|2457VULN|37DUR|6RCR|7BPWR|8ZMB|9CDMG|aAART
15	26221 12425	 * 	190.16	DCR|3VULN|2DMG|1AART|1CDMG|1ASPD	17LIT|2CDMG|378VULN|4LSRREG|5ASPD|67DMG|7BPWR|9AART|aRCR
16	21133 45235	 * 	189.95	DCR|4VULN|2DMG|1CDMG|1DUR	1LIT|2458VULN|3DUR|6RCR|7aDMG|9CDMG
17	21133 42135	   	188.86	DCR|4VULN|1DMG|1CDMG|2DUR|1ZMB	17LIT|2457VULN|37DUR|6RCR|7BPWR|8ZMB|9CDMG|aDMG
18	21131 45343	   	187.36	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1LIT|24aVULN|35DUR|6RCR|7DMG|8CDMG|9AART
19	21133 45211	   	187.21	DCR|4VULN|1AART|1DMG|2DUR	1LIT|2458VULN|39DUR|6RCR|7DMG|aAART
20	21133 45362	   	186.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1LIT|245VULN|39DUR|6RCR|7DMG|8CDMG|aAART
21	21131 45232	   	186.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1LIT|248VULN|35DUR|6RCR|7DMG|9CDMG|aAART
22	21131 45352	   	186.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1LIT|249VULN|35DUR|6RCR|7DMG|8CDMG|aAART
23	21131 34416	   	186.70	DCR|3VULN|2DMG|1AART|2DUR	1aLIT|24aVULN|35DUR|6CGEN|7aDMG|8RCR|9AART|aBPWR
