0	Index      	 *	Score 	Summary	Detail	
1	21116 24311	 * 	198.97	DCR|4VULN|3ZMB|1AART|1DMG	17aLHND|2DMG|37aZMB|478aVULN|5DMSP|6AART|7aBPWR|9RCR
2	15141 42322	 * 	195.09	ACR|3DMG|2VULN|1AART|1ZMB	18TLV|2RCR|3ZMB|468DMG|5RCVC|78VULN|8BPWR|9CGEN|aAART
3	21333 65511	 * 	194.71	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1LHND|26DMG|356VULN|4RPLT|6BPWR|7RCR|8DUR|9AART|aZMB
4	61186 43441	 * 	193.34	ACR|3VULN|3DMG|1AART	1DMSP|2RMIN|3MBVNT|4AART|5RCR|69aVULN|78aDMG|aBPWR
5	15142 42322	   	192.29	ACR|3DMG|2VULN|1AART|1ZMB	18TLV|2RCR|3ZMB|468DMG|5DMSP|78VULN|8BPWR|9CGEN|aAART
6	15116 16311	   	192.19	ACR|3VULN|2DMG|1AART|1ZMB	18TLV|2RCR|3ZMB|478VULN|5DMSP|68DMG|8BPWR|9DLOT|aAART
7	51333 65232	 * 	189.72	DCR|3VULN|2DMG|1AART|1CDMG	1DUST|26DMG|356VULN|4RPLT|6BPWR|7RCR|8LHND|9CDMG|aAART
8	21333 65632	   	189.72	DCR|3VULN|2DMG|1AART|1CDMG	1LHND|26DMG|356VULN|4RPLT|6BPWR|7RCR|8DUST|9CDMG|aAART
9	15343 15121	 * 	189.47	ACR|3DMG|3ZMB|1VULN|1CDMG|1ASPD	19TLV|2RCR|3VULN|489DMG|5CDMG|6ASPD|79aZMB|9BPWR
10	21333 65533	 * 	189.21	DCR|3VULN|3DMG|1CDMG|1DUR	1LHND|26aDMG|356VULN|4RPLT|6BPWR|7RCR|8DUR|9CDMG
11	21133 25443	 * 	188.92	DCR|2VULN|2DMG|1AART|2ZMB|1FLTHEA	1LHND|24DMG|34ZMB|4BPWR|5MBVNT|6AART|7FLTHEA|8RCR|9aVULN
12	21333 65322	 * 	188.21	DCR|3VULN|2DMG|2AART	1LHND|26DMG|356VULN|4RPLT|6BPWR|7RCR|8CGEN|9aAART
13	21333 65411	   	187.77	DCR|3VULN|2DMG|1AART|1ZMB	1LHND|26DMG|356VULN|4RPLT|6BPWR|7RCR|8BEXP|9AART|aZMB
14	21333 65611	   	187.67	DCR|3VULN|2DMG|1AART|1ZMB	1LHND|26DMG|356VULN|4RPLT|6BPWR|7RCR|8DUST|9AART|aZMB
15	51333 65211	   	187.67	DCR|3VULN|2DMG|1AART|1ZMB	1DUST|26DMG|356VULN|4RPLT|6BPWR|7RCR|8LHND|9AART|aZMB
16	21343 23625	   	186.52	DCR|3VULN|2DMG|1AART|1CDMG	1LHND|24DMG|358VULN|6AART|7CDMG|9RCVC|aRCR
17	15141 42332	   	185.77	ACR|3DMG|2VULN|1ZMB|1DUR|1ASPD	18TLV|2RCR|3ZMB|468DMG|5RCVC|78VULN|8BPWR|9DUR|aASPD
18	21343 62232	 * 	185.41	DCR|3DMG|2VULN|1AART|1DUR	1LHND|248DMG|35VULN|6RCR|7DUR|9RPLT|aAART
19	21116 25311	   	185.24	DCR|4VULN|1AART|1DMG|2ZMB	1aLHND|2DMG|3aZMB|478aVULN|5DMSP|6AART|9RCR|aBPWR
20	21143 25443	   	184.97	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	1LHND|24DMG|3ZMB|5MBVNT|6AART|7FLTHEA|8RCR|9aVULN
21	21341 33361	 * 	184.92	DCR|3DMG|2VULN|1AART|1CDMG	1LHND|246DMG|37VULN|5BELT|8CDMG|9RCR|aAART
22	21343 62212	   	184.80	DCR|3VULN|3DMG|1ASPD|1DUR	1LHND|248DMG|35aVULN|6RCR|7DUR|9ASPD
23	21116 25511	   	184.67	DCR|3VULN|3ZMB|1AART|1DMG	1aLHND|2DMG|38aZMB|47aVULN|5DMSP|6AART|9RCR|aBPWR
24	15111 43235	   	184.54	ACR|3VULN|3DMG|1ZMB	1aTLV|2RCR|3ZMB|47aVULN|5DUST|6ERES|89aDMG|aBPWR
25	15332 73236	   	184.54	ACR|3VULN|3DMG|1ZMB	1aTLV|2RCR|37aVULN|4MBVNT|5ERES|6ZMB|89aDMG|aBPWR
26	51111 25511	   	184.37	DCR|3VULN|3ZMB|1AART|1DMG	15aDUST|2DMG|38aZMB|47aVULN|6AART|9RCR|aBPWR
27	15116 13311	   	184.07	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	178TLV|2RCR|3ZMB|48VULN|5DMSP|68DMG|8BPWR|9AART|aASPD
28	21333 65325	   	183.71	DCR|3VULN|2DMG|1AART|1ASPD	1LHND|26DMG|356VULN|4RPLT|6BPWR|7RCR|8CGEN|9AART|aASPD
29	21333 65513	   	183.71	DCR|3VULN|2DMG|1AART|1DUR	1aLHND|26DMG|356VULN|4RPLT|6BPWR|7RCR|8DUR|9AART
30	21333 65512	   	183.61	DCR|3VULN|2DMG|1AART|1DUR	1LHND|26DMG|356VULN|4RPLT|6BPWR|7RCR|8DUR|9AART|aERES
31	15116 16333	 * 	183.19	ACR|4VULN|2DMG|1ZMB	18TLV|2RCR|3ZMB|478aVULN|5DMSP|68DMG|8BPWR|9RPLT
32	31346 35311	   	183.12	DCR|3DMG|2VULN|1AART|1CDMG	1BEXP|246DMG|38VULN|5LHND|7CDMG|9AART|aRCR
33	15116 16312	   	183.09	ACR|4VULN|2DMG|1ZMB	18TLV|2RCR|3ZMB|478aVULN|5DMSP|68DMG|8BPWR|9DLOT
