0	Index      	 *	Score 	Summary	Detail	
1	35111 43422	 * 	311.82	ACR|DCR|2TLV|1VULN|1DMG|2AEBURN	13AEBURN|23LIT|3BPWR|47RCR|58TLV|6DMG|9LHND|aVULN
2	21255 32112	 * 	302.93	DCR|2TLV|2VULN|3DMG|2CDMG	18BLASTR|238DMG|45TLV|69VULN|78CDMG|8BPWR|aRCR
3	35111 46132	 * 	297.14	ACR|2TLV|2VULN|2DMG|3AEBURN	137AEBURN|23LIT|37BPWR|4RCR|57TLV|67DMG|89VULN|aDUR
4	36223 53352	   	293.10	ACR|2TLV|2VULN|1DMG|1AEPOI|1AEBURN|1CDMG	1AEBURN|24TLV|3AEPOI|5RCR|6CDMG|7DMG|89VULN|aDUR
5	35111 46133	   	287.48	ACR|2TLV|2VULN|2DMG|3AEBURN	137AEBURN|23LIT|37BPWR|4RCR|57TLV|67DMG|89VULN|aLWND
6	35111 46131	   	287.38	ACR|2TLV|2VULN|2DMG|3AEBURN	137AEBURN|23LIT|37BPWR|4RCR|57TLV|67DMG|89VULN|aDUST
7	35111 43123	   	285.62	ACR|DCR|1TLV|1VULN|1DMG|2AEBURN	13AEBURN|23LIT|3BPWR|47RCR|5TLV|6DMG|8FEWX|9LHND|aVULN
8	35111 43313	   	285.62	ACR|DCR|1TLV|1VULN|1DMG|2AEBURN	13AEBURN|23LIT|3BPWR|47RCR|5TLV|6DMG|8BEXP|9FEWX|aVULN
9	35611 43123	   	285.62	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1AEBURN|2LIT|3DMSP|47RCR|5TLV|6DMG|8FEWX|9LHND|aVULN
10	35611 43313	   	285.62	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1AEBURN|2LIT|3DMSP|47RCR|5TLV|6DMG|8BEXP|9FEWX|aVULN
11	35111 43163	   	285.52	ACR|DCR|1TLV|1VULN|1DMG|2AEBURN	13AEBURN|23LIT|3BPWR|47RCR|5TLV|6DMG|8FEWX|9DUST|aVULN
12	35111 43212	   	285.52	ACR|DCR|1TLV|1VULN|1DMG|2AEBURN	13AEBURN|23LIT|3BPWR|47RCR|5TLV|6DMG|8ERES|9MLV|aVULN
13	35111 43363	   	285.52	ACR|DCR|1TLV|1VULN|1DMG|2AEBURN	13AEBURN|23LIT|3BPWR|47RCR|5TLV|6DMG|8BEXP|9DUST|aVULN
14	35111 43613	   	285.52	ACR|DCR|1TLV|1VULN|1DMG|2AEBURN	13AEBURN|23LIT|3BPWR|47RCR|5TLV|6DMG|8DUST|9FEWX|aVULN
15	35611 43212	   	285.52	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1AEBURN|2LIT|3DMSP|47RCR|5TLV|6DMG|8ERES|9MLV|aVULN
16	36122 25632	   	283.54	DCR|2TLV|2VULN|1DMG|2AEBURN|1ASPD	18AEBURN|24TLV|38BEXP|5DMG|6LWND|78VULN|8BPWR|9RCR|aASPD
17	36122 25132	   	283.44	DCR|2TLV|2VULN|1DMG|1AEBURN|1ASPD	1AEBURN|24TLV|3BEXP|5DMG|6LWND|78VULN|9RCR|aASPD
18	36122 55132	   	283.44	DCR|2TLV|2VULN|1DMG|1AEBURN|1ASPD	1AEBURN|24TLV|3BEXP|5DMG|6LHND|78VULN|9RCR|aASPD
19	36223 53351	   	283.44	ACR|2TLV|2VULN|1AEBURN|1AEPOI|1DMG|1CDMG	1AEBURN|24TLV|3AEPOI|5RCR|6CDMG|7DMG|89VULN|aBELT
20	36223 53353	   	283.44	ACR|2TLV|2VULN|1AEBURN|1AEPOI|1DMG|1CDMG	1AEBURN|24TLV|3AEPOI|5RCR|6CDMG|7DMG|89VULN|aFEWX
