0	Index      	 *	Score 	Summary	Detail	
1	11633 74237	 * 	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1RAT|2CGEN|3MBVNT|4RPLT|59VULN|68RCR|7CDMG|aTLV
2	16363 24123	 * 	294.31	DCR|2TLV|2VULN|2DMG|1AEPOI	1RAT|2AEPOI|3aTLV|47DMG|5FEWX|68VULN|9RCR
3	16422 24123	   	294.31	DCR|2TLV|2VULN|2DMG|1AEPOI	1RAT|2AEPOI|3BEXP|47DMG|5aTLV|68VULN|9RCR
4	16362 24123	   	294.21	DCR|2TLV|2VULN|2DMG|1AEPOI	1RAT|2AEPOI|3aTLV|47DMG|5DUST|68VULN|9RCR
5	25133 21261	 * 	284.90	ACR|3VULN|1TLV|2DMG|2DUR	17aTSLHEL|27aVULN|3AAC|47DMG|5RCR|6RPLT|7aBPWR|8TLV|9aDUR
6	25133 21242	   	279.65	ACR|3VULN|1TLV|2DMG|1ASPD	17TSLHEL|27aVULN|3AAC|47DMG|5RCR|6RPLT|7BPWR|8TLV|9ASPD
7	16363 24121	   	277.77	DCR|2VULN|1TLV|2DMG|1AEPOI	1RAT|2AEPOI|3TLV|47DMG|5FEWX|68VULN|9RCR|aDUR
8	16422 24121	   	277.77	DCR|2VULN|1TLV|2DMG|1AEPOI	1RAT|2AEPOI|3BEXP|47DMG|5TLV|68VULN|9RCR|aDUR
9	16366 23121	 * 	277.72	DCR|2VULN|1TLV|3DUR|1DMG|1AEPOI	1RAT|2AEPOI|3TLV|4DMG|57aDUR|68VULN|9RCR
10	16362 24121	   	277.67	DCR|2VULN|1TLV|2DMG|1AEPOI	1RAT|2AEPOI|3TLV|47DMG|5DUST|68VULN|9RCR|aDUR
11	22215 36326	 * 	275.61	DCR|3VULN|1TLV|1AEPOI|2RAT|1ASPD	18TSLHEL|28RAT|3TLV|4RCVC|5AEPOI|678VULN|8BPWR|9ASPD|aRCR
12	11633 74264	 * 	275.26	DCR|DCR|3VULN|2CDMG|2RAT	19RAT|2CGEN|3MBVNT|4RPLT|59aVULN|68RCR|79CDMG|9BPWR
