0	Index      	 *	Score 	Summary	Detail	
1	11231 11114	 * 	326.34	ACR|DCR|3VULN|2TLV	17aVULN|26RCR|3AETHUN|4LIT|5aTLV|89aMLV|aBPWR
2	33221 16641	 * 	315.73	DCR|4VULN|2TLV|1AEFBLL|2CDMG	1aFEWX|258aVULN|35TLV|4RPLT|5aBPWR|6RCR|7AEFBLL|9aCDMG
3	11231 11635	   	315.37	ACR|DCR|2VULN|1TLV|1DMG|1AEPOI	17VULN|26RCR|3AETHUN|4LIT|5TLV|8LWND|9AEPOI|aDMG
4	11231 12114	 * 	315.30	ACR|DCR|3TLV|2VULN	1aVULN|26RCR|3AETHUN|4LIT|57aTLV|89aMLV|aBPWR
5	11231 12635	   	311.72	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI	1VULN|26RCR|3AETHUN|4LIT|57TLV|8LWND|9AEPOI|aDMG
6	13421 11532	 * 	309.22	ACR|4VULN|2TLV|1DMG|1CDMG	148aVULN|2DMG|3aCGEN|5RCR|6CDMG|7SPLJET|9aTLV|aBPWR
7	13421 14532	   	309.22	ACR|4VULN|2TLV|1DMG|1CDMG	148aVULN|2DMG|3aCGEN|5RCR|6CDMG|7MULARM|9aTLV|aBPWR
8	13221 11532	   	309.02	ACR|4VULN|2TLV|1DMG|1CDMG	148aVULN|2DMG|3aERES|5RCR|6CDMG|7SPLJET|9aTLV|aBPWR
9	13221 14532	   	309.02	ACR|4VULN|2TLV|1DMG|1CDMG	148aVULN|2DMG|3aERES|5RCR|6CDMG|7MULARM|9aTLV|aBPWR
10	13226 24532	   	309.02	DCR|4VULN|2TLV|1DMG|1CDMG	148aVULN|2DMG|3aERES|5CDMG|6MSLTOX|7RCR|9aTLV|aBPWR
11	11231 11325	   	308.96	ACR|DCR|2VULN|1TLV|1AEPOI|1CDMG	17VULN|26RCR|3AETHUN|4LIT|5TLV|8AAC|9CDMG|aAEPOI
12	11231 12454	   	308.29	ACR|DCR|2TLV|2VULN	1aVULN|26RCR|3AETHUN|4LIT|57TLV|8LSRHEA|9RAT
13	11231 12554	   	308.29	ACR|DCR|2TLV|2VULN	1aVULN|26RCR|3AETHUN|4LIT|57TLV|8BASICY|9RAT
14	11133 51151	 * 	307.80	ACR|5VULN|3TLV	1589aVULN|2RCR|3TSLARM|4DMSP|69aLIT|79aTLV|9aBPWR
15	11231 11454	   	306.78	ACR|DCR|3VULN|1TLV	17aVULN|26RCR|3AETHUN|4LIT|5TLV|8LSRHEA|9RAT
16	11231 11554	   	306.78	ACR|DCR|3VULN|1TLV	17aVULN|26RCR|3AETHUN|4LIT|5TLV|8BASICY|9RAT
17	11231 12325	   	305.31	ACR|DCR|2TLV|1VULN|1AEPOI|1CDMG	1VULN|26RCR|3AETHUN|4LIT|57TLV|8AAC|9CDMG|aAEPOI
18	11162 24532	   	302.70	ACR|4VULN|2TLV|1ASPD|1CDMG	178aVULN|2RCR|3TSLARM|4aERES|5CDMG|6ASPD|9aTLV|aBPWR
19	11231 11631	   	302.25	ACR|DCR|2VULN|1TLV|1AEPOI	17VULN|26RCR|3AETHUN|4LIT|5TLV|8LWND|9AEPOI|aZMB
