0	Index      	 *	Score 	Summary	Detail	
1	66231 11523	 * 	337.81	DCR|4VULN|2TLV|2DMG|1ASPD	1346VULN|26TLV|5AART|6BPWR|79DMG|8RCR|aASPD
2	63133 53362	 * 	331.27	DCR|DCR|2TLV|2VULN|1AEFBLL	15VULN|2LWND|3DUR|4aTLV|6AEFBLL|7FEWX|89RCR
3	16333 53362	   	331.17	DCR|DCR|2TLV|2VULN|1AEFBLL	1DUST|2aTLV|3DUR|45VULN|6AEFBLL|7FEWX|89RCR
4	63133 53363	   	325.13	DCR|DCR|2VULN|1TLV|1AEFBLL|1DMG	15VULN|2LWND|3DUR|4TLV|6AEFBLL|7FEWX|89RCR|aDMG
5	16333 53363	   	325.03	DCR|DCR|2VULN|1TLV|1AEFBLL|1DMG	1DUST|2TLV|3DUR|45VULN|6AEFBLL|7FEWX|89RCR|aDMG
6	66231 11522	   	324.16	DCR|4VULN|2TLV|2DMG	1346VULN|26TLV|5AART|6BPWR|79DMG|8RCR|aFEWX
7	66231 11521	   	324.06	DCR|4VULN|2TLV|2DMG|1MSE	1346VULN|26TLV|5AART|6BPWR|79DMG|8RCR|aMSE
8	16133 53362	   	321.51	DCR|DCR|2TLV|2VULN|1AEFBLL	1DUST|2aTLV|3LWND|45VULN|6AEFBLL|7FEWX|89RCR
9	63133 26362	   	320.25	DCR|DCR|2TLV|2VULN|2DUR	15VULN|2LWND|37DUR|4aTLV|6FEWX|89RCR
10	16333 26362	   	320.15	DCR|DCR|2TLV|2VULN|2DUR	1DUST|2aTLV|37DUR|45VULN|6FEWX|89RCR
11	16333 51362	   	315.87	DCR|DCR|2TLV|2VULN|1AEFBLL|1MSE	1DUST|2aTLV|3DUR|45VULN|6AEFBLL|7MSE|89RCR
12	16133 53363	   	315.37	DCR|DCR|2VULN|1TLV|1AEFBLL|1DMG	1DUST|2TLV|3LWND|45VULN|6AEFBLL|7FEWX|89RCR|aDMG
13	63133 26363	   	314.11	DCR|DCR|2VULN|1TLV|1DMG|2DUR	15VULN|2LWND|37DUR|4TLV|6FEWX|89RCR|aDMG
14	16333 26363	   	314.01	DCR|DCR|2VULN|1TLV|1DMG|2DUR	1DUST|2TLV|37DUR|45VULN|6FEWX|89RCR|aDMG
15	66231 11512	   	313.51	DCR|4VULN|2TLV|1DMG	1346VULN|26TLV|5AART|6BPWR|7DMG|8RCR|9BEXP|aRAT
16	62633 53332	   	312.17	DCR|3VULN|2TLV|2DMG|1AEFBLL	15aVULN|2RCVC|3MDPS|4aTLV|6AEFBLL|7FEWX|8RCR|9aDMG|aBPWR
17	12115 42612	   	311.21	DCR|DCR|2TLV|2VULN	1DUST|2RCVC|3RPLT|46TLV|56VULN|6BPWR|7FEWX|8DUR|9aRCR
18	46223 22362	   	311.21	DCR|DCR|2TLV|2VULN	17LWND|2aTLV|35VULN|4DUR|6FEWX|89RCR
19	46333 22362	   	311.21	DCR|DCR|2TLV|2VULN	17LWND|2aTLV|3DUR|45VULN|6FEWX|89RCR
20	63131 51362	   	311.21	DCR|DCR|2TLV|2VULN	16VULN|2LWND|3DUR|4aTLV|57BEXP|89RCR
21	63133 22362	   	311.21	DCR|DCR|2TLV|2VULN	15VULN|27LWND|3DUR|4aTLV|6FEWX|89RCR
22	16333 42362	   	311.11	DCR|DCR|2TLV|2VULN	1DUST|2aTLV|3DUR|45VULN|67LWND|89RCR
23	16333 63362	   	311.11	DCR|DCR|2TLV|2VULN	1DUST|2aTLV|3DUR|45VULN|6RCVC|7FEWX|89RCR
24	16331 51362	   	311.11	DCR|DCR|2TLV|2VULN	1DUST|2aTLV|3DUR|46VULN|57BEXP|89RCR
25	63131 26363	   	310.46	DCR|DCR|2TLV|1VULN|1DMG|2DUR	1VULN|2LWND|37DUR|46TLV|5BEXP|89RCR|aDMG
26	16331 26363	   	310.36	DCR|DCR|2TLV|1VULN|1DMG|2DUR	1DUST|26TLV|37DUR|4VULN|5BEXP|89RCR|aDMG
27	16333 51363	   	309.73	DCR|DCR|2VULN|1TLV|1AEFBLL|1DMG|1MSE	1DUST|2TLV|3DUR|45VULN|6AEFBLL|7MSE|89RCR|aDMG
28	66232 12612	 * 	309.70	DCR|DCR|3VULN|1TLV	134VULN|2TLV|5RPLT|6FEWX|7BEXP|8DUR|9aRCR
29	66232 34112	   	309.70	DCR|DCR|3VULN|1TLV	134VULN|2TLV|5RPLT|6DUR|7LWND|8FEWX|9aRCR
