0	Index      	 *	Score 	Summary	Detail	
1	26456 23221	 * 	299.84	DCR|DCR|3VULN|1TLV	1CGEN|2MBVNT|3LIT|4MDPS|567VULN|89RCR|aTLV
2	44331 14311	   	286.25	DCR|DCR|2VULN|1TLV|1AART	19VULN|2AART|3LHND|4BASICY|5RPLT|6aRCR|7TLV|8FEWX
3	64111 14311	   	286.25	DCR|DCR|2VULN|1TLV|1AART	1BEXP|2AART|3SNIHEL|49VULN|5RPLT|6aRCR|7TLV|8FEWX
4	26364 22246	   	286.15	DCR|DCR|2VULN|1TLV|1AART	1CGEN|2MBVNT|38VULN|4AART|5ERES|6RCVC|7TLV|9aRCR
5	44331 14131	 * 	286.12	DCR|DCR|1TLV|1VULN|1AEBURN|1AART	1VULN|2AART|3LHND|4BASICY|5RPLT|6aRCR|7TLV|8AEBURN|9DUR
6	23336 51533	 * 	283.50	DCR|DCR|1TLV|1VULN|1DMG|1AART	1CGEN|2RCVC|3TLV|4RPLT|5ZMB|69RCR|7DMG|8AART|aVULN
7	21341 22221	   	282.15	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BEXP|3VULN|4LIT|5DUR|6DMG|7ZMB|89RCR|aTLV
8	25342 22221	   	282.15	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2LWND|3VULN|4LIT|5DUR|6DMG|7ZMB|89RCR|aTLV
9	34233 51363	 * 	278.84	DCR|DCR|1TLV|1VULN|2DMG|1AART|1MSE	1MSE|2AART|35DMG|4MLV|69RCR|7TLV|8CGEN|aVULN
10	23335 51533	   	276.46	DCR|DCR|1TLV|1VULN|1DMG|1AART	1CGEN|2RCVC|3TLV|4RPLT|5DMG|69RCR|7NUKE|8AART|aVULN
11	21341 26221	   	275.21	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BEXP|3VULN|4LIT|5DUR|6DMG|7AAC|89RCR|aTLV
12	21341 53221	   	275.21	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BEXP|3VULN|4LIT|5DUR|6AAC|7DMG|89RCR|aTLV
13	25342 53221	   	275.21	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2LWND|3VULN|4LIT|5DUR|6AAC|7DMG|89RCR|aTLV
14	26355 33221	   	275.15	DCR|DCR|2VULN|1TLV	1CGEN|2MBVNT|37VULN|4LIT|5FEWX|6DUST|89RCR|aTLV
15	26456 22221	   	275.15	DCR|DCR|2VULN|1TLV	1CGEN|2MBVNT|3LIT|4MDPS|56VULN|7RCVC|89RCR|aTLV
16	26456 43221	   	275.15	DCR|DCR|2VULN|1TLV	1CGEN|2MBVNT|3LIT|4MDPS|57VULN|6RCVC|89RCR|aTLV
17	21341 23221	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BEXP|3VULN|4LIT|5DUR|6DMG|7NUKE|89RCR|aTLV
18	25342 23221	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2LWND|3VULN|4LIT|5DUR|6DMG|7NUKE|89RCR|aTLV
19	26351 73221	   	275.11	DCR|DCR|1TLV|1VULN|1AEBURN	1CGEN|2MBVNT|3VULN|4LIT|5DUR|6LWND|7AEBURN|89RCR|aTLV
20	21344 22221	   	272.49	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BEXP|3VULN|4LIT|5FEWX|6DMG|7ZMB|89RCR|aTLV
21	25344 22221	   	272.49	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2LWND|3VULN|4LIT|5FEWX|6DMG|7ZMB|89RCR|aTLV
22	21345 22221	   	272.39	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BEXP|3VULN|4LIT|5DUST|6DMG|7ZMB|89RCR|aTLV
23	25345 22221	   	272.39	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2LWND|3VULN|4LIT|5DUST|6DMG|7ZMB|89RCR|aTLV
24	34611 14311	   	271.05	DCR|DCR|2VULN|1TLV|1AART|1MSE	1MSE|2AART|3FRZFST|49VULN|5RPLT|6aRCR|7TLV|8FEWX
25	34111 14311	   	270.95	DCR|DCR|2VULN|1TLV|1AART|1MSE	1MSE|2AART|3SNIHEL|49VULN|5RPLT|6aRCR|7TLV|8FEWX
26	34111 14621	   	270.95	DCR|DCR|2VULN|1TLV|1AART|1MSE	1MSE|2AART|3SNIHEL|48VULN|5RPLT|6aRCR|7TLV|9BEXP
