0	Index      	 *	Score 	Summary	Detail	
1	13232 63142	 * 	333.87	ACR|5VULN|2TLV|1AEFBLL|1DMG	14789VULN|23TLV|5RCR|6DMG|aAEFBLL
2	42322 62213	 * 	330.93	ACR|3TLV|2VULN|2DMG|1AEFBLL|2DUR|1AART	17DUR|2AEFBLL|347TLV|5RCR|67DMG|7BPWR|8aVULN|9AART
3	43322 62213	   	330.93	ACR|3TLV|2VULN|2DMG|1AEBURN|2DUR|1AART	17DUR|2AEBURN|347TLV|5RCR|67DMG|7BPWR|8aVULN|9AART
4	13232 53142	   	327.46	ACR|5VULN|2TLV|1AEFBLL|1ASPD	14789VULN|23TLV|5RCR|6ASPD|aAEFBLL
5	13232 63132	 * 	326.71	ACR|4VULN|2TLV|2DMG|1ASPD	1478VULN|23TLV|5RCR|6aDMG|9ASPD
6	13232 63165	   	326.53	ACR|4VULN|2TLV|1DMG|1AEBURN|1AART	1478VULN|23TLV|5RCR|6DMG|9AEBURN|aAART
7	13232 64132	   	325.72	ACR|3VULN|2TLV|2DMG|1AEBURN|1ASPD	148VULN|23TLV|5RCR|6aDMG|7AEBURN|9ASPD
8	13232 65132	   	325.72	ACR|3VULN|2TLV|2DMG|1AEPOI|1ASPD	148VULN|23TLV|5RCR|6aDMG|7AEPOI|9ASPD
9	13232 63134	   	322.77	ACR|4VULN|2TLV|1DMG|1ASPD|1CDMG	1478VULN|23TLV|5RCR|6DMG|9ASPD|aCDMG
10	13232 63346	 * 	322.77	ACR|4VULN|3TLV|1DMG|2RAT	147aVULN|23aTLV|5RCR|6DMG|8DUST|9aRAT|aBPWR
11	13232 63163	   	322.47	ACR|4VULN|2TLV|1DMG|1AEBURN	1478VULN|23TLV|5RCR|6DMG|9AEBURN|aRAT
12	13232 64143	   	322.47	ACR|4VULN|2TLV|1DMG|1AEBURN	1489VULN|23TLV|5RCR|6DMG|7AEBURN|aRAT
13	13232 65143	   	322.47	ACR|4VULN|2TLV|1DMG|1AEPOI	1489VULN|23TLV|5RCR|6DMG|7AEPOI|aRAT
14	13232 64134	   	321.78	ACR|3VULN|2TLV|1DMG|1AEBURN|1ASPD|1CDMG	148VULN|23TLV|5RCR|6DMG|7AEBURN|9ASPD|aCDMG
15	13232 65134	   	321.78	ACR|3VULN|2TLV|1DMG|1AEPOI|1ASPD|1CDMG	148VULN|23TLV|5RCR|6DMG|7AEPOI|9ASPD|aCDMG
16	13232 13444	 * 	321.51	ACR|DCR|2TLV|2VULN|1DMG	14VULN|23TLV|5aRCR|6LWND|7LIT|8ERES|9DMG
17	13232 23444	   	321.41	ACR|DCR|2TLV|2VULN|1DMG	14VULN|23TLV|5aRCR|6LEGI|7LIT|8ERES|9DMG
18	13232 32245	   	320.12	ACR|4VULN|2TLV|1AEFBLL|1ASPD|1AART	1479VULN|23TLV|5RCR|6AEFBLL|8ASPD|aAART
19	13232 53165	   	320.12	ACR|4VULN|2TLV|1AEBURN|1ASPD|1AART	1478VULN|23TLV|5RCR|6ASPD|9AEBURN|aAART
20	42322 62242	   	319.93	ACR|3TLV|2VULN|2DMG|1AEFBLL|2DUR	17DUR|2AEFBLL|347TLV|5RCR|67DMG|7BPWR|8aVULN|9FEWX
21	43322 62242	   	319.93	ACR|3TLV|2VULN|2DMG|1AEBURN|2DUR	17DUR|2AEBURN|347TLV|5RCR|67DMG|7BPWR|8aVULN|9FEWX
22	42322 52213	 * 	319.38	ACR|3TLV|2VULN|2ASPD|1AEFBLL|2DUR|1AART	17DUR|2AEFBLL|347TLV|5RCR|67ASPD|7BPWR|8aVULN|9AART
23	43322 52213	   	319.38	ACR|3TLV|2VULN|2ASPD|1AEBURN|2DUR|1AART	17DUR|2AEBURN|347TLV|5RCR|67ASPD|7BPWR|8aVULN|9AART
24	13232 53346	   	316.35	ACR|4VULN|3TLV|1ASPD|2RAT	147aVULN|23aTLV|5RCR|6ASPD|8DUST|9aRAT|aBPWR
25	11222 31736	 * 	316.20	DCR|DCR|2VULN|1TLV|3DUR|1CDMG	16VULN|2FEWX|3TLV|467DUR|5MBVNT|6BPWR|8CDMG|9aRCR
26	11222 38236	   	316.20	DCR|DCR|2VULN|1TLV|3DUR|1CDMG	16VULN|2FEWX|3TLV|469DUR|5MBVNT|6BPWR|7CDMG|8aRCR
27	11222 38536	   	316.20	DCR|DCR|2VULN|1TLV|3DUR|1CDMG	16VULN|2FEWX|3TLV|468DUR|5MBVNT|6BPWR|7CDMG|9aRCR
28	13622 31736	   	316.20	DCR|DCR|2VULN|1TLV|3DUR|1CDMG	16VULN|2TLV|3FEWX|467DUR|5MBVNT|6BPWR|8CDMG|9aRCR
29	13622 38236	   	316.20	DCR|DCR|2VULN|1TLV|3DUR|1CDMG	16VULN|2TLV|3FEWX|469DUR|5MBVNT|6BPWR|7CDMG|8aRCR
30	13232 32543	   	316.13	ACR|4VULN|2TLV|1AEFBLL|1AART	147aVULN|23TLV|5RCR|6AEFBLL|8AART|9DUR
31	13232 32243	   	316.06	ACR|4VULN|2TLV|1AEFBLL|1ASPD	1479VULN|23TLV|5RCR|6AEFBLL|8ASPD|aRAT
32	13232 53163	   	316.06	ACR|4VULN|2TLV|1AEBURN|1ASPD	1478VULN|23TLV|5RCR|6ASPD|9AEBURN|aRAT
33	13232 54143	   	316.06	ACR|4VULN|2TLV|1AEBURN|1ASPD	1489VULN|23TLV|5RCR|6ASPD|7AEBURN|aRAT
34	13232 55143	   	316.06	ACR|4VULN|2TLV|1AEPOI|1ASPD	1489VULN|23TLV|5RCR|6ASPD|7AEPOI|aRAT
35	13232 63161	   	315.53	ACR|4VULN|2TLV|1DMG|1AEBURN	1478VULN|23TLV|5RCR|6DMG|9AEBURN|aLHND
36	13232 64141	   	315.53	ACR|4VULN|2TLV|1DMG|1AEBURN	1489VULN|23TLV|5RCR|6DMG|7AEBURN|aLHND
37	13232 65141	   	315.53	ACR|4VULN|2TLV|1DMG|1AEPOI	1489VULN|23TLV|5RCR|6DMG|7AEPOI|aLHND
38	13232 63113	   	315.43	ACR|4VULN|2TLV|1DMG|1AEBURN	1478VULN|23TLV|5RCR|6DMG|9MDPS|aAEBURN
39	13232 63162	   	315.43	ACR|4VULN|2TLV|1DMG|1AEBURN	1478VULN|23TLV|5RCR|6DMG|9AEBURN|aAEFRZ
40	13232 63164	   	315.43	ACR|4VULN|2TLV|1DMG|1AEBURN	1478VULN|23TLV|5RCR|6DMG|9AEBURN|aSPLJET
41	13232 63166	   	315.43	ACR|4VULN|2TLV|1DMG|1AEBURN	1478VULN|23TLV|5RCR|6DMG|9AEBURN|aDUST
42	13232 64142	   	315.43	ACR|4VULN|2TLV|1DMG|1AEBURN	1489VULN|23TLV|5RCR|6DMG|7AEBURN|aAEFRZ
43	13232 65142	   	315.43	ACR|4VULN|2TLV|1DMG|1AEPOI	1489VULN|23TLV|5RCR|6DMG|7AEPOI|aAEFRZ
44	13232 32432	   	315.07	ACR|3VULN|2TLV|1AEFBLL|1DMG|1ASPD	147VULN|23TLV|5RCR|6AEFBLL|8ZMB|9ASPD|aDMG
45	13243 22643	 * 	313.91	DCR|3TLV|3VULN|1DMG|2DUR	169VULN|239TLV|4RPLT|5ZMB|7DMG|89DUR|9BPWR|aRCR
46	13232 63143	   	313.81	ACR|5VULN|2TLV|1DMG	14789VULN|23TLV|5RCR|6DMG|aAME
47	13232 63141	   	313.71	ACR|5VULN|2TLV|1DMG	14789VULN|23TLV|5RCR|6DMG|aDUST
48	13232 63145	   	313.71	ACR|5VULN|2TLV|1DMG	14789VULN|23TLV|5RCR|6DMG|aERES
49	13232 63146	   	313.71	ACR|5VULN|2TLV|1DMG|1MSE	14789VULN|23TLV|5RCR|6DMG|aMSE
50	13232 32445	   	313.41	ACR|4VULN|2TLV|1AEFBLL|1AART	1479VULN|23TLV|5RCR|6AEFBLL|8ZMB|aAART
51	13232 63152	   	313.05	ACR|4VULN|2TLV|2DMG	1478VULN|23TLV|5RCR|6aDMG|9AME
52	13232 63122	   	312.95	ACR|4VULN|2TLV|2DMG	1478VULN|23TLV|5RCR|6aDMG|9ERES
53	13243 21643	 * 	312.79	DCR|3TLV|3VULN|2DMG	169VULN|239TLV|4RPLT|5ZMB|7LWND|89DMG|9BPWR|aRCR
54	42322 62232	 * 	312.67	ACR|3TLV|3DMG|1VULN|1AEFBLL|2DUR	17DUR|2AEFBLL|347TLV|5RCR|679DMG|7BPWR|8VULN|aZMB
55	42322 62236	   	312.67	ACR|3TLV|3DMG|1VULN|1AEFBLL|2DUR	17DUR|2AEFBLL|347TLV|5RCR|679DMG|7BPWR|8VULN|aBLAICY
56	43322 62232	   	312.67	ACR|3TLV|3DMG|1VULN|1AEBURN|2DUR	17DUR|2AEBURN|347TLV|5RCR|679DMG|7BPWR|8VULN|aZMB
57	43322 62236	   	312.67	ACR|3TLV|3DMG|1VULN|1AEBURN|2DUR	17DUR|2AEBURN|347TLV|5RCR|679DMG|7BPWR|8VULN|aBLAICY
58	13232 53135	 * 	312.51	ACR|4VULN|2TLV|2ASPD|1AART	1478VULN|23TLV|5RCR|69ASPD|aAART
59	42322 62341	 * 	312.22	ACR|3TLV|1VULN|2DMG|3DUR|1AEFBLL|1CDMG	179DUR|2AEFBLL|347TLV|5RCR|67DMG|7BPWR|8CDMG|aVULN
60	43322 62341	   	312.22	ACR|3TLV|1VULN|2DMG|3DUR|1AEBURN|1CDMG	179DUR|2AEBURN|347TLV|5RCR|67DMG|7BPWR|8CDMG|aVULN
61	13232 64152	   	312.07	ACR|3VULN|2TLV|2DMG|1AEBURN	148VULN|23TLV|5RCR|6aDMG|7AEBURN|9AME
62	13232 65152	   	312.07	ACR|3VULN|2TLV|2DMG|1AEPOI	148VULN|23TLV|5RCR|6aDMG|7AEPOI|9AME
63	13232 63213	   	311.97	ACR|3VULN|2TLV|2DMG|1AEBURN	147VULN|23TLV|5RCR|69DMG|8MDPS|aAEBURN
