0	Index      	 *	Score 	Summary	Detail	
1	12263 22561	 * 	288.76	DCR|3LIT|1VULN|1MLV|2ASPD|1AART|1CDMG	146LIT|24ASPD|3RCVC|4BPWR|5MLV|7CDMG|8RCR|9VULN|aAART
2	14113 63111	 * 	285.29	DCR|2LIT|2VULN|1MLV|1DMG|1NUKE	19LIT|2DMG|3RMIN|4CGEN|57VULN|6RCR|8MLV|aNUKE
3	14113 63116	 * 	282.82	DCR|2LIT|2VULN|2DMG|1MLV	19LIT|2aDMG|3RMIN|4CGEN|57VULN|6RCR|8MLV
4	14113 63112	   	281.48	DCR|2LIT|2VULN|1MLV|1DMG|1AART	19LIT|2DMG|3RMIN|4CGEN|57VULN|6RCR|8MLV|aAART
5	11521 53422	 * 	280.06	ACR|3LIT|3VULN|1MLV|1DMG	149LIT|2BEXP|3RCR|5MLV|678VULN|aDMG
6	12263 22525	   	279.45	DCR|3LIT|1VULN|1MLV|2ASPD|1CDMG	146LIT|24ASPD|3RCVC|4BPWR|5MLV|7CDMG|8RCR|9ZMB|aVULN
7	12442 63111	   	278.88	DCR|2LIT|2VULN|1MLV|1NUKE|1ASPD	19LIT|2ASPD|37VULN|4MLV|5RMIN|6RCR|8TLV|aNUKE
8	12442 63211	   	278.88	DCR|2LIT|2VULN|1MLV|1NUKE|1ASPD	19LIT|2ASPD|37VULN|4MLV|5RMIN|6RCR|8CGEN|aNUKE
9	12113 63111	   	278.88	DCR|2LIT|2VULN|1MLV|1NUKE|1ASPD	19LIT|2ASPD|3RMIN|4CGEN|57VULN|6RCR|8MLV|aNUKE
10	12113 63116	   	278.88	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	19LIT|2ASPD|3RMIN|4CGEN|57VULN|6RCR|8MLV|aDMG
11	11321 53522	 * 	277.12	DCR|3LIT|2VULN|1MLV|1DMG	14aLIT|2BEXP|3LHND|5MLV|67VULN|8DMG|9RCR
12	11421 53522	   	277.12	DCR|3LIT|2VULN|1MLV|1DMG	14aLIT|2BEXP|3FEWX|5MLV|67VULN|8DMG|9RCR
13	13321 54522	   	277.12	DCR|3LIT|2VULN|1MLV|1DMG	14aLIT|2LWND|3LHND|5MLV|67VULN|8DMG|9RCR
14	16321 53522	   	277.02	DCR|3LIT|2VULN|1MLV|1DMG|1DUR	14aLIT|2DUR|3LHND|5MLV|67VULN|8DMG|9RCR
15	14113 65111	 * 	276.68	DCR|2LIT|2DMG|1VULN|1MLV|1NUKE	19LIT|27DMG|3RMIN|4CGEN|5VULN|6RCR|8MLV|aNUKE
