0	Index      	 *	Score 	Summary	Detail	
1	26111 25136	 * 	313.97	DCR|3LIT|2VULN|3DMG|1MLV	19VULN|2LEGI|3LSRHEA|459LIT|689DMG|7RCR|9BPWR|aMLV
2	41422 13331	 * 	313.48	DCR|3LIT|3DMG|3ASPD|1MLV|3ZMB	19aASPD|258ZMB|3MLV|49aDMG|69aLIT|7RCR|9aBPWR
3	62423 35132	 * 	300.75	DCR|2MLV|1LIT|2VULN|2DMG|3DUR|2CDMG	126DUR|26aBPWR|3aMLV|4aDMG|56VULN|7LIT|8aCDMG|9RCR
4	26111 25131	   	288.81	DCR|3LIT|2VULN|3DMG	19VULN|2LEGI|3LSRHEA|459LIT|689DMG|7RCR|9BPWR|aZMB
5	26511 25131	   	288.81	DCR|3LIT|2VULN|3DMG	19VULN|2LEGI|3BLAICY|459LIT|689DMG|7RCR|9BPWR|aZMB
6	23423 25132	 * 	286.92	DCR|2LIT|3VULN|3DMG	139VULN|29FLTHEA|4BEXP|5aLIT|689DMG|7RCR|9BPWR
7	23433 25136	   	286.92	DCR|2LIT|3VULN|3DMG	139VULN|29FLTHEA|4LWND|5aLIT|689DMG|7RCR|9BPWR
8	22423 25136	   	286.82	DCR|2LIT|3VULN|3DMG	139VULN|29LWND|4MULARM|5aLIT|689DMG|7RCR|9BPWR
9	24423 25132	   	286.82	DCR|2LIT|3VULN|3DMG	139VULN|29FEWX|4MULARM|5aLIT|689DMG|7RCR|9BPWR
10	26423 25131	   	286.72	DCR|2LIT|3VULN|3DMG	139VULN|2LEGI|4MULARM|59LIT|689DMG|7RCR|9BPWR|aRCVC
11	26423 25132	   	286.72	DCR|2LIT|3VULN|3DMG	139VULN|2LEGI|4MULARM|59LIT|689DMG|7RCR|9BPWR|aBELT
12	26423 25133	   	286.72	DCR|2LIT|3VULN|3DMG	139VULN|2LEGI|4MULARM|59LIT|689DMG|7RCR|9BPWR|aFEWX
13	41422 13335	   	284.54	DCR|2LIT|3DMG|1MLV|2ASPD|3ZMB	19ASPD|258ZMB|3MLV|49aDMG|69LIT|7RCR|9BPWR
