0	Index      	 *	Score 	Summary	Detail	
1	31225 62151	 * 	285.28	DCR|2LIT|2VULN|2DMG|2ASPD|1CDMG	18FEWX|2CDMG|38LIT|4aVULN|56DMG|78ASPD|8BPWR|9RCR
2	22413 51143	 * 	282.39	DCR|2LIT|3VULN|1MLV|1ASPD|1DUR	1CANTOX|268VULN|3ZMB|4MLV|56LIT|6BPWR|7DUR|9RCR|aASPD
3	22413 52253	 * 	275.85	DCR|3LIT|2VULN|1MLV|1ASPD	1CANTOX|26VULN|3ZMB|4MLV|568LIT|6BPWR|7LWND|9ASPD|aRCR
4	22413 52143	   	272.14	DCR|2LIT|3VULN|1MLV|2ZMB	1CANTOX|268VULN|3aZMB|4MLV|56LIT|6BPWR|7LWND|9RCR
5	22413 62612	   	270.89	DCR|3LIT|2VULN|1MLV|2ZMB	19CANTOX|29VULN|3aZMB|4MLV|589LIT|6BELT|7RCR|9BPWR
6	33121 36443	   	270.61	DCR|3LIT|2VULN|1MLV|1ASPD	1FEWX|237LIT|4MLV|5ASPD|6DUST|8aVULN|9RCR
7	54421 12323	 * 	270.56	DCR|2MLV|3VULN|1LIT|1CDMG	17MLV|2CGEN|3LIT|4CANTOX|5CDMG|69aVULN|8RCR
8	52421 12323	   	270.41	DCR|2MLV|3VULN|1LIT|1CDMG	17MLV|2ERES|3LIT|4CANTOX|5CDMG|69aVULN|8RCR
9	33124 33331	   	269.66	DCR|2LIT|2VULN|1MLV|1AART|1CDMG	1FEWX|23LIT|4MLV|5LWND|68VULN|7CDMG|9RCR|aAART
10	22413 52141	   	268.74	DCR|2LIT|3VULN|1MLV	1CANTOX|268VULN|3ZMB|4MLV|56LIT|6BPWR|7LWND|9RCR|aDUST
11	22413 52142	   	268.74	DCR|2LIT|3VULN|1MLV|1DUR	1CANTOX|268VULN|3ZMB|4MLV|56LIT|6BPWR|7LWND|9RCR|aDUR
12	22413 51141	   	268.64	DCR|2LIT|3VULN|1MLV|1DUR	1CANTOX|268VULN|3ZMB|4MLV|56LIT|6BPWR|7DUR|9RCR|aDUST
13	22413 51142	   	268.64	DCR|2LIT|3VULN|1MLV|2DUR	1CANTOX|268VULN|3ZMB|4MLV|56LIT|6BPWR|7aDUR|9RCR
14	33123 36441	 * 	268.41	DCR|3LIT|2DMG|1VULN|1MLV	1FEWX|237LIT|4MLV|5aDMG|6DUST|8VULN|9RCR
15	31225 22151	   	267.69	DCR|2LIT|2VULN|2ASPD|1DMG|1CDMG	18FEWX|2CDMG|38LIT|4aVULN|5DMG|6RCVC|78ASPD|8BPWR|9RCR
16	22413 62611	   	267.60	DCR|3LIT|2VULN|1MLV	19CANTOX|29VULN|3ZMB|4MLV|589LIT|6BELT|7RCR|9BPWR|aLWND
17	22413 62613	   	267.60	DCR|3LIT|2VULN|1MLV	19CANTOX|29VULN|3ZMB|4MLV|589LIT|6BELT|7RCR|9BPWR|aLHND
18	33124 33335	   	267.07	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1FEWX|23LIT|4MLV|5LWND|68VULN|7CDMG|9RCR|aASPD
19	32541 11113	 * 	265.43	DCR|2LIT|2VULN|1MLV|1DMG	18FEWX|2LWND|38LIT|4DMG|59BEXP|6RCR|78VULN|8BPWR|aMLV
20	31225 62153	 * 	265.39	DCR|2LIT|2DMG|1VULN|2ASPD|2CDMG	18FEWX|2aCDMG|38LIT|4VULN|56DMG|78ASPD|8BPWR|9RCR
21	32541 11133	   	265.33	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	18FEWX|2LWND|38LIT|4DMG|5BEXP|6RCR|78VULN|8BPWR|9DUR|aMLV
22	32543 11113	   	265.33	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	18FEWX|2LWND|38LIT|4DMG|5DUR|6RCR|78VULN|8BPWR|9BEXP|aMLV
23	34541 11113	   	265.33	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	18FEWX|2DUR|38LIT|4DMG|59BEXP|6RCR|78VULN|8BPWR|aMLV
24	34541 11133	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG|2DUR	18FEWX|29DUR|38LIT|4DMG|5BEXP|6RCR|78VULN|8BPWR|aMLV
25	22243 83314	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG	1CANTOX|2aVULN|3MBVNT|4MLV|5BEXP|6RCR|79LIT|8DMG
26	22248 83314	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG	1CANTOX|2aVULN|3MBVNT|4MLV|5FEWX|6RCR|79LIT|8DMG
27	22273 83314	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG	1CANTOX|2aVULN|3MBVNT|4FEWX|5MLV|6RCR|79LIT|8DMG
28	62243 83314	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG	1TSLARM|2aVULN|3MBVNT|4MLV|5BEXP|6RCR|79LIT|8DMG
29	62248 83314	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG	1TSLARM|2aVULN|3MBVNT|4MLV|5FEWX|6RCR|79LIT|8DMG
