0	Index      	 *	Score 	Summary	Detail	
1	33314 21614	 * 	342.19	DCR|3LIT|2MLV|3VULN|2ASPD	17ASPD|2RMIN|38aVULN|479LIT|57MLV|6RCR|7BPWR
2	45314 21121	 * 	336.84	DCR|2LIT|2MLV|2VULN|3DMG	1RMIN|27aDMG|39VULN|47LIT|57MLV|6RCR|7BPWR|8DUST
3	45314 21112	   	336.84	DCR|2LIT|2MLV|2VULN|3DMG	1RMIN|279DMG|3aVULN|47LIT|57MLV|6RCR|7BPWR|8DUST
4	33314 21633	   	316.25	DCR|2LIT|2MLV|3VULN|2ASPD	17ASPD|2RMIN|38aVULN|47LIT|57MLV|6RCR|7BPWR|9CGEN
5	33314 21513	   	316.25	DCR|2LIT|2MLV|3VULN|2ASPD	17ASPD|2RMIN|39aVULN|47LIT|57MLV|6RCR|7BPWR|8CGEN
6	33314 21626	 * 	314.25	DCR|3LIT|3MLV|2VULN|2ASPD	17ASPD|2RMIN|38VULN|47aLIT|579MLV|6RCR|7BPWR
7	45314 21333	   	313.51	DCR|2LIT|2MLV|2VULN|2DMG	1RMIN|27DMG|3aVULN|47LIT|57MLV|6RCR|7BPWR|8RCVC|9CGEN
8	45314 21123	   	313.36	DCR|2LIT|2MLV|2VULN|2DMG	1RMIN|27DMG|39VULN|47LIT|57MLV|6RCR|7BPWR|8DUST|aLWND
9	45314 21221	   	313.36	DCR|2LIT|2MLV|2VULN|2DMG	1RMIN|27DMG|39VULN|47LIT|57MLV|6RCR|7BPWR|8VENICY|aRCVC
10	45314 21222	   	313.36	DCR|2LIT|2MLV|2VULN|2DMG	1aRMIN|27DMG|39VULN|47LIT|57MLV|6RCR|7BPWR|8VENICY
11	45314 21211	   	313.36	DCR|2LIT|2MLV|2VULN|2DMG	1RMIN|27DMG|3aVULN|47LIT|57MLV|6RCR|7BPWR|8VENICY|9BELT
12	45314 21122	   	313.21	DCR|2LIT|2MLV|2VULN|2DMG	1RMIN|27DMG|39VULN|47LIT|57MLV|6RCR|7BPWR|8DUST|aERES
13	45314 21223	   	313.21	DCR|2LIT|2MLV|2VULN|2DMG	1RMIN|27DMG|39VULN|47LIT|57MLV|6RCR|7BPWR|8VENICY|aLSRICY
14	33314 21635	   	313.13	DCR|2LIT|2MLV|2VULN|2ASPD|1DMG	17ASPD|2RMIN|38VULN|47LIT|57MLV|6RCR|7BPWR|9CGEN|aDMG
15	33314 21515	   	313.13	DCR|2LIT|2MLV|2VULN|2ASPD|1DMG	17ASPD|2RMIN|39VULN|47LIT|57MLV|6RCR|7BPWR|8CGEN|aDMG
16	33314 21661	   	312.98	DCR|2LIT|2MLV|2VULN|2ASPD|1DMG	17ASPD|2RMIN|38VULN|47LIT|57MLV|6RCR|7BPWR|9LEGI|aDMG
