0	Index      	 *	Score 	Summary	Detail	
1	21316 23313	 * 	309.22	DCR|3LIT|2MLV|2VULN|3ASPD|1SELL	19MLV|2SELL|34VULN|569ASPD|789LIT|9BPWR|aRCR
2	16111 64151	 * 	307.59	DCR|2LIT|3MLV|3VULN|1CDMG	1NUKE|27LIT|367MLV|4MBVNT|567VULN|67BPWR|8DUST|9RCR|aCDMG
3	16311 64151	   	307.59	DCR|2LIT|3MLV|3VULN|1CDMG	1NUKE|27LIT|3MBVNT|467VULN|567MLV|67BPWR|8DUST|9RCR|aCDMG
4	16111 64235	   	298.17	DCR|2LIT|3MLV|3VULN|1ASPD	1NUKE|27LIT|367MLV|4MBVNT|567VULN|67BPWR|8TLV|9ASPD|aRCR
5	16311 64235	   	298.17	DCR|2LIT|3MLV|3VULN|1ASPD	1NUKE|27LIT|3MBVNT|467VULN|567MLV|67BPWR|8TLV|9ASPD|aRCR
6	16111 64153	   	297.52	DCR|2LIT|3MLV|3VULN	1NUKE|27LIT|367MLV|4MBVNT|567VULN|67BPWR|8DUST|9RCR|aZMB
7	16311 64153	   	297.52	DCR|2LIT|3MLV|3VULN	1NUKE|27LIT|3MBVNT|467VULN|567MLV|67BPWR|8DUST|9RCR|aZMB
8	52162 34321	 * 	291.83	ACR|3LIT|2MLV|3DMG|1VULN|2DUR	1RCR|258DMG|39DUR|468LIT|78MLV|8BPWR|aVULN
9	43132 51215	 * 	288.40	DCR|2LIT|2FLTARM|1VULN|1MLV|1DMG	127DUST|37FLTARM|4DMG|5MLV|67LIT|7BPWR|8VULN|9BEXP|aRCR
10	36266 21231	 * 	288.01	DCR|2LIT|3MLV|2VULN|2ASPD|2DUR	1aDUR|25VULN|347MLV|6RCR|8aLIT|9aASPD|aBPWR
11	16111 64152	   	287.12	DCR|2LIT|3MLV|3VULN	1NUKE|27LIT|367MLV|4MBVNT|567VULN|67BPWR|8DUST|9RCR|aRPLT
12	16311 64152	   	287.12	DCR|2LIT|3MLV|3VULN	1NUKE|27LIT|3MBVNT|467VULN|567MLV|67BPWR|8DUST|9RCR|aRPLT
13	16141 51112	   	287.10	DCR|2LIT|2MLV|3VULN	1NUKE|26LIT|3aMLV|4DUR|569VULN|6BPWR|7RCR|8VENTOX
14	16111 64154	   	286.97	DCR|2LIT|3MLV|3VULN	1NUKE|27LIT|367MLV|4MBVNT|567VULN|67BPWR|8DUST|9RCR|aLEGI
15	16311 64154	   	286.97	DCR|2LIT|3MLV|3VULN	1NUKE|27LIT|3MBVNT|467VULN|567MLV|67BPWR|8DUST|9RCR|aLEGI
16	16141 51113	 * 	284.57	DCR|2LIT|4VULN|1MLV	1NUKE|26LIT|3MLV|4DUR|569aVULN|6BPWR|7RCR|8VENTOX
17	16161 51321	 * 	282.80	DCR|3LIT|3VULN|1MLV	1NUKE|269LIT|3MLV|4BEXP|56aVULN|6BPWR|7RCR|8LHND
18	16141 51321	   	282.70	DCR|3LIT|3VULN|1MLV	1NUKE|269LIT|3MLV|4DUR|56aVULN|6BPWR|7RCR|8LHND
19	52571 14212	 * 	281.88	ACR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1RCR|2DMG|3MBVNT|46LIT|5MLV|7FLTARM|89VULN|aLWND
20	52571 14214	   	281.88	ACR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1RCR|2DMG|3MBVNT|46LIT|5MLV|7FLTARM|89VULN|aLHND
21	56223 41331	 * 	281.86	ACR|2LIT|2MLV|2VULN|2DMG	1RCR|2RPLT|37LIT|4ERES|57DMG|67MLV|7BPWR|89VULN|aFEWX
22	56223 41332	   	281.86	ACR|2LIT|2MLV|2VULN|2DMG	1RCR|2RPLT|37LIT|4ERES|57DMG|67MLV|7BPWR|89VULN|aCGEN
23	56223 41333	   	281.86	ACR|2LIT|2MLV|2VULN|2DMG	1RCR|2RPLT|37LIT|4ERES|57DMG|67MLV|7BPWR|89VULN|aLHND
24	52571 14211	   	281.78	ACR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1RCR|2DMG|3MBVNT|46LIT|5MLV|7FLTARM|89VULN|aDUR
25	52571 14213	   	281.78	ACR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1RCR|2DMG|3MBVNT|46LIT|5MLV|7FLTARM|89VULN|aERES
26	52571 14221	   	281.78	ACR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1RCR|2DMG|3MBVNT|46LIT|5MLV|7FLTARM|8aVULN|9ERES
27	56223 41233	   	281.71	ACR|2LIT|2MLV|2VULN|2DMG	1RCR|2RPLT|37LIT|4ERES|57DMG|67MLV|7BPWR|8DUST|9aVULN
28	36221 24236	 * 	280.92	DCR|2LIT|2VULN|3ASPD|1MLV	1DUR|2aVULN|3MLV|4ERES|59aASPD|6BEXP|7RCR|8aLIT|aBPWR
29	16111 58121	   	280.90	DCR|3LIT|3VULN|1MLV	1NUKE|29aLIT|3MLV|4MBVNT|59aVULN|6AART|79aSNITOX|8RCR|9aBPWR
30	21356 52122	   	280.17	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD|1SELL	1MLV|2SELL|36VULN|4NUKE|56LIT|6BPWR|7ZMB|8ASPD|9RCR|aDMG
31	25231 24236	   	280.04	DCR|2LIT|2MLV|2VULN|2ASPD	1aMLV|2LEGI|3ERES|4aVULN|59ASPD|6BEXP|7RCR|8aLIT|aBPWR
