0	Index      	 *	Score 	Summary	Detail	
1	31266 21633	 * 	281.66	紫2基础对甲2易伤2攻速2伤害1基地爆炸	17基础对甲2基地爆炸3核49技能57伤害67攻速7序列升级8a易伤
2	31266 21631	   	267.07	紫2基础对甲2攻速2伤害1易伤1基地爆炸	17基础对甲2基地爆炸3核49技能57伤害67攻速7序列升级8易伤a低血量敌人
3	31266 21133	   	267.07	紫2基础对甲2攻速2伤害1易伤1基地爆炸	17基础对甲2基地爆炸3核49技能57伤害67攻速7序列升级8时间a易伤
4	31266 21333	   	266.97	紫2基础对甲2攻速2伤害1易伤1基地爆炸	17基础对甲2基地爆炸3核49技能57伤害67攻速7序列升级8挖尘a易伤
5	31253 34433	 * 	265.74	紫2基础对甲2易伤2攻速2全技能1基地爆炸	19基础对甲2基地爆炸3核49易伤5金币生成6敌人爆炸7a全技能89攻速9序列升级
6	31251 22624	 * 	264.41	紫2基础对甲3攻速2易伤2基地爆炸	19基础对甲26基地爆炸3核49易伤5时间7金币生成89a攻速9序列升级
7	31252 22624	   	264.41	紫2基础对甲3攻速2易伤2基地爆炸	19基础对甲26基地爆炸3核49易伤5敌人爆炸7金币生成89a攻速9序列升级
8	31266 21252	 * 	263.04	紫2基础对甲2攻速2伤害1基础对冰1基地爆炸	17基础对甲2基地爆炸3核4技能57伤害67攻速7序列升级8平台9最后敌人a基础对冰
9	31266 21116	   	262.94	紫2基础对甲2攻速2伤害1基础对冰1基地爆炸	17基础对甲2基地爆炸3核4技能57伤害67攻速7序列升级8时间9等级a基础对冰
10	31266 21316	   	262.84	紫2基础对甲2攻速2伤害1基础对冰1基地爆炸	17基础对甲2基地爆炸3核4技能57伤害67攻速7序列升级8挖尘9等级a基础对冰
11	31253 33624	 * 	261.93	紫3易伤2基础对甲3攻速1基地爆炸	19基础对甲2基地爆炸3核479易伤5金币生成6敌人爆炸89a攻速9序列升级
12	31266 21621	   	259.23	紫2基础对甲2攻速2伤害1易伤1基地爆炸	17基础对甲2基地爆炸3核4技能57伤害67攻速7序列升级8易伤9最后敌人a策反
13	31266 21613	   	259.13	紫2基础对甲2攻速2伤害1易伤1基地爆炸	17基础对甲2基地爆炸3核4技能57伤害67攻速7序列升级8易伤9等级a时间
14	31266 21623	   	259.13	紫2基础对甲2攻速2伤害1易伤1基地爆炸	17基础对甲2基地爆炸3核4技能57伤害67攻速7序列升级8易伤9最后敌人a等级
15	31266 21423	   	259.13	紫2基础对甲2攻速2伤害1易伤1基地爆炸	17基础对甲2基地爆炸3核4技能57伤害67攻速7序列升级8等级9金币生成a易伤
16	31266 21611	   	259.03	紫2基础对甲2攻速2伤害1易伤1基地爆炸	17基础对甲2基地爆炸3核4技能57伤害67攻速7序列升级8易伤9等级a双倍物品
17	31266 21612	   	259.03	紫2基础对甲2攻速2伤害1易伤1基地爆炸	17基础对甲2基地爆炸3核4技能57伤害67攻速7序列升级8易伤9等级a磁铁减费
18	31266 21114	 * 	258.53	紫2基础对甲3攻速2伤害1基地爆炸	17基础对甲2基地爆炸3核4技能57伤害67a攻速7序列升级8时间9等级
19	31266 21213	 * 	258.53	紫2基础对甲3伤害2攻速1基地爆炸	17基础对甲2基地爆炸3核4技能57a伤害67攻速7序列升级8平台9掉矿
20	31266 21233	   	258.53	紫2基础对甲3伤害2攻速1基地爆炸	17基础对甲2基地爆炸3核4技能57a伤害67攻速7序列升级8平台9等级
21	31266 21314	   	258.43	紫2基础对甲3攻速2伤害1基地爆炸	17基础对甲2基地爆炸3核4技能57伤害67a攻速7序列升级8挖尘9等级
22	31266 21224	   	258.39	紫2基础对甲3攻速2伤害1基地爆炸1卖塔	17基础对甲2基地爆炸3核4技能57伤害67a攻速7序列升级8平台9卖塔
23	31266 21212	 * 	257.72	紫2基础对甲2攻速2伤害2基地爆炸	17基础对甲2a基地爆炸3核4技能57伤害67攻速7序列升级8平台9掉矿
24	31266 21232	   	257.72	紫2基础对甲2攻速2伤害2基地爆炸	17基础对甲2a基地爆炸3核4技能57伤害67攻速7序列升级8平台9等级
25	31213 44161	 * 	257.17	紫3易伤2基础对甲2基地爆炸1伤害1全技能	19基础对甲29基地爆炸3核4最后敌人5金币生成689易伤7全技能9序列升级a伤害
26	31266 21142	   	256.53	紫2基础对甲2攻速2伤害1基地爆炸1全技能	17基础对甲2基地爆炸3核4技能57伤害67攻速7序列升级8时间9加一a全技能
27	31266 21243	   	256.53	紫2基础对甲2攻速2伤害1基地爆炸1暴击	17基础对甲2基地爆炸3核4技能57伤害67攻速7序列升级8平台9加一a暴击
28	31266 21342	   	256.43	紫2基础对甲2攻速2伤害1基地爆炸1全技能	17基础对甲2基地爆炸3核4技能57伤害67攻速7序列升级8挖尘9加一a全技能
29	31266 21223	   	256.39	紫2基础对甲2攻速2伤害1基地爆炸1全技能1卖塔	17基础对甲2基地爆炸3核4技能57伤害67攻速7序列升级8平台9卖塔a全技能
30	31246 22153	   	255.19	紫2基础对甲2攻速2基地爆炸1伤害1易伤	19基础对甲29基地爆炸3核4金币生成5伤害69攻速7随机矿8技能9序列升级a易伤
31	31236 22153	   	255.09	紫2基础对甲2攻速2基地爆炸1伤害1易伤	19基础对甲29基地爆炸3核4掉矿5伤害69攻速7随机矿8技能9序列升级a易伤
