0	Index      	 *	Score 	Summary	Detail	
1	23352 35123	 * 	290.24	紫橙3易伤2矿等3时间	18核234时间37序列升级57a易伤67矿等9金币生成
2	23352 35133	 * 	288.16	紫橙2易伤2矿等3时间1伤害	18核234时间37序列升级57易伤67矿等9敌人爆炸a伤害
3	23352 35141	 * 	288.06	紫橙2易伤2矿等3时间2暴击	18核234时间37序列升级57易伤67矿等9a暴击
4	23352 35143	   	281.75	紫橙2易伤2矿等3时间1暴击	18核234时间37序列升级57易伤67矿等9暴击a技能
5	23352 35152	   	281.75	紫橙2易伤2矿等3时间1攻速	18核234时间37序列升级57易伤67矿等9赏金塔a攻速
6	23352 35142	   	281.65	紫橙2易伤2矿等3时间1暴击1挖怪	18核234时间37序列升级57易伤67矿等9暴击a挖怪
7	23352 35114	   	277.76	紫橙2易伤2矿等3时间1全技能	18核234时间37序列升级57易伤67矿等9雷电a全技能
8	23352 35134	   	277.76	紫橙2易伤2矿等3时间1平台	18核234时间37序列升级57易伤67矿等9敌人爆炸a平台
9	62362 35123	   	270.37	紫橙3易伤2矿等	124敌人爆炸38核47序列升级57a易伤67矿等9金币生成
10	23624 22251	   	268.40	紫橙2矿等1易伤2平台1攻速1全技能	1a核2时间3全技能47矿等56平台8易伤9攻速
11	23352 35111	   	268.10	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9雷电a赏金邻近
12	23352 35112	   	268.10	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9雷电a赏金塔
13	23352 35113	   	268.10	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9雷电a最后敌人
14	23352 35115	   	268.10	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9雷电a随机矿
15	23352 35124	   	268.10	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9金币生成a最后敌人
16	23352 35126	   	268.10	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9金币生成a雷电
17	23352 35131	   	268.10	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9敌人爆炸a最后敌人
18	23352 35153	   	268.10	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9赏金塔a低血量敌人
19	23352 35121	   	268.00	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9金币生成a多重对愈
20	23352 35122	   	268.00	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9金币生成a挖尘
21	23352 35125	   	268.00	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9金币生成a技能点
22	23352 35132	   	268.00	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9敌人爆炸a挖尘
23	23352 35135	   	268.00	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9敌人爆炸a掉矿
24	23352 35136	   	268.00	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9敌人爆炸a双倍秒伤
25	23352 35151	   	268.00	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9赏金塔a加一
26	54316 31232	 * 	267.11	橙橙2易伤1暴击1全技能	18低血量敌人2全技能35易伤4暴击6随机矿7基础对冰9a核
27	21536 11132	   	261.88	紫橙2易伤2矿等1暴击	1a核2挖青3额外掉落49易伤5暴击6赏金邻近79矿等89最后敌人9序列升级
28	21536 11232	   	261.88	紫橙2易伤2矿等1暴击	1a核2挖青3额外掉落49易伤5暴击6赏金邻近79矿等89低血量敌人9序列升级
29	21536 11532	   	261.88	紫橙2易伤2矿等1暴击	1a核2挖青3额外掉落49易伤5暴击6赏金邻近79矿等89基地爆炸9序列升级
30	25461 31123	   	261.68	紫橙2易伤2矿等1暴击	19核2赏金邻近38易伤4低血量敌人57矿等6导弹对黄a暴击
31	35256 32131	 * 	261.42	橙橙1易伤2攻速1全技能1卖塔	12攻速3易伤4雷电5时间69核7加农对毒8卖塔a全技能
