0	Index      	 *	Score 	Summary	Detail	
1	42233 34312	 * 	284.54	橙橙2易伤1矿等1暴击1平台	1技能点2双倍秒伤3暴击4低血量敌人5平台69易伤7a核8矿等
2	13211 43364	 * 	281.39	橙橙2易伤1伤害1矿等	1赏金邻近2矿等3伤害4a易伤5等级6随机矿79核8寒冰对黄
3	55513 11311	 * 	280.98	橙橙2伤害1易伤1矿等	15伤害2矿等3时间4易伤6技能点7a核8导弹对黄9额外掉落
4	13111 43364	   	274.98	橙橙2易伤1矿等1攻速	1赏金邻近2矿等3攻速4a易伤5等级6随机矿79核8寒冰对黄
5	45513 11311	   	269.94	橙橙1易伤1伤害1矿等2时间	1技能点2矿等36时间4易伤5伤害7a核8导弹对黄9额外掉落
6	51363 36221	   	269.19	橙橙2伤害1矿等2时间1攻速	13伤害2双倍物品3序列升级48时间5矿等6攻速79核a最后敌人
7	51363 36222	   	269.09	橙橙2伤害1矿等2时间1攻速1策反	13伤害2双倍物品3序列升级48时间5矿等6攻速79核a策反
8	51363 36223	   	269.09	橙橙2伤害1矿等2时间1攻速	13伤害2双倍物品3序列升级48时间5矿等6攻速79核a挖尘
9	42233 34212	   	266.91	橙橙2易伤1暴击1平台	1技能点2双倍秒伤3暴击4低血量敌人5平台69易伤7a核8掉矿
10	43333 62622	   	266.74	橙橙1易伤1矿等1暴击1平台	1技能点2敌人爆炸3时间4暴击5平台6a核7易伤8低血量敌人9矿等
11	55151 22111	 * 	266.71	橙2易伤3矿等2伤害2攻速	17伤害23a矿等4立即金币57攻速67易伤7序列升级8核9随机矿
12	43333 66222	   	266.64	橙橙1易伤1矿等1暴击1平台	1技能点2敌人爆炸3时间4暴击5平台6a核7挖青8易伤9矿等
13	44333 61222	   	266.64	橙橙1易伤1矿等1暴击1平台	1技能点2挖尘3时间4暴击5平台6a核7基地爆炸8易伤9矿等
14	42233 34322	 * 	264.65	橙橙1易伤2暴击1矿等1平台	1技能点2双倍秒伤39暴击4低血量敌人5平台6易伤7a核8矿等
15	12242 34342	   	264.61	橙橙1易伤1伤害1暴击1攻速1卖塔	1赏金邻近2掉矿3伤害4攻速5技能点6易伤7a核8暴击9卖塔
16	12211 43563	   	263.76	橙橙2易伤1伤害	1赏金邻近2掉矿3伤害4a易伤5等级6随机矿79核8散射对喷气
17	53333 72722	   	263.49	橙橙1易伤1伤害1矿等	1伤害2敌人爆炸3时间4加一5随机矿6a核7易伤8最后敌人9矿等
18	53333 76222	   	263.49	橙橙1易伤1伤害1矿等	1伤害2敌人爆炸3时间4加一5随机矿6a核7最后敌人8易伤9矿等
19	53333 78222	   	263.49	橙橙1易伤1伤害1矿等	1伤害2敌人爆炸3时间4加一5随机矿6a核7低血量敌人8易伤9矿等
20	56162 22311	   	263.49	橙橙1易伤1伤害1矿等	1伤害2随机矿3矿等4时间5易伤69核7基地爆炸8爆破对壮a赏金邻近
21	56162 22312	   	263.49	橙橙1易伤1伤害1矿等	1伤害2随机矿3矿等4时间5易伤69核7基地爆炸8爆破对壮a雷电
22	56162 22313	   	263.49	橙橙1易伤1伤害1矿等	1伤害2随机矿3矿等4时间5易伤69核7基地爆炸8爆破对壮a敌人爆炸
23	45232 62311	   	263.39	橙橙1易伤1伤害1矿等	1技能点2矿等3多重对愈4伤害5时间6低血量敌人7易伤89核a赏金邻近
24	45232 62312	   	263.39	橙橙1易伤1伤害1矿等	1技能点2矿等3多重对愈4伤害5时间6低血量敌人7易伤89核a雷电
25	45232 62313	   	263.39	橙橙1易伤1伤害1矿等	1技能点2矿等3多重对愈4伤害5时间6低血量敌人7易伤89核a敌人爆炸
26	45513 22311	   	263.39	橙橙1易伤1伤害1矿等	1技能点2矿等3时间4易伤5伤害69核7基地爆炸8多重对甲a赏金邻近
27	45513 22312	   	263.39	橙橙1易伤1伤害1矿等	1技能点2矿等3时间4易伤5伤害69核7基地爆炸8多重对甲a雷电
28	45513 22313	   	263.39	橙橙1易伤1伤害1矿等	1技能点2矿等3时间4易伤5伤害69核7基地爆炸8多重对甲a敌人爆炸
29	55151 22112	   	262.30	橙2易伤2伤害2矿等2攻速1全技能	17伤害23矿等4立即金币57攻速67易伤7序列升级8核9随机矿a全技能
30	55151 22132	   	260.85	橙2易伤2伤害2矿等2攻速	17伤害23矿等4立即金币57攻速67易伤7序列升级8核9双倍秒伤a时间
31	53333 72342	 * 	257.52	橙橙1易伤3时间1伤害	1伤害2敌人爆炸389时间4加一5随机矿6a核7易伤
32	12111 43563	   	257.35	橙橙2易伤1攻速	1赏金邻近2掉矿3攻速4a易伤5等级6随机矿79核8散射对喷气
33	23632 21346	   	257.08	橙橙1易伤1矿等1攻速	1狙击对毒2最后敌人3敌人爆炸4攻速5时间6a核7易伤8矿等9额外掉落
34	55321 41133	 * 	256.36	橙2易伤3伤害3矿等	13a伤害234矿等3a序列升级56a金币生成7核8a易伤9随机矿
35	55123 11133	   	256.06	橙2易伤3伤害3矿等	15a伤害234矿等6a技能点7核8a易伤9随机矿a序列升级
36	13211 43361	   	255.19	橙橙1易伤1伤害1矿等	1赏金邻近2矿等3伤害4易伤5等级6a随机矿79核8寒冰对黄
37	13211 43362	   	255.19	橙橙1易伤1伤害1矿等	1赏金邻近2矿等3伤害4易伤5等级6随机矿79核8寒冰对黄a雷电
38	13211 43366	   	255.19	橙橙1易伤1伤害1矿等	1赏金邻近2矿等3伤害4易伤5a等级6随机矿79核8寒冰对黄
39	13211 43561	   	255.19	橙橙1易伤1伤害1矿等	1赏金邻近2矿等3伤害4易伤5等级6a随机矿79核8散射对喷气
40	13211 43562	   	255.19	橙橙1易伤1伤害1矿等	1赏金邻近2矿等3伤害4易伤5等级6随机矿79核8散射对喷气a雷电
41	11444 14162	   	255.14	橙橙2伤害1易伤	1赏金邻近2基地爆炸3加一47伤害5金币生成6双倍秒伤8易伤9a核
42	45221 43311	   	255.09	橙橙1易伤1伤害1矿等	1技能点2矿等3多重对愈4易伤5最后敌人6伤害7低血量敌人89核a赏金邻近
43	45221 43312	   	255.09	橙橙1易伤1伤害1矿等	1技能点2矿等3多重对愈4易伤5最后敌人6伤害7低血量敌人89核a雷电
44	45221 43313	   	255.09	橙橙1易伤1伤害1矿等	1技能点2矿等3多重对愈4易伤5最后敌人6伤害7低血量敌人89核a敌人爆炸
45	45231 62311	   	255.09	橙橙1易伤1伤害1矿等	1技能点2矿等3多重对愈4伤害5最后敌人6低血量敌人7易伤89核a赏金邻近
46	45231 62312	   	255.09	橙橙1易伤1伤害1矿等	1技能点2矿等3多重对愈4伤害5最后敌人6低血量敌人7易伤89核a雷电
47	45231 62313	   	255.09	橙橙1易伤1伤害1矿等	1技能点2矿等3多重对愈4伤害5最后敌人6低血量敌人7易伤89核a敌人爆炸
48	13211 43363	   	255.09	橙橙1易伤1伤害1矿等	1赏金邻近2矿等3伤害4易伤5等级6随机矿79核8寒冰对黄a掉矿
49	13211 43365	   	255.09	橙橙1易伤1伤害1矿等	1赏金邻近2矿等3伤害4易伤5等级6随机矿79核8寒冰对黄a双倍秒伤
