0	Index      	 *	Score 	Summary	Detail	
1	26212 31335	 * 	218.66	ACR|3ASPD|1BASARM|1DMG|1VULN	16AEFBLL|2AAC|346ASPD|5RCR|6BPWR|7DMG|8TLV|9BASARM|aVULN
2	63263 51111	 * 	215.44	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1AART|2LIT|36DMG|4RCR|56AEMAG|6BPWR|7VULN|8BEXP|9LHND|aBASARM
3	63263 51121	   	215.44	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1AART|2LIT|36DMG|4RCR|56AEMAG|6BPWR|7VULN|8BEXP|9LWND|aBASARM
4	33411 36342	 * 	214.80	ACR|3VULN|3ASPD|3BEXP	149ERES|26aVULN|379ASPD|5RCR|89aBEXP|9aBPWR
5	34431 33421	 * 	206.70	ACR|1BASARM|2BEXP|1VULN|1ASPD|1CDMG	1ERES|24BEXP|3ASPD|5RCR|6VULN|7RCVC|8CDMG|9LWND|aBASARM
6	36631 33421	   	206.70	ACR|1BASARM|2BEXP|1VULN|1ASPD|1CDMG	1ERES|2ASPD|34BEXP|5RCR|6VULN|7RCVC|8CDMG|9LWND|aBASARM
7	34431 33411	   	206.60	ACR|1BASARM|2BEXP|1VULN|1ASPD|1CDMG	1ERES|24BEXP|3ASPD|5RCR|6VULN|7RCVC|8CDMG|9LEGI|aBASARM
8	36631 33411	   	206.60	ACR|1BASARM|2BEXP|1VULN|1ASPD|1CDMG	1ERES|2ASPD|34BEXP|5RCR|6VULN|7RCVC|8CDMG|9LEGI|aBASARM
9	53562 11131	 * 	204.16	ACR|2VULN|2ASPD|1DMG|1BEXP|1AART	1LIT|2aASPD|3AART|4RCR|5AME|6DMG|7aVULN|8BEXP|9aCGEN|aBPWR
10	26212 31333	   	202.41	ACR|3ASPD|1BASARM|1DMG	16AEFBLL|2AAC|346ASPD|5RCR|6BPWR|7DMG|8TLV|9BASARM|aRPLT
11	26212 31331	   	202.31	ACR|3ASPD|1BASARM|1DMG	16AEFBLL|2AAC|346ASPD|5RCR|6BPWR|7DMG|8TLV|9BASARM|aDLOT
12	26212 31332	   	202.31	ACR|3ASPD|1BASARM|1DMG	16AEFBLL|2AAC|346ASPD|5RCR|6BPWR|7DMG|8TLV|9BASARM|aAME
13	26212 31334	   	202.31	ACR|3ASPD|1BASARM|1DMG	16AEFBLL|2AAC|346ASPD|5RCR|6BPWR|7DMG|8aTLV|9BASARM
14	26212 31336	   	202.31	ACR|3ASPD|1BASARM|1DMG	16AEFBLL|2AAC|346ASPD|5RCR|6BPWR|7DMG|8TLV|9BASARM|aDUST
15	62387 11432	 * 	200.72	ACR|2DMG|2BEXP|1ASPD|2CDMG|1AART	1AART|2aDMG|3MBVNT|4ASPD|5RCR|6aCDMG|7NUKE|8BELT|9aBEXP|aBPWR
16	63264 12233	 * 	199.65	ACR|3DMG|2VULN|1BEXP|1AART	1AART|2LIT|367DMG|4RCR|5RMIN|8BEXP|9aVULN
17	33411 61131	   	198.46	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AAC	14ERES|2VULN|3ASPD|5RCR|6ZMB|7CDMG|8BEXP|9AAC|aBASARM
18	34431 31131	   	198.19	ACR|1BASARM|2BEXP|1VULN|1ASPD|1AAC|1SELL	1ERES|24BEXP|3ASPD|5RCR|6VULN|7SELL|8ZMB|9AAC|aBASARM
19	36631 31131	   	198.19	ACR|1BASARM|2BEXP|1VULN|1ASPD|1AAC|1SELL	1ERES|2ASPD|34BEXP|5RCR|6VULN|7SELL|8ZMB|9AAC|aBASARM
20	62387 12343	   	198.17	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART|1CDMG	1AART|2DMG|3MBVNT|4aASPD|5RCR|6CDMG|7BEXP|8AAC|9VULN
21	62387 12131	 * 	197.02	ACR|2DMG|2AART|1ASPD|2CDMG|1BEXP	19AART|2aDMG|3MBVNT|4ASPD|5RCR|68CDMG|7BEXP
22	63262 34321	   	196.56	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1AART|2LIT|3DMG|4RCR|5AME|6LHND|7BEXP|8CGEN|9VULN|aBASARM
23	53562 23111	   	196.46	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1LIT|2ASPD|3AART|4RCR|5AME|6VULN|7TLV|8BEXP|9LHND|aBASARM
24	53562 23121	   	196.46	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1LIT|2ASPD|3AART|4RCR|5AME|6VULN|7TLV|8BEXP|9LWND|aBASARM
25	62662 33121	   	196.46	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1AART|2DMG|3LIT|4RCR|5AME|6LHND|7TLV|8BEXP|9VULN|aBASARM
26	63262 33121	   	196.46	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1AART|2LIT|3DMG|4RCR|5AME|6LHND|7TLV|8BEXP|9VULN|aBASARM
27	63263 11521	 * 	196.42	ACR|2VULN|2DMG|2BEXP|1AART	1AART|2LIT|38DMG|4RCR|5AEMAG|6aBEXP|79VULN
28	62337 23384	 * 	196.20	ACR|3DMG|1BASARM|1AART	1AART|28aDMG|3MBVNT|4CGEN|5RCR|68DUST|78LWND|8BPWR|9BASARM
29	62317 23384	   	196.10	ACR|3DMG|1BASARM|1AART	1AART|28aDMG|3MBVNT|4ERES|5RCR|68DUST|78LWND|8BPWR|9BASARM
30	63262 21263	 * 	192.68	ACR|2VULN|2DMG|2CDMG|1AART	1AART|2LIT|3aDMG|4RCR|5AME|6LWND|7aCDMG|8ZMB|9aVULN|aBPWR
31	63262 31263	   	192.68	ACR|2VULN|2DMG|2CDMG|1AART	1AART|2LIT|3aDMG|4RCR|5AME|6LHND|7aCDMG|8ZMB|9aVULN|aBPWR
32	63263 11124	   	192.49	ACR|2VULN|2BEXP|1DMG|1AART|1CDMG	1AART|2LIT|3DMG|4RCR|5AEMAG|68BEXP|79VULN|aCDMG
33	34411 33421	   	191.76	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	14ERES|2BEXP|3ASPD|5RCR|6VULN|7RCVC|8CDMG|9LWND|aBASARM
34	36611 33421	   	191.76	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	14ERES|2ASPD|3BEXP|5RCR|6VULN|7RCVC|8CDMG|9LWND|aBASARM
35	34411 33411	   	191.66	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	14ERES|2BEXP|3ASPD|5RCR|6VULN|7RCVC|8CDMG|9LEGI|aBASARM
36	36611 33411	   	191.66	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	14ERES|2ASPD|3BEXP|5RCR|6VULN|7RCVC|8CDMG|9LEGI|aBASARM
37	62317 47141	   	191.36	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1AART|2DMG|3MBVNT|4ERES|5RCR|6TLV|7VULN|8LIT|9BEXP|aBASARM
38	33411 36341	   	191.08	ACR|2VULN|3ASPD|2BEXP	149ERES|26VULN|379ASPD|5RCR|89BEXP|9BPWR|aLHND
39	33411 36343	   	191.08	ACR|2VULN|3ASPD|2BEXP	149ERES|26VULN|379ASPD|5RCR|89BEXP|9BPWR|aCGEN
40	62412 32213	 * 	190.99	DCR|1BASARM|2VULN|1DMG|1BEXP|1CDMG|1AART	1AART|2DMG|3BEXP|4ERES|5BASARM|6MDPS|7CDMG|89VULN|aRCR
41	63266 11121	 * 	190.31	ACR|2VULN|3BEXP|1DMG|1AART	1AART|2LIT|3DMG|4RCR|5RCVC|68aBEXP|79VULN
42	26221 61421	   	190.16	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1AEFBLL|2AAC|3ASPD|4BEXP|5RCR|6ZMB|7CDMG|8VULN|9MLV|aBASARM
43	31421 22526	   	190.03	ACR|1BASARM|2BEXP|1VULN|1ASPD	1ERES|24DUR|3ASPD|5RCR|6MSLREG|79BEXP|8VULN|aBASARM
44	31411 22526	   	189.93	ACR|1BASARM|2BEXP|1VULN|1ASPD	14ERES|2DUR|3ASPD|5RCR|6MSLREG|79BEXP|8VULN|aBASARM
45	34431 31211	   	189.88	ACR|1BASARM|2BEXP|1VULN|1ASPD|1SELL	1ERES|24BEXP|3ASPD|5RCR|6VULN|7SELL|8LHND|9DMSP|aBASARM
46	34431 31311	   	189.88	ACR|1BASARM|2BEXP|1VULN|1ASPD|1SELL	1ERES|24BEXP|3ASPD|5RCR|6VULN|7SELL|8LWND|9DMSP|aBASARM
