0	Index      	 *	Score 	Summary	Detail	
1	21322 31553	 * 	212.18	ACR|3BEXP|2DMG|1ASPD|2CDMG|1AART	1aCDMG|2RPLT|3ASPD|47aBEXP|5RCR|6RCVC|8AART|9aDMG|aBPWR
2	16134 16121	 * 	196.57	ACR|1BASARM|1DMG|1BASICY|1AART|1CDMG	1RPLT|2AME|3CGEN|4AART|5RCR|6TLV|7DMG|8BASARM|9CDMG|aBASICY
3	62613 36122	 * 	195.36	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG	1DUR|2CGEN|3RPLT|4RCR|5AART|6ASPD|7BEXP|8LIT|9CDMG|aBASARM
4	16613 33122	   	195.26	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1RPLT|2AME|3DUR|4RCR|5AART|6ASPD|7BEXP|8LIT|9CDMG|aBASARM
5	21342 51326	 * 	194.39	ACR|3BEXP|2VULN|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3ASPD|46VULN|5RCR|79aBEXP|8DMG
6	21122 31256	 * 	194.29	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1CDMG|2RPLT|3LWND|4aASPD|5RCR|6RCVC|7BEXP|8DMSP|9BASARM
7	21122 31556	   	194.29	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1CDMG|2RPLT|38LWND|4aASPD|5RCR|6RCVC|7BEXP|9BASARM
8	21222 31256	   	194.29	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1CDMG|2RPLT|3LHND|4aASPD|5RCR|6RCVC|7BEXP|8DMSP|9BASARM
9	21312 31256	   	194.29	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1CDMG|2RPLT|3aASPD|4LHND|5RCR|6RCVC|7BEXP|8DMSP|9BASARM
10	21322 36256	   	194.29	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1CDMG|2RPLT|3aASPD|4BEXP|5RCR|6RCVC|7LHND|8DMSP|9BASARM
11	21322 61233	 * 	194.12	ACR|3ASPD|3BEXP|2CDMG	19CDMG|2RPLT|39aASPD|479BEXP|5RCR|6BELT|8RMIN|9BPWR
12	21622 31553	   	192.12	ACR|3BEXP|2DMG|2CDMG|1AART	1aCDMG|2RPLT|3ZMB|47aBEXP|5RCR|6RCVC|8AART|9aDMG|aBPWR
13	21122 31253	 * 	191.54	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1CDMG|2RPLT|3LWND|4ASPD|5RCR|6RCVC|7aBEXP|8DMSP|9BASARM
14	21122 31553	   	191.54	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1CDMG|2RPLT|38LWND|4ASPD|5RCR|6RCVC|7aBEXP|9BASARM
15	21222 31253	   	191.54	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1CDMG|2RPLT|3LHND|4ASPD|5RCR|6RCVC|7aBEXP|8DMSP|9BASARM
16	21312 31253	   	191.54	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1CDMG|2RPLT|3ASPD|4LHND|5RCR|6RCVC|7aBEXP|8DMSP|9BASARM
17	21322 36253	   	191.54	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1CDMG|2RPLT|3ASPD|4aBEXP|5RCR|6RCVC|7LHND|8DMSP|9BASARM
18	21322 61625	   	191.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1CDMG|2RPLT|3ASPD|47BEXP|5RCR|6BELT|8FEWX|9MDPS|aBASARM
19	21342 51125	   	191.44	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG|1AAC	1CDMG|2RPLT|3ASPD|46VULN|5RCR|79BEXP|8AAC|aDMG
20	21322 55225	   	191.44	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG|1AAC	1CDMG|2RPLT|3ASPD|49BEXP|5RCR|68VULN|7AAC|aDMG
21	21322 61125	   	191.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1CDMG|2RPLT|3ASPD|47BEXP|5RCR|6BELT|8LEGI|9MDPS|aBASARM
22	21322 14342	   	190.26	ACR|1BASARM|1ASPD|1CDMG|1BEXP|1AART	1CDMG|2RPLT|3ASPD|4BEXP|5RCR|6DUR|7LIT|8AART|9ERES|aBASARM
23	21322 41342	   	190.26	ACR|1BASARM|1ASPD|1CDMG|1BEXP|1AART	1CDMG|2RPLT|3ASPD|4BEXP|5RCR|6LIT|7DUR|8AART|9ERES|aBASARM
24	31324 31626	 * 	190.20	DCR|3DMG|1BASARM|2ASPD	1TLV|29ASPD|3LIT|457DMG|6DUR|8BASARM|aRCR
25	21322 25322	 * 	189.67	ACR|2ASPD|2DMG|2CDMG|1BEXP|1SELL	1aCDMG|2RPLT|3aASPD|4BEXP|5RCR|6SELL|7LHND|8aDMG|9MDPS|aBPWR
26	21322 26322	 * 	189.57	ACR|2ASPD|2DMG|2CDMG|1BEXP|1SELL	1aCDMG|2RPLT|3aASPD|4BEXP|5RCR|6SELL|7DUST|8aDMG|9MDPS|aBPWR
27	21342 51322	 * 	189.44	ACR|2BEXP|2CDMG|1DMG|1ASPD|2VULN	1aCDMG|2RPLT|3ASPD|46VULN|5RCR|79BEXP|8DMG
28	21622 61532	 * 	189.26	ACR|1BASARM|3BEXP|2CDMG	19CDMG|2RPLT|3ZMB|479BEXP|5RCR|6BELT|89CGEN|9BPWR|aBASARM
29	21322 31422	 * 	189.06	ACR|2ASPD|2BEXP|1DMG|1CDMG|1AAC	1CDMG|2RPLT|39ASPD|47BEXP|5RCR|6RCVC|8AAC|aDMG
30	21322 31556	   	188.08	ACR|3BEXP|1ASPD|1DMG|1CDMG|1AART	1CDMG|2RPLT|3ASPD|47aBEXP|5RCR|6RCVC|8AART|9DMG
31	21342 31244	 * 	187.17	ACR|2ASPD|2BEXP|2CDMG|2VULN	19CDMG|2RPLT|3aASPD|49VULN|5RCR|6RCVC|79BEXP|8DMSP|9BPWR
32	21322 31243	 * 	186.88	ACR|3BEXP|3CDMG|1ASPD|2VULN	19aCDMG|2RPLT|3ASPD|479BEXP|5RCR|6RCVC|89VULN|9BPWR
33	21342 52121	 * 	186.26	ACR|3ASPD|3VULN|2CDMG	1aCDMG|2RPLT|389ASPD|46aVULN|5RCR|7aMLV|aBPWR
34	21342 55121	   	186.06	ACR|3ASPD|3VULN|2CDMG	1aCDMG|2RPLT|389ASPD|46aVULN|5RCR|7aERES|aBPWR
35	21342 56121	   	186.06	ACR|3ASPD|3VULN|2CDMG	1aCDMG|2RPLT|389ASPD|46aVULN|5RCR|7aAME|aBPWR
36	21322 23635	 * 	185.63	ACR|3AART|1ASPD|1DMG|1BEXP|1CDMG|1SELL	1CDMG|2RPLT|3ASPD|4BEXP|5RCR|6SELL|789AART|aDMG
37	21322 61232	   	185.41	ACR|3BEXP|2ASPD|2CDMG|1VULN	19CDMG|2RPLT|39ASPD|479BEXP|5RCR|6BELT|8RMIN|9BPWR|aVULN
