0	Index      	 *	Score 	Summary	Detail	
1	54332 35333	 * 	224.43	ACR|2BASARM|3DMG|1AART|1CDMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7DMSP|8BPWR|9CDMG|aAART
2	45143 11221	 * 	217.71	ACR|1BASARM|3BEXP|1DMG|1CDMG	1LWND|2RCR|3DUST|47aBEXP|5FEWX|6CDMG|8BASARM|9DMG
3	52366 11223	 * 	213.83	ACR|1BASARM|2DMG|2BEXP|1CDMG	13MDPS|2DUST|4RCR|57BEXP|6CDMG|8BASARM|9aDMG
4	35221 32124	 * 	211.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1CGEN|28BEXP|3FEWX|4ASPD|5RCR|6DMG|7SNITOX|9AART|aBASARM
5	54332 31613	 * 	211.38	ACR|1BASARM|2ASPD|2DMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7aASPD|8VULN|9ZMB
6	54332 35311	   	210.78	ACR|2BASARM|3DMG|1BEXP	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7DMSP|8BPWR|9LWND|aBEXP
7	54332 35332	   	210.78	ACR|2BASARM|3DMG|1CDMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7DMSP|8BPWR|9CDMG|aZMB
8	54332 32821	   	210.68	ACR|2BASARM|3DMG|1BEXP	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9DMSP|aBEXP
9	54332 32831	   	210.68	ACR|2BASARM|3DMG|1BEXP	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9RCVC|aBEXP
10	54332 35331	   	210.68	ACR|2BASARM|3DMG|1CDMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7DMSP|8BPWR|9CDMG|aAEMAG
11	54332 32812	   	210.58	ACR|2BASARM|3DMG|1BEXP	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9LEGI|aBEXP
12	54332 32842	   	210.58	ACR|2BASARM|3DMG|1BEXP	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9DUST|aBEXP
13	54332 36233	   	210.54	ACR|2BASARM|3DMG|1AART|1SELL	1MDPS|2DLOT|369DMG|49BASARM|5RCR|7SELL|8DMSP|9BPWR|aAART
14	54332 32141	   	208.71	ACR|1BASARM|2DMG|1ASPD|1CDMG|1AAC	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7MBVNT|8AAC|9CDMG|aASPD
15	14121 34221	 * 	207.47	ACR|3DMG|1BASARM|1ASPD|1SELL	1SELL|2DUR|39aDMG|4RCR|5FEWX|6ASPD|7LWND|8BASARM
16	54332 31612	   	207.45	ACR|1BASARM|2DMG|1ASPD|1CDMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8VULN|9ZMB|aCDMG
17	45143 11223	   	206.44	ACR|1BASARM|2BEXP|1DMG|1CDMG	1LWND|2RCR|3DUST|47BEXP|5FEWX|6CDMG|8BASARM|9DMG|aLHND
18	45143 11222	   	206.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1LWND|2RCR|3DUST|47BEXP|5FEWX|6CDMG|8BASARM|9DMG|aERES
19	45321 15221	   	206.33	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	17LWND|2RCR|3AAC|4ASPD|5MDPS|6CDMG|8BASARM|9DMG|aFEWX
20	45321 15233	   	206.33	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	17LWND|2RCR|3AAC|4ASPD|5MDPS|6CDMG|8BASARM|9ZMB|aDMG
21	45321 15213	   	206.23	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	17LWND|2RCR|3AAC|4ASPD|5MDPS|6CDMG|8BASARM|9TLV|aDMG
22	45321 15223	   	206.23	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	17LWND|2RCR|3AAC|4ASPD|5MDPS|6CDMG|8BASARM|9DMG|aNUKE
23	45321 16221	   	206.23	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1LWND|2RCR|3AAC|4ASPD|5MDPS|6CDMG|7AEMAG|8BASARM|9DMG|aFEWX
24	45321 16233	   	206.23	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1LWND|2RCR|3AAC|4ASPD|5MDPS|6CDMG|7AEMAG|8BASARM|9ZMB|aDMG
25	45321 16213	   	206.13	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1LWND|2RCR|3AAC|4ASPD|5MDPS|6CDMG|7AEMAG|8BASARM|9TLV|aDMG
26	45321 16223	   	206.13	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1LWND|2RCR|3AAC|4ASPD|5MDPS|6CDMG|7AEMAG|8BASARM|9DMG|aNUKE
27	14121 34226	   	205.46	ACR|1BASARM|2DMG|1ASPD|1BEXP|1SELL	1SELL|2DUR|39DMG|4RCR|5FEWX|6ASPD|7LWND|8BASARM|aBEXP
28	54332 31215	   	204.45	ACR|1BASARM|2ASPD|2DMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7aASPD|8ZMB|9CGEN
