0	Index      	 *	Score 	Summary	Detail	
1	66222 36133	 * 	215.71	ACR|1BASARM|2DMG|1ASPD|1BEXP	1LIT|2RCR|36DMG|4RCVC|5BELT|7ASPD|8MLV|9BEXP|aBASARM
2	66212 23531	 * 	213.96	ACR|3BEXP|2ASPD|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|57aBEXP|6VULN|89ASPD
3	66222 35123	 * 	210.48	ACR|1BASARM|2DMG|2BEXP	1LIT|2RCR|36DMG|4RCVC|5BELT|79BEXP|8DUR|aBASARM
4	26154 12231	 * 	208.08	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	1ZMB|2ASPD|3FEWX|4RCR|5LHND|68VULN|7BASARM|9BEXP|aDMG
5	66212 23361	 * 	207.78	ACR|2DMG|3VULN|2BEXP|1CDMG	19LIT|2RCR|39DMG|4CDMG|57BEXP|689VULN|9BPWR|aCGEN
6	66212 23363	   	207.78	ACR|2DMG|3VULN|2BEXP|1CDMG	19LIT|2RCR|39DMG|4CDMG|57BEXP|689VULN|9BPWR|aFEWX
7	66212 23362	   	207.68	ACR|2DMG|3VULN|2BEXP|1CDMG	19LIT|2RCR|39DMG|4CDMG|57BEXP|689VULN|9BPWR|aDUST
8	66212 13531	   	207.02	ACR|3BEXP|2ASPD|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|57aBEXP|6LWND|89ASPD
9	26252 53121	 * 	205.51	ACR|1BASARM|2ASPD|1BASICY|1CDMG	1ZMB|25ASPD|35DUST|4RCR|5BPWR|6BASICY|7CDMG|8LWND|9LSRREG|aBASARM
10	66212 53211	 * 	205.44	ACR|2ASPD|2DMG|1BEXP|1CDMG	1LIT|2RCR|39DMG|4CDMG|5BEXP|6ZMB|7VULN|8aASPD
11	66212 13532	   	202.69	ACR|2ASPD|2BEXP|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|57BEXP|6LWND|89ASPD|aVULN
12	66212 13311	 * 	202.69	ACR|2DMG|2BEXP|1ASPD|1CDMG	1LIT|2RCR|39DMG|4CDMG|57BEXP|6LWND|8VULN|aASPD
13	66212 23111	   	202.69	ACR|2DMG|2BEXP|1ASPD|1CDMG	1LIT|2RCR|39DMG|4CDMG|57BEXP|6VULN|8DUR|aASPD
