0	Index      	 *	Score 	Summary	Detail	
1	32642 16113	 * 	215.44	ACR|1BASARM|2DMG|2AAC|1BEXP|1AART	1AART|2RCVC|3RPLT|4RCR|56AAC|7BEXP|89DMG|aBASARM
2	31343 34125	 * 	204.36	ACR|2ASPD|2DMG|3CDMG|1AART|1AAC	1AART|269CDMG|38ASPD|49MLV|5RCR|79DMG|9BPWR|aAAC
3	32261 26351	 * 	200.83	2BASARM|3DMG|2ASPD|3VULN|1AART	1AART|26RCVC|37aDMG|457VULN|7aBPWR|8aBASARM|9aASPD
4	21221 12636	 * 	200.06	ACR|1BASARM|1ASPD|1DMG|1CDMG	14DUR|2CDMG|3RCR|5DMG|6FEWX|7VULN|8CGEN|9BASARM|aASPD
5	31343 33425	 * 	199.23	ACR|2DMG|3CDMG|2AART|1ASPD|1AAC	17AART|269CDMG|3ASPD|49MLV|5RCR|89DMG|9BPWR|aAAC
6	32643 21113	   	199.05	ACR|1BASARM|2DMG|1CDMG|1AART|1SELL	1AART|2RCVC|3RPLT|4RCR|5SELL|6CDMG|7DUR|89DMG|aBASARM
7	32643 25113	   	199.05	ACR|1BASARM|2DMG|1CDMG|1AART|1SELL	1AART|2RCVC|3RPLT|4RCR|5SELL|6CDMG|7FEWX|89DMG|aBASARM
8	31231 22554	 * 	198.95	DCR|1BASARM|2ASPD|2BEXP|2CDMG|1AART|1SELL	1AART|27CDMG|36BEXP|46ASPD|5RCVC|6BPWR|8BASARM|9SELL|aRCR
9	32643 23113	   	198.95	ACR|1BASARM|2DMG|1CDMG|1AART|1SELL	1AART|2RCVC|3RPLT|4RCR|5SELL|6CDMG|7DUST|89DMG|aBASARM
10	21221 46622	 * 	197.17	ACR|2ASPD|2BEXP|1DMG|2CDMG	148DUR|2aCDMG|3RCR|5DMG|6aBEXP|7aASPD|9DLOT|aBPWR
11	31343 34121	   	196.06	ACR|2ASPD|2DMG|3CDMG|1AART	1AART|269CDMG|38ASPD|49MLV|5RCR|79DMG|9BPWR|aDUR
12	31343 34122	   	196.06	ACR|2ASPD|2DMG|3CDMG|1AART	1AART|269CDMG|38ASPD|49MLV|5RCR|79DMG|9BPWR|aLWND
13	31343 34126	   	196.06	ACR|2ASPD|2DMG|3CDMG|1AART	1AART|269CDMG|38ASPD|49MLV|5RCR|79DMG|9BPWR|aZMB
14	31343 34123	   	195.81	ACR|2ASPD|2DMG|3CDMG|1AART|1SELL	1AART|269CDMG|38ASPD|49MLV|5RCR|79DMG|9BPWR|aSELL
