0	Index      	 *	Score 	Summary	Detail	
1	15122 55313	 * 	244.48	橙1散射对甲2易伤1双倍秒伤1全技能1时间	19立即金币2散射对甲35易伤4全技能6随机矿7时间8核a双倍秒伤
2	15122 55323	 * 	244.48	橙3易伤1散射对甲1双倍秒伤1全技能1时间	1立即金币2散射对甲359易伤4全技能6随机矿7时间8核a双倍秒伤
3	15122 55331	   	244.48	橙3易伤1散射对甲1双倍秒伤1全技能1时间	1立即金币2散射对甲35a易伤4全技能6随机矿7时间8核9双倍秒伤
4	15122 55332	   	244.48	橙1散射对甲2易伤1双倍秒伤1全技能1时间	1立即金币2散射对甲35易伤4全技能6随机矿7时间8核9双倍秒伤a基地爆炸
5	15122 55333	   	244.48	橙1散射对甲2易伤1双倍秒伤1全技能1时间	1立即金币2散射对甲35易伤4全技能6随机矿7时间8核9双倍秒伤a矿等
6	15221 48224	   	240.60	橙1散射对甲1双倍秒伤1易伤1全技能1攻速1时间	1立即金币2散射对甲3低血量敌人4全技能5时间6加一7核8攻速9易伤a双倍秒伤
7	15123 22512	   	235.93	橙1散射对甲1双倍秒伤1易伤1全技能1攻速1策反	1立即金币2散射对甲3易伤4全技能5加农对甲6最后敌人7攻速8策反9核a双倍秒伤
8	15221 48234	 * 	228.98	橙1散射对甲1双倍秒伤2攻速1全技能1时间	1立即金币2散射对甲3低血量敌人4全技能5时间6加一7核89攻速a双倍秒伤
9	15122 34123	 * 	227.79	橙4易伤1散射对甲1双倍秒伤1全技能	1立即金币2散射对甲3569易伤4全技能7双倍秒伤8金币生成a核
10	15122 34623	   	227.79	橙4易伤1散射对甲1双倍秒伤1全技能	1立即金币2散射对甲3569易伤4全技能7双倍秒伤8技能点a核
11	15122 34223	   	227.69	橙4易伤1散射对甲1双倍秒伤1全技能	1立即金币2散射对甲3569易伤4全技能7双倍秒伤8等级a核
12	15433 32334	 * 	226.36	橙2散射对甲1双倍秒伤1易伤1全技能1技能	1立即金币25散射对甲3技能45基地爆炸5序列升级6核7加一8全技能9易伤a双倍秒伤
13	15123 22212	   	225.49	橙1散射对甲1双倍秒伤1易伤1全技能1攻速	1立即金币2散射对甲3易伤4全技能5加农对甲6最后敌人7攻速8核弹9核a双倍秒伤
14	15123 63212	   	225.49	橙1散射对甲1双倍秒伤1易伤1全技能1攻速	1立即金币2散射对甲3易伤4全技能5加农对甲6攻速7基地爆炸8核弹9核a双倍秒伤
15	15123 64212	   	225.49	橙1散射对甲1双倍秒伤1易伤1全技能1攻速	1立即金币2散射对甲3易伤4全技能5加农对甲6攻速7低血量敌人8核弹9核a双倍秒伤
16	15123 66212	   	225.49	橙1散射对甲1双倍秒伤1易伤1全技能1攻速	1立即金币2散射对甲3易伤4全技能5加农对甲6攻速7电球减费8核弹9核a双倍秒伤
17	15122 34333	 * 	217.81	4易伤2双倍秒伤1散射对甲1全技能1策反	1立即金币2散射对甲3569易伤4全技能7a双倍秒伤8策反
18	15123 22215	 * 	216.76	橙2散射对甲2易伤2攻速1全技能	1立即金币2a散射对甲3a易伤4全技能5加农对甲6最后敌人7a攻速8核弹9核a序列升级
19	15122 45333	 * 	216.31	橙1散射对甲2易伤1全技能1伤害1时间1策反	1立即金币2散射对甲35易伤4全技能6时间7基地爆炸8策反9核a伤害
20	15122 35241	 * 	215.76	3易伤1散射对甲1双倍秒伤2伤害1全技能	1立即金币2散射对甲356易伤4全技能7金币生成89伤害a双倍秒伤
21	15432 32334	   	215.24	橙1散射对甲1双倍秒伤1易伤1全技能1技能	1立即金币2散射对甲3技能45基地爆炸6核7加一8全技能9易伤a双倍秒伤
22	15461 32334	   	215.24	橙1散射对甲1双倍秒伤1易伤1全技能1技能	1立即金币2散射对甲3技能4矿等5随机矿6核7加一8全技能9易伤a双倍秒伤
23	15421 32334	   	215.14	橙1散射对甲1双倍秒伤1易伤1全技能1技能	1立即金币2散射对甲3技能4等级5随机矿6核7加一8全技能9易伤a双倍秒伤
24	15122 35211	 * 	215.07	4易伤1散射对甲1双倍秒伤1全技能1伤害	1立即金币2散射对甲3569易伤4全技能7金币生成8伤害a双倍秒伤
25	15122 35431	   	215.07	4易伤1散射对甲1双倍秒伤1全技能1伤害	1立即金币2散射对甲3568易伤4全技能7金币生成9伤害a双倍秒伤
