0	Index      	 *	Score 	Summary	Detail	
1	24122 31822	 * 	268.79	橙橙2易伤1等级2攻速	16攻速2雷电3等级4平台59易伤7加一8a核
2	53324 12151	 * 	264.59	橙2喷火对甲3导弹对毒1易伤2矿等1等级1技能	1技能247导弹对毒34低血量敌人47序列升级57矿等67喷火对甲8易伤9等级a核
3	24124 13322	   	262.18	橙橙2易伤1等级	1攻速2雷电3等级45平台6a核79易伤8加一
4	24122 41822	   	262.08	橙橙2易伤1等级	1攻速2雷电3等级4平台59易伤6烈焰减费7加一8a核
5	24122 31862	   	258.19	橙橙1易伤1等级1矿等2攻速	16攻速2雷电3等级4平台5易伤7加一89核a矿等
6	24122 31864	   	256.24	橙橙1易伤1等级2攻速1暴击	16攻速2雷电3等级4平台5易伤7加一89核a暴击
7	24122 31863	 * 	252.92	橙橙2等级1易伤2攻速	16攻速2雷电3a等级4平台5易伤7加一89核
8	53123 31141	 * 	252.34	橙2易伤2伤害2导弹对毒1等级1技能1全技能	1技能27导弹对毒3赏金邻近47易伤57伤害6双倍秒伤7序列升级8核9全技能a等级
9	53162 31141	   	252.34	橙2易伤2伤害2导弹对毒1等级1技能1全技能	1技能27导弹对毒3赏金邻近47伤害57易伤6双倍秒伤7序列升级8核9全技能a等级
10	24124 13362	   	251.58	橙橙1易伤1等级1矿等	1攻速2雷电3等级45平台69核7易伤8加一a矿等
11	24124 13364	   	249.63	橙橙1易伤1等级1暴击	1攻速2雷电3等级45平台69核7易伤8加一a暴击
12	53162 31153	 * 	248.05	橙3易伤3导弹对毒2伤害1技能	1技能27a导弹对毒3赏金邻近47伤害57a易伤6双倍秒伤7a序列升级8核9a最后敌人
13	21321 61362	   	246.79	橙橙1等级1矿等1暴击1全技能	1攻速2矿等3全技能4等级5雷电6暴击7低血量敌人8a核9掉矿
14	21342 52622	   	246.69	橙橙1等级1矿等1全技能1暴击	1攻速2矿等3全技能4暴击5头目6a核7等级8技能点9挖尘
15	24124 13363	   	246.31	橙橙2等级1易伤	1攻速2雷电3a等级45平台69核7易伤8加一
16	24122 31842	   	242.59	橙橙1易伤1等级2攻速	16攻速29雷电3等级4平台5易伤7加一8a核
17	24122 31861	   	242.59	橙橙1易伤1等级2攻速	16攻速2a雷电3等级4平台5易伤7加一89核
18	24422 31322	   	242.49	橙橙2易伤2攻速	16攻速2雷电3掉矿4平台59易伤7加一8a核
19	24422 31363	   	242.49	橙橙1易伤1等级2攻速	16攻速2雷电3掉矿4平台5易伤7加一89核a等级
20	53123 31153	 * 	241.56	橙2易伤3伤害3导弹对毒1技能	1技能27a导弹对毒3赏金邻近47易伤57a伤害6双倍秒伤7a序列升级8核9a最后敌人
21	51152 43231	 * 	240.34	橙橙2伤害1易伤1技能1卖塔	1技能2随机技能3卖塔4敌人爆炸57伤害6易伤8a核9雷电
22	53123 31142	   	239.78	橙2易伤2伤害2导弹对毒1时间1全技能1技能	1技能27导弹对毒3赏金邻近47易伤57伤害6双倍秒伤7序列升级8核9全技能a时间
23	53162 31142	   	239.78	橙2易伤2伤害2导弹对毒1时间1全技能1技能	1技能27导弹对毒3赏金邻近47伤害57易伤6双倍秒伤7序列升级8核9全技能a时间
