0	Index      	 *	Score 	Summary	Detail	
1	21412 12112	 * 	245.76	紫3伤害2易伤2攻速1全技能1基地爆炸	1立即金币29易伤3基地爆炸4平台5核69攻速7全技能89a伤害9序列升级
2	21412 12113	   	236.41	紫2易伤2攻速2伤害1全技能1基地爆炸1技能	1立即金币29易伤3基地爆炸4平台5核69攻速7全技能89伤害9序列升级a技能
3	32464 11111	 * 	234.95	紫3攻速3伤害2基地爆炸1暴击	17a最后敌人27a伤害39基地爆炸4核5暴击67a攻速7a序列升级8双倍秒伤
4	32623 65131	 * 	232.58	紫1基础对甲2全技能1易伤1伤害1基地爆炸1暴击	1最后敌人2伤害3易伤4暴击5核67全技能8毒液对毒9基础对甲a基地爆炸
5	32664 33131	 * 	231.75	紫2易伤1基础对甲1伤害1全技能1基地爆炸1暴击	1最后敌人2伤害36易伤4核5暴击7全技能8毒液对毒9基础对甲a基地爆炸
6	21412 12114	   	228.10	紫2易伤2攻速2伤害1全技能1基地爆炸	1立即金币29易伤3基地爆炸4平台5核69攻速7全技能89伤害9序列升级a最后敌人
7	21412 12115	   	228.10	紫2易伤2攻速2伤害1全技能1基地爆炸	1立即金币29易伤3基地爆炸4平台5核69攻速7全技能89伤害9序列升级a随机矿
8	21412 12111	   	228.00	紫2易伤2攻速2伤害1全技能1基地爆炸	1立即金币29易伤3基地爆炸4平台5核69攻速7全技能89伤害9序列升级a火球减费
9	21412 12116	   	228.00	紫2易伤2攻速2伤害1全技能1基地爆炸	1立即金币29易伤3基地爆炸4平台5核69攻速7全技能89伤害9序列升级a毒液对黄
10	21412 12133	   	228.00	紫2易伤2攻速2伤害1全技能1基地爆炸	1立即金币2a易伤3基地爆炸4平台5核6a攻速7全技能8a伤害9核弹a序列升级
11	21412 12143	   	228.00	紫2易伤2攻速2伤害1全技能1基地爆炸	1立即金币2a易伤3基地爆炸4平台5核6a攻速7全技能8a伤害9双倍秒伤a序列升级
12	21412 22112	 * 	227.25	紫3伤害2易伤2基地爆炸1全技能1技能	1立即金币29易伤39基地爆炸4平台5核6技能7全技能89a伤害9序列升级
13	32623 33131	   	226.75	紫2易伤1基础对甲1伤害1全技能1基地爆炸1暴击	1最后敌人2伤害36易伤4暴击5核7全技能8毒液对毒9基础对甲a基地爆炸
14	32464 11321	   	226.12	紫2攻速2伤害1易伤1全技能1暴击1基地爆炸	17最后敌人27伤害3基地爆炸4核5暴击67攻速7序列升级8低血量敌人9全技能a易伤
15	32464 13122	   	223.99	紫3伤害1易伤1攻速1全技能1基地爆炸1暴击	1最后敌人28a伤害3基地爆炸4核5暴击6攻速7易伤9全技能
16	21412 13236	 * 	222.61	紫1基础对甲1易伤1攻速1伤害1全技能1基地爆炸	17立即金币2易伤3基地爆炸4平台5核6攻速8伤害9基础对甲a全技能
17	21412 15236	   	220.54	紫1基础对甲1易伤1攻速1伤害1全技能1基地爆炸	1立即金币2易伤3基地爆炸47平台5核6攻速8伤害9基础对甲a全技能
18	32464 11311	   	220.21	紫3攻速3伤害1暴击1基地爆炸	17最后敌人27a伤害3基地爆炸4核5暴击67a攻速7a序列升级8低血量敌人9a时间
19	32464 11121	   	220.11	紫3攻速3伤害1基地爆炸1暴击	17a最后敌人27a伤害3基地爆炸4核5暴击67a攻速7a序列升级8双倍秒伤9双倍矿
20	32464 11322	   	220.01	紫3攻速2伤害1全技能1暴击1基地爆炸	17最后敌人27伤害3基地爆炸4核5暴击67a攻速7序列升级8低血量敌人9全技能
21	32623 14122	   	218.99	紫3伤害1易伤1攻速1全技能1基地爆炸1暴击	1最后敌人28a伤害3易伤4暴击5核6攻速7基地爆炸9全技能
22	21412 42112	   	218.95	紫3伤害2易伤2基地爆炸1全技能	1立即金币29易伤39基地爆炸4平台5核6随机矿7全技能89a伤害9序列升级
23	32623 65133	   	218.93	紫1基础对甲2全技能1易伤1伤害1暴击	1最后敌人2伤害3易伤4暴击5核67全技能8毒液对毒9基础对甲a低血量敌人
24	32623 65132	   	218.83	紫1基础对甲2全技能1易伤1伤害1暴击	1最后敌人2伤害3易伤4暴击5核67全技能8毒液对毒9基础对甲a等级
25	32664 33133	   	218.10	紫2易伤1基础对甲1伤害1全技能1暴击	1最后敌人2伤害36易伤4核5暴击7全技能8毒液对毒9基础对甲a低血量敌人
26	32664 33132	   	218.00	紫2易伤1基础对甲1伤害1全技能1暴击	1最后敌人2伤害36易伤4核5暴击7全技能8毒液对毒9基础对甲a等级
27	21412 13231	 * 	217.60	紫1基础对甲2易伤1攻速1伤害1基地爆炸	17立即金币2a易伤3基地爆炸4平台5核6攻速8伤害9基础对甲
