0	Index      	 *	Score 	Summary	Detail	
1	53461 22313	 * 	249.68	紫3攻速3伤害3基地爆炸1技能	1技能2立即金币3核48a伤害5a最后敌人689基地爆炸78a攻速8a序列升级
2	43461 22313	   	241.37	紫3攻速3伤害3基地爆炸	1随机矿2立即金币3核48a伤害5a最后敌人689基地爆炸78a攻速8a序列升级
3	53463 22122	 * 	235.53	紫1基础对甲2易伤1攻速1伤害1暴击1技能	1技能2立即金币3核4伤害5暴击6a易伤7基础对甲8随机矿9攻速
4	53463 22322	   	235.53	紫1基础对甲2易伤1攻速1伤害1暴击1技能	1技能2立即金币3核4伤害5暴击6a易伤7基础对甲8金币生成9攻速
5	53463 22112	 * 	227.93	紫1基础对甲2伤害1易伤2暴击1技能	1技能2立即金币3核4a伤害5a暴击6易伤7基础对甲8随机矿9a最后敌人a序列升级
6	53463 22222	   	227.93	紫1基础对甲2伤害1易伤2暴击1技能	1技能2立即金币3核4a伤害5a暴击6易伤7基础对甲8a低血量敌人9随机矿a序列升级
7	53461 22321	 * 	226.86	紫2攻速2伤害2基地爆炸2暴击1技能	1技能2立即金币3核48伤害5最后敌人68基地爆炸78攻速8序列升级9a暴击
8	53463 22123	   	222.90	紫1基础对甲1易伤1攻速1伤害1暴击1技能	1技能2立即金币3核4伤害5暴击6易伤7基础对甲8随机矿9攻速a雷电
9	53463 22323	   	222.90	紫1基础对甲1易伤1攻速1伤害1暴击1技能	1技能2立即金币3核4伤害5暴击6易伤7基础对甲8金币生成9攻速a雷电
10	53463 22121	   	222.80	紫1基础对甲1易伤1攻速1伤害1暴击1技能	1技能2立即金币3核4伤害5暴击6易伤7基础对甲8随机矿9攻速a挖尘
11	53463 22321	   	222.80	紫1基础对甲1易伤1攻速1伤害1暴击1技能	1技能2立即金币3核4伤害5暴击6易伤7基础对甲8金币生成9攻速a挖尘
12	53461 22332	   	222.56	紫3伤害2攻速2基地爆炸1技能	1技能2立即金币3核48a伤害5最后敌人68基地爆炸78攻速8序列升级9随机矿
13	53461 22322	   	220.55	紫2攻速2伤害2基地爆炸1暴击1技能	1技能2立即金币3核48伤害5最后敌人68基地爆炸78攻速8序列升级9暴击a时间
14	53461 22323	   	220.55	紫2攻速2伤害2基地爆炸1暴击1技能	1技能2立即金币3核48伤害5a最后敌人68基地爆炸78攻速8序列升级9暴击
