0	Index      	 *	Score 	Summary	Detail	
1	65223 23336	 * 	328.66	DCR|3VULN|3MLV|2DMG|1TLV	18aVULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9AEBURN
2	65223 23326	   	323.51	DCR|3MLV|2VULN|2DMG|1TLV|1AAC	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9FEWX|aAAC
3	61211 66131	 * 	322.37	DCR|DCR|2VULN|1TLV|1MLV|1CDMG	18VULN|2AME|3TLV|4CDMG|5AETHUN|6DUR|7MLV|9aRCR
4	65223 23315	 * 	322.27	DCR|3MLV|2VULN|3DMG|1TLV	18VULN|28aDMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9CGEN
5	65223 23316	   	316.28	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9CGEN|aNUKE
6	65223 23311	   	314.93	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9CGEN|aDUR
7	63236 33336	   	314.51	DCR|3VULN|3MLV|1TLV|1AAC|2RAT	18aVULN|2AAC|3TLV|458MLV|68RAT|7RCR|8BPWR|9AEBURN
8	63223 23336	   	314.51	DCR|3VULN|3MLV|1TLV|1AAC|2RAT	18aVULN|2AAC|3TLV|48RAT|568MLV|7RCR|8BPWR|9AEBURN
9	63223 23356	   	314.51	DCR|3VULN|3MLV|1TLV|1AAC|2RAT	18aVULN|2AAC|3TLV|48RAT|568MLV|7RCR|8BPWR|9AEWIND
10	61211 16131	   	313.96	DCR|DCR|2VULN|1TLV|1MLV|1CDMG	18VULN|2AME|3TLV|4CDMG|5AETHUN|6DUST|7MLV|9aRCR
11	65223 23332	   	313.13	DCR|3MLV|2VULN|2DMG|1TLV|2RAT	18VULN|28DMG|3TLV|4aRAT|568MLV|7RCR|8BPWR|9AEBURN
12	65223 23352	   	313.13	DCR|3MLV|2VULN|2DMG|1TLV|2RAT	18VULN|28DMG|3TLV|4aRAT|568MLV|7RCR|8BPWR|9AEWIND
13	63236 33315	   	312.54	DCR|3MLV|2VULN|1TLV|1DMG|1AAC|2RAT	18VULN|2AAC|3TLV|458MLV|68RAT|7RCR|8BPWR|9CGEN|aDMG
14	63223 23315	   	312.54	DCR|3MLV|2VULN|1TLV|1DMG|1AAC|2RAT	18VULN|2AAC|3TLV|48RAT|568MLV|7RCR|8BPWR|9CGEN|aDMG
15	64241 33313	 * 	311.47	DCR|2VULN|2MLV|2TLV|1DMG|1AAC|2RAT	18VULN|23TLV|4AAC|58MLV|68RAT|7RCR|8BPWR|9DMG|aDUR
16	32223 23323	 * 	308.24	DCR|3MLV|3DMG|3ASPD|1VULN	18aDMG|28aASPD|3VULN|4RAT|568MLV|7RCR|8aBPWR|9aFEWX
17	63236 33326	 * 	307.57	DCR|3MLV|2VULN|2AAC|1TLV|2RAT	18VULN|2aAAC|3TLV|458MLV|68RAT|7RCR|8BPWR|9FEWX
18	63223 23326	   	307.57	DCR|3MLV|2VULN|2AAC|1TLV|2RAT	18VULN|2aAAC|3TLV|48RAT|568MLV|7RCR|8BPWR|9FEWX
19	63223 23366	   	307.47	DCR|3MLV|2VULN|2AAC|1TLV|2RAT	18VULN|2aAAC|3TLV|48RAT|568MLV|7RCR|8BPWR|9DUST
20	65223 23313	   	306.62	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9CGEN|aRPLT
21	65223 23321	   	306.62	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9FEWX|aLWND
22	65223 23322	   	306.62	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9FEWX|aTBNT
23	65223 23323	   	306.62	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9FEWX|aLHND
24	65223 23325	   	306.62	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9FEWX|aRPLT
25	65223 23312	   	306.52	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9CGEN|aMBVNT
26	65223 23314	   	306.52	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9CGEN|aDUST
27	65223 23334	   	306.52	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9AEBURN|aLHND
28	65223 23361	   	306.52	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9DUST|aLWND
29	65223 23362	   	306.52	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9DUST|aTBNT
30	65223 23363	   	306.52	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9DUST|aLHND
31	65223 23331	   	306.42	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9AEBURN|aERES
