0	Index      	 *	Score 	Summary	Detail	
1	13633 22838	 * 	277.02	DCR|DCR|1VULN|1TLV|1ASPD	1DUST|2BELT|3MBVNT|4VULN|5TLV|6aRCR|7RAT|8AART|9ASPD
2	53321 26124	 * 	274.02	DCR|3DMG|2TLV|1VULN|1MLV|2CDMG	124ZMB|248BPWR|348DMG|5MLV|68TLV|78CDMG|9RCR|aVULN
3	53321 42124	 * 	269.81	DCR|2MLV|3DMG|1VULN|2CDMG|1ASPD	124ZMB|247BPWR|347DMG|57MLV|67CDMG|8ASPD|9RCR|aVULN
4	45332 22335	 * 	266.51	DCR|3VULN|2AAC|1TLV|1MLV	157VULN|2BEXP|3BBNT|4TLV|6MLV|89AAC|aRCR
5	11513 62512	   	259.27	DCR|DCR|1VULN|1TLV|1CDMG	1DUST|2FEWX|3LIT|4TBNT|5TLV|6CDMG|7aRCR|8SPLARM|9VULN
6	11523 62512	   	259.27	DCR|DCR|1VULN|1TLV|1CDMG	1DUST|2FEWX|3LIT|4BBNT|5TLV|6CDMG|7aRCR|8SPLARM|9VULN
7	21513 62212	   	259.27	DCR|DCR|1VULN|1TLV|1CDMG	1LHND|2FEWX|3LIT|4TBNT|5TLV|6CDMG|7aRCR|8FRZFST|9VULN
8	21523 62212	   	259.27	DCR|DCR|1VULN|1TLV|1CDMG	1LHND|2FEWX|3LIT|4BBNT|5TLV|6CDMG|7aRCR|8FRZFST|9VULN
9	31513 62512	   	259.27	DCR|DCR|1VULN|1TLV|1CDMG	1BEXP|2FEWX|3LIT|4TBNT|5TLV|6CDMG|7aRCR|8SPLARM|9VULN
10	31523 62512	   	259.27	DCR|DCR|1VULN|1TLV|1CDMG	1BEXP|2FEWX|3LIT|4BBNT|5TLV|6CDMG|7aRCR|8SPLARM|9VULN
11	11513 62212	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1DUST|2FEWX|3LIT|4TBNT|5TLV|6CDMG|7aRCR|8FRZFST|9VULN
12	11523 62212	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1DUST|2FEWX|3LIT|4BBNT|5TLV|6CDMG|7aRCR|8FRZFST|9VULN
13	22513 62212	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1LHND|2DUST|3LIT|4TBNT|5TLV|6CDMG|7aRCR|8FRZFST|9VULN
14	22523 62212	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1LHND|2DUST|3LIT|4BBNT|5TLV|6CDMG|7aRCR|8FRZFST|9VULN
15	25513 62212	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1LHND|2BEXP|3LIT|4TBNT|5TLV|6CDMG|7aRCR|8FRZFST|9VULN
16	25523 62212	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1LHND|2BEXP|3LIT|4BBNT|5TLV|6CDMG|7aRCR|8FRZFST|9VULN
17	31513 62212	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1BEXP|2FEWX|3LIT|4TBNT|5TLV|6CDMG|7aRCR|8FRZFST|9VULN
18	31523 62212	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1BEXP|2FEWX|3LIT|4BBNT|5TLV|6CDMG|7aRCR|8FRZFST|9VULN
19	14126 62212	   	259.07	DCR|DCR|1VULN|1TLV|1CDMG	1DUST|2TLV|3LIT|4AETHUN|5BBNT|6CDMG|7aRCR|8MULHEA|9VULN
20	45331 22335	 * 	258.54	DCR|2VULN|2TLV|2AAC|1MLV	17VULN|25BEXP|3BBNT|45TLV|5BPWR|6MLV|89AAC|aRCR
21	24324 12261	 * 	257.20	DCR|3VULN|2TLV|1MLV	15LHND|26TLV|3CGEN|457VULN|5BPWR|8RCR|9MLV|aDUR
22	24324 12251	 * 	256.56	DCR|5VULN|2TLV	15aLHND|26TLV|3aCGEN|4579aVULN|5aBPWR|8RCR
23	11514 12512	 * 	255.77	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2FEWX|3LIT|4TBNT|5CDMG|6MLV|7aRCR|8SPLARM|9VULN
24	11524 12512	   	255.77	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2FEWX|3LIT|4BBNT|5CDMG|6MLV|7aRCR|8SPLARM|9VULN
25	21514 12212	   	255.77	DCR|DCR|1VULN|1MLV|1CDMG	1LHND|2FEWX|3LIT|4TBNT|5CDMG|6MLV|7aRCR|8FRZFST|9VULN
26	21524 12212	   	255.77	DCR|DCR|1VULN|1MLV|1CDMG	1LHND|2FEWX|3LIT|4BBNT|5CDMG|6MLV|7aRCR|8FRZFST|9VULN
27	31514 12512	   	255.77	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2FEWX|3LIT|4TBNT|5CDMG|6MLV|7aRCR|8SPLARM|9VULN
28	31524 12512	   	255.77	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2FEWX|3LIT|4BBNT|5CDMG|6MLV|7aRCR|8SPLARM|9VULN
29	11514 12212	   	255.67	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2FEWX|3LIT|4TBNT|5CDMG|6MLV|7aRCR|8FRZFST|9VULN
30	11524 12212	   	255.67	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2FEWX|3LIT|4BBNT|5CDMG|6MLV|7aRCR|8FRZFST|9VULN
31	22514 12212	   	255.67	DCR|DCR|1VULN|1MLV|1CDMG	1LHND|2DUST|3LIT|4TBNT|5CDMG|6MLV|7aRCR|8FRZFST|9VULN
32	22524 12212	   	255.67	DCR|DCR|1VULN|1MLV|1CDMG	1LHND|2DUST|3LIT|4BBNT|5CDMG|6MLV|7aRCR|8FRZFST|9VULN
33	25514 12212	   	255.67	DCR|DCR|1VULN|1MLV|1CDMG	1LHND|2BEXP|3LIT|4TBNT|5CDMG|6MLV|7aRCR|8FRZFST|9VULN
34	25524 12212	   	255.67	DCR|DCR|1VULN|1MLV|1CDMG	1LHND|2BEXP|3LIT|4BBNT|5CDMG|6MLV|7aRCR|8FRZFST|9VULN
35	31514 12212	   	255.67	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2FEWX|3LIT|4TBNT|5CDMG|6MLV|7aRCR|8FRZFST|9VULN
36	31524 12212	   	255.67	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2FEWX|3LIT|4BBNT|5CDMG|6MLV|7aRCR|8FRZFST|9VULN
37	13323 22312	 * 	255.45	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2BELT|3DMG|4DUR|5TBNT|6TLV|7LSRICY|89RCR|aCDMG
38	13351 22312	   	255.45	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2BELT|3DMG|4BBNT|5DUR|6TLV|7LSRICY|89RCR|aCDMG
39	45332 22115	 * 	254.58	DCR|3VULN|1TLV|1MLV|1DMG	157VULN|2BEXP|3BBNT|4TLV|6MLV|8DMG|9RCVC|aRCR
40	41332 12155	   	254.58	DCR|3VULN|1TLV|1MLV|1DMG	157VULN|2FEWX|3BBNT|4TLV|6AEFBLL|8MLV|9DMG|aRCR
41	42332 12155	   	254.48	DCR|3VULN|1TLV|1MLV|1DMG	157VULN|2DUST|3BBNT|4TLV|6AEFBLL|8MLV|9DMG|aRCR
42	14132 23625	   	253.93	DCR|DCR|1VULN|1TLV	1DUST|2TLV|3LIT|4BELT|5RMIN|6RPLT|7VULN|8DUR|9aRCR
43	41111 23311	 * 	253.68	DCR|3VULN|1TLV|2ASPD	15aVULN|2aFEWX|3RMIN|4DUR|6TLV|7AART|8RCR|9aASPD|aBPWR
44	41122 23311	   	253.68	DCR|3VULN|1TLV|2ASPD	14aVULN|2aFEWX|3RMIN|5DUR|6TLV|7AART|8RCR|9aASPD|aBPWR
45	53326 53231	 * 	252.09	DCR|3VULN|2DMG|1TLV	124ZMB|24BPWR|34DMG|568VULN|7AART|9RCR|aTLV
46	45332 22315	   	251.41	DCR|3VULN|1TLV|1MLV|1AAC	157VULN|2BEXP|3BBNT|4TLV|6MLV|8AAC|9RCVC|aRCR
47	21222 16125	 * 	250.03	ACR|DCR|2VULN|1TLV	1LHND|2FEWX|37VULN|4ERES|5aRCR|6RAT|8TLV|9DUR
48	22222 16125	   	249.93	ACR|DCR|2VULN|1TLV	1LHND|2DUST|37VULN|4ERES|5aRCR|6RAT|8TLV|9DUR
