0	Index      	 *	Score 	Summary	Detail	
1	11236 36612	 * 	285.94	DCR|DCR|2TLV|1VULN|1ASPD	1RMIN|29TLV|3RAT|4ASPD|5CGEN|6TBNT|7aRCR|8VULN
2	26322 42612	 * 	281.18	DCR|DCR|1VULN|1MLV|1AAC|2DUR	15DUST|2AAC|35DUR|4MDPS|5BPWR|6MLV|7aRCR|8RAT|9VULN
3	36261 22612	   	280.52	DCR|DCR|1VULN|1TLV|1AAC	1DUR|2AAC|3TLV|4LEGI|5AETHUN|6LHND|7aRCR|8RAT|9VULN
4	33123 35242	 * 	279.67	DCR|DCR|2VULN|1DMG	1DUR|2FEWX|3ERES|4MDPS|59VULN|6aRCR|7DMG|8RAT
5	32123 35242	   	279.57	DCR|DCR|2VULN|1DMG	1DUR|2DUST|3ERES|4MDPS|59VULN|6aRCR|7DMG|8RAT
6	34123 35242	   	279.57	DCR|DCR|2VULN|1DMG	1DUR|2BEXP|3ERES|4MDPS|59VULN|6aRCR|7DMG|8RAT
7	22234 46112	   	278.18	DCR|DCR|1VULN|1TLV|1ASPD|2RAT	12DUST|38RAT|4ASPD|5BBNT|6TLV|7aRCR|9VULN
8	32123 36632	   	276.40	DCR|DCR|2VULN|1AAC	1DUR|2DUST|3ERES|4MDPS|57VULN|6aRCR|8RAT|9AAC
9	34123 36632	   	276.40	DCR|DCR|2VULN|1AAC	1DUR|2BEXP|3ERES|4MDPS|57VULN|6aRCR|8RAT|9AAC
10	32123 33342	 * 	276.03	DCR|DCR|3VULN	1DUR|2DUST|3ERES|4MDPS|59aVULN|68RCR|7BBNT
11	26311 42612	   	274.53	DCR|DCR|1VULN|1MLV|1AAC	1DUST|2AAC|3DUR|4LEGI|5BEXP|6MLV|7aRCR|8RAT|9VULN
12	36233 52331	   	273.58	DCR|DCR|1VULN|1TLV|1AAC	1DUR|2AAC|3TLV|4AEWIND|5LIT|69RCR|7BASARM|8CGEN|aVULN
13	36233 52413	   	273.33	DCR|DCR|1VULN|1TLV|1AAC|1SELL	1DUR|2AAC|3TLV|4AEWIND|5LIT|6aRCR|7BASARM|8SELL|9VULN
14	26261 22612	   	272.11	DCR|DCR|1VULN|1TLV|1AAC	1DUST|2AAC|3TLV|4LEGI|5AETHUN|6LHND|7aRCR|8RAT|9VULN
15	11234 66312	   	271.77	DCR|DCR|1VULN|1TLV|1ASPD	1RMIN|2TLV|3RAT|4ASPD|5BBNT|68CGEN|7aRCR|9VULN
16	11236 36312	   	271.77	DCR|DCR|1VULN|1TLV|1ASPD	1RMIN|2TLV|3RAT|4ASPD|58CGEN|6TBNT|7aRCR|9VULN
