0	Index      	 *	Score 	Summary	Detail	
1	11124 52236	 * 	301.11	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BASARM|2FEWX|3MLV|4LEGI|5RAT|6VULN|7TLV|89RCR|aDMG
2	35224 32612	 * 	296.02	DCR|DCR|2DMG|1VULN|1MLV|1ASPD	1ASPD|2DUST|3MLV|48DMG|5LIT|6aRCR|7VULN|9RPLT
3	14124 52231	   	295.97	DCR|DCR|1VULN|1TLV|1MLV|2RAT	1BASARM|2DUR|3MLV|4LEGI|5aRAT|6VULN|7TLV|89RCR
4	14124 52232	   	289.25	DCR|DCR|1VULN|1TLV|1MLV	1BASARM|2DUR|3MLV|4LEGI|5RAT|6VULN|7TLV|89RCR|aDUST
5	14124 52233	   	289.25	DCR|DCR|1VULN|1TLV|1MLV	1BASARM|2DUR|3MLV|4LEGI|5RAT|6VULN|7TLV|89RCR|aCANARM
6	11124 52231	   	287.66	DCR|DCR|1VULN|1TLV|1MLV|2RAT	1BASARM|2FEWX|3MLV|4LEGI|5aRAT|6VULN|7TLV|89RCR
7	15124 52231	   	287.56	DCR|DCR|1VULN|1TLV|1MLV|2RAT	1BASARM|2DUST|3MLV|4LEGI|5aRAT|6VULN|7TLV|89RCR
8	32222 12145	 * 	287.52	DCR|2MLV|2DMG|1VULN|2ASPD|1AAC|1CDMG	17ASPD|2CDMG|37MLV|4BBNT|57DMG|6AAC|7BPWR|8VULN|9RCR|aDUR
9	32222 12144	   	286.16	DCR|2MLV|2DMG|1VULN|2ASPD|1AAC|1CDMG	17ASPD|2CDMG|37MLV|4BBNT|57DMG|6AAC|7BPWR|8VULN|9RCR|aRAT
10	43342 41233	 * 	283.27	DCR|DCR|2MLV|1TLV	1LWND|2FEWX|3RAT|4FRZARM|5TLV|6aMLV|7DUR|89RCR
11	63342 41233	   	283.27	DCR|DCR|2MLV|1TLV	1LHND|2FEWX|3RAT|4FRZARM|5TLV|6aMLV|7DUR|89RCR
12	32512 24163	 * 	282.87	DCR|2VULN|2MLV|1TLV|2ASPD|1CDMG	1aASPD|2CDMG|3RCVC|4aMLV|5TLV|6DUST|7aVULN|8RPLT|9RCR|aBPWR
13	11124 52234	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1BASARM|2FEWX|3MLV|4LEGI|5RAT|6VULN|7TLV|89RCR|aLHND
14	11124 52235	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1BASARM|2aFEWX|3MLV|4LEGI|5RAT|6VULN|7TLV|89RCR
15	11124 52232	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1BASARM|2FEWX|3MLV|4LEGI|5RAT|6VULN|7TLV|89RCR|aDUST
16	11124 52233	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1BASARM|2FEWX|3MLV|4LEGI|5RAT|6VULN|7TLV|89RCR|aCANARM
17	15124 52233	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1BASARM|2DUST|3MLV|4LEGI|5RAT|6VULN|7TLV|89RCR|aRPLT
18	15124 52232	   	280.85	DCR|DCR|1VULN|1TLV|1MLV	1BASARM|2aDUST|3MLV|4LEGI|5RAT|6VULN|7TLV|89RCR
19	31312 31546	   	280.22	DCR|DCR|1TLV|1MLV|1ASPD|1CDMG	1ASPD|2MDPS|3AART|4ERES|5LIT|6TLV|7aRCR|8CDMG|9MLV
20	23632 12346	 * 	279.76	DCR|2VULN|2TLV|1MLV|1DMG|1AAC|1ASPD	1AETHUN|2ASPD|3DMG|4MLV|57TLV|69VULN|8RCR|aAAC
21	32222 12143	   	279.22	DCR|2MLV|2DMG|1VULN|2ASPD|1AAC|1CDMG	17ASPD|2CDMG|37MLV|4BBNT|57DMG|6AAC|7BPWR|8VULN|9RCR|aLWND
22	32222 12146	   	279.22	DCR|2MLV|2DMG|1VULN|2ASPD|1AAC|1CDMG	17ASPD|2CDMG|37MLV|4BBNT|57DMG|6AAC|7BPWR|8VULN|9RCR|aRPLT
23	32222 12135	   	279.12	DCR|2MLV|2DMG|1VULN|2ASPD|1AAC|1CDMG	17ASPD|2CDMG|37MLV|4BBNT|57DMG|6AAC|7BPWR|8VULN|9MDPS|aRCR
24	32222 12141	   	279.12	DCR|2MLV|2DMG|1VULN|2ASPD|1AAC|1CDMG	17ASPD|2CDMG|37MLV|4BBNT|57DMG|6AAC|7BPWR|8VULN|9RCR|aBASHEA
25	32222 12142	   	279.12	DCR|2MLV|2DMG|1VULN|2ASPD|1AAC|1CDMG	17ASPD|2CDMG|37MLV|4BBNT|57DMG|6AAC|7BPWR|8VULN|9RCR|aLEGI
26	32222 12151	   	279.12	DCR|2MLV|2DMG|1VULN|2ASPD|1AAC|1CDMG	17ASPD|2CDMG|37MLV|4BBNT|57DMG|6AAC|7BPWR|8VULN|9ERES|aRCR
27	32222 12164	   	279.12	DCR|2MLV|2DMG|1VULN|2ASPD|1AAC|1CDMG	17ASPD|2CDMG|37MLV|4BBNT|57DMG|6AAC|7BPWR|8VULN|9DUST|aRCR
28	32222 12241	 * 	278.98	DCR|3MLV|2DMG|2ASPD|1AAC|1CDMG	17ASPD|2CDMG|37aMLV|4BBNT|57DMG|6AAC|7BPWR|8DUR|9RCR
29	35224 32412	   	278.33	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1ASPD|28DUST|3MLV|4DMG|5LIT|6aRCR|7VULN|9RPLT
30	43342 43233	   	274.86	DCR|DCR|2MLV|1TLV	1LWND|2FEWX|3RAT|4FRZARM|5TLV|6aMLV|7BEXP|89RCR
31	63342 43233	   	274.86	DCR|DCR|2MLV|1TLV	1LHND|2FEWX|3RAT|4FRZARM|5TLV|6aMLV|7BEXP|89RCR
32	23631 64122	   	273.77	DCR|2MLV|2DMG|1VULN|2ASPD|1AAC	1AETHUN|27ASPD|37DMG|47MLV|5AAC|6RCR|7BPWR|8ZMB|9DUR|aVULN
33	24551 21332	   	272.66	DCR|DCR|1TLV|1MLV|1AAC|1CDMG	1AETHUN|2LHND|3BELT|4TLV|5AME|67RCR|8CDMG|9AAC|aMLV
34	23631 23133	   	271.37	DCR|2MLV|2DMG|1VULN|1AAC|1ASPD|1CDMG	1AETHUN|2ASPD|36DMG|46MLV|5AAC|6BPWR|7RAT|8RCR|9CDMG|aVULN
