0	Index      	 *	Score 	Summary	Detail	
1	34123 21636	 * 	308.26	DCR|3VULN|3MLV|1TLV|2DUR	1MDPS|248MLV|348VULN|48BPWR|5AART|6RCR|78DUR|9FEWX|aTLV
2	52511 21842	 * 	296.53	ACR|DCR|3VULN|2ASPD|1MLV	17RCR|28ASPD|368ZMB|4MBVNT|568VULN|68BPWR|9DUR|aMLV
3	34123 21631	   	296.23	DCR|3VULN|3MLV|1DMG|2DUR	1MDPS|248MLV|348VULN|48BPWR|5AART|6RCR|78DUR|9FEWX|aDMG
4	34123 21651	   	296.23	DCR|3VULN|3MLV|1DMG|2DUR	1MDPS|248MLV|348VULN|48BPWR|5AART|6RCR|78DUR|9LHND|aDMG
5	34123 21611	   	296.13	DCR|3VULN|3MLV|1DMG|2DUR	1MDPS|248MLV|348VULN|48BPWR|5AART|6RCR|78DUR|9DUST|aDMG
6	34123 21641	   	296.13	DCR|3VULN|3MLV|1DMG|2DUR	1MDPS|248MLV|348VULN|48BPWR|5AART|6RCR|78DUR|9MBVNT|aDMG
7	34126 23313	 * 	293.31	DCR|3VULN|2MLV|1TLV|2ASPD	1MDPS|24MLV|346VULN|4BPWR|59ASPD|7RMIN|8RCR|aTLV
8	34123 21633	   	292.42	DCR|3VULN|3MLV|1ASPD|2DUR	1MDPS|248MLV|348VULN|48BPWR|5AART|6RCR|78DUR|9FEWX|aASPD
9	34123 21653	   	292.42	DCR|3VULN|3MLV|1ASPD|2DUR	1MDPS|248MLV|348VULN|48BPWR|5AART|6RCR|78DUR|9LHND|aASPD
10	34123 21613	   	292.32	DCR|3VULN|3MLV|1ASPD|2DUR	1MDPS|248MLV|348VULN|48BPWR|5AART|6RCR|78DUR|9DUST|aASPD
11	34123 21643	   	292.32	DCR|3VULN|3MLV|1ASPD|2DUR	1MDPS|248MLV|348VULN|48BPWR|5AART|6RCR|78DUR|9MBVNT|aASPD
12	52511 21812	   	288.22	ACR|DCR|3VULN|2ASPD|1MLV	17RCR|28ASPD|368ZMB|4MBVNT|568VULN|68BPWR|9FEWX|aMLV
13	52511 21832	   	288.12	ACR|DCR|3VULN|2ASPD|1MLV	17RCR|28ASPD|368ZMB|4MBVNT|568VULN|68BPWR|9DUST|aMLV
14	52211 12317	 * 	287.61	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|1CDMG	19RCR|2ASPD|3CGEN|4MBVNT|5VULN|6TLV|7DMG|8CDMG|aMLV
15	34126 16313	   	286.64	DCR|2VULN|2MLV|1TLV|2ASPD|1AAC	1MDPS|24MLV|34VULN|4BPWR|59ASPD|6AAC|7AEFRZ|8RCR|aTLV
16	34123 21413	   	283.30	DCR|3VULN|2MLV|1DMG|1ASPD	1MDPS|24MLV|349VULN|4BPWR|5AART|6RCR|7DUR|8DMG|aASPD
17	34123 21661	   	283.11	DCR|3VULN|3MLV|2DUR	1MDPS|248MLV|348VULN|48BPWR|5AART|6RCR|78DUR|9RAT|aLIT
18	34123 21663	   	283.11	DCR|3VULN|3MLV|2DUR	1MDPS|248MLV|348VULN|48BPWR|5AART|6RCR|78DUR|9RAT|aAME
19	34123 21662	   	283.01	DCR|3VULN|3MLV|2DUR	1MDPS|248MLV|348VULN|48BPWR|5AART|6RCR|78DUR|9RAT|aERES
20	34126 23312	 * 	281.36	DCR|4VULN|2MLV|2ASPD	1MDPS|24MLV|346aVULN|4BPWR|59ASPD|7RMIN|8RCR
