0	Index      	 *	Score 	Summary	Detail	
1	42362 24123	 * 	293.99	ACR|3MLV|3DMG|3ASPD|1VULN|1TLV	179MLV|2MDPS|3TLV|479DMG|5RCR|679ASPD|79BPWR|8RMIN|aVULN
2	15213 51431	 * 	286.84	DCR|3MLV|2VULN|1TLV|1AAC	18AME|2AAC|3BELT|458MLV|6RCR|78VULN|8BPWR|9DUR|aTLV
3	15213 51411	   	278.53	DCR|3MLV|2VULN|1TLV|1AAC	18AME|2AAC|3BELT|458MLV|6RCR|78VULN|8BPWR|9FEWX|aTLV
4	12323 16131	 * 	274.48	DCR|DCR|1VULN|1TLV|1MLV	1AME|2MDPS|3TLV|4TBNT|5MBVNT|69RCR|7DUST|8MLV|aVULN
5	42323 13131	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2MDPS|3TLV|4TBNT|5MBVNT|69RCR|7AME|8DUST|aVULN
6	42323 16631	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2MDPS|3TLV|4TBNT|5MBVNT|69RCR|7DUST|8CGEN|aVULN
7	42323 18131	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2MDPS|3TLV|4TBNT|5MBVNT|69RCR|7CGEN|8DUST|aVULN
8	45211 61122	   	266.50	DCR|3MLV|1VULN|1TLV|1AAC|1ASPD	14aMLV|2AAC|3BELT|5VULN|6LWND|7TLV|8RCR|9ASPD
9	45212 33126	   	266.40	DCR|3MLV|1VULN|1TLV|1AAC|1ASPD	149MLV|2AAC|3BELT|5ASPD|6TLV|7LEGI|8RCR|aVULN
10	32363 42125	 * 	265.05	DCR|2VULN|1TLV|1MLV|1DMG|2RAT	13RAT|2AART|3BPWR|4TLV|5DUR|6MLV|7DMG|89VULN|aRCR
11	42362 24222	   	264.91	ACR|3MLV|2DMG|1VULN|1TLV|2ASPD	17aMLV|2MDPS|3TLV|47DMG|5RCR|67ASPD|7BPWR|8CGEN|9VULN
12	15211 51431	   	264.41	DCR|2VULN|2MLV|1TLV|1AAC	158AME|2AAC|3BELT|48MLV|6RCR|78VULN|8BPWR|9DUR|aTLV
13	45211 11124	   	264.21	DCR|2VULN|2MLV|1TLV|1AAC	14MLV|2AAC|3BELT|5aVULN|6DUR|7TLV|8RCR|9BBNT
