0	Index      	 *	Score 	Summary	Detail	
1	41223 53153	 * 	287.68	ACR|DCR|2VULN|1TLV|1MLV|1CDMG	1RMIN|2TLV|3DUR|4DLOT|56RCR|7MLV|8CDMG|9aVULN
2	41223 52253	   	280.96	ACR|DCR|2VULN|1TLV|1MLV	1RMIN|2TLV|3DUR|4DLOT|56RCR|7RAT|8aVULN|9MLV
3	41335 21232	 * 	276.56	DCR|DCR|2VULN|1TLV	1RMIN|2TLV|3VENICY|4AEFRZ|58VULN|6LWND|7aRCR|9BELT
4	34224 21433	 * 	263.28	DCR|DCR|1TLV|1MLV	1AEFBLL|29CGEN|3RAT|4DUR|5TLV|6aRCR|7AART|8MLV
5	23122 54631	   	261.69	DCR|DCR|1TLV|1MLV|1CDMG	1LHND|2CDMG|3BLAICY|4TLV|5AART|6aRCR|7LIT|8CGEN|9MLV
6	23122 54531	   	261.59	DCR|DCR|1TLV|1MLV|1CDMG	1LHND|2CDMG|3BLAICY|4TLV|5AART|6aRCR|7LIT|8ERES|9MLV
7	53122 54331	   	261.59	DCR|DCR|1TLV|1MLV|1CDMG	1BEXP|2CDMG|3BLAICY|4TLV|5AART|6aRCR|7LIT|8CGEN|9MLV
8	21125 33531	 * 	259.93	DCR|2VULN|2TLV|2ASPD|1MLV	1LHND|28ASPD|3FEWX|4DUST|58VULN|6MLV|78TLV|8BPWR|9LWND|aRCR
9	21125 33553	   	259.93	DCR|2VULN|2TLV|2ASPD|1MLV	1LHND|28ASPD|39FEWX|4DUST|58VULN|6MLV|78TLV|8BPWR|aRCR
10	21125 33523	   	259.83	DCR|2VULN|2TLV|2ASPD|1MLV	1LHND|28ASPD|3FEWX|4DUST|58VULN|6MLV|78TLV|8BPWR|9AEPOI|aRCR
11	41223 53113	   	259.60	ACR|DCR|1VULN|1TLV|1MLV|1CDMG	1RMIN|2TLV|3DUR|4DLOT|56RCR|7MLV|8CDMG|9BBNT|aVULN
12	41223 53151	   	259.60	ACR|DCR|1VULN|1TLV|1MLV|1CDMG	1RMIN|2TLV|3DUR|4DLOT|56RCR|7MLV|8CDMG|9VULN|aFEWX
13	41223 53152	   	259.60	ACR|DCR|1VULN|1TLV|1MLV|1CDMG	1RMIN|2TLV|3DUR|4DLOT|56RCR|7MLV|8CDMG|9VULN|aTBNT
14	41223 55313	   	259.60	ACR|DCR|1VULN|1TLV|1MLV|1CDMG	1RMIN|2TLV|3DUR|4DLOT|56RCR|7BBNT|8CDMG|9MLV|aVULN
15	41223 52251	   	259.50	ACR|DCR|1VULN|1TLV|1MLV|2RAT	1RMIN|2TLV|3DUR|4DLOT|56RCR|7aRAT|8VULN|9MLV
16	41223 53163	   	259.50	ACR|DCR|1VULN|1TLV|1MLV|1CDMG	1RMIN|2TLV|3DUR|4DLOT|56RCR|7MLV|8CDMG|9DUST|aVULN
17	11512 41138	   	258.67	DCR|DCR|1TLV|1ASPD|1CDMG	1RAT|2RMIN|3ASPD|4LWND|5CDMG|6aRCR|7MBVNT|8DUR|9TLV
18	21352 41138	   	258.67	DCR|DCR|1TLV|1ASPD|1CDMG	1LHND|2ASPD|3RMIN|4RAT|5CDMG|6aRCR|7MBVNT|8DUR|9TLV
19	41213 24131	 * 	258.20	DCR|3VULN|2TLV|1AAC|2DUR	1RMIN|2aTLV|39DUR|4aAME|58aVULN|6RCR|7AAC|aBPWR
