0	Index      	 *	Score 	Summary	Detail	
1	21344 11174	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1MLV|2DUR|3ZMB|45VULN|6LWND|7MBVNT|8RCR|9CDMG|aMDPS
2	12223 74444	 * 	357.67	DCR|2MDPS|1VULN|1DUR|1SELL	1SELL|2MBVNT|34DUST|5VULN|6LWND|7RCR|8DUR|9aMDPS
3	23641 31633	 * 	354.89	ACR|3VULN|1MDPS|1DMG|1DUR	1MLV|26AEBURN|346VULN|5RCR|6BPWR|7DMG|8AEWIND|9DUR|aMDPS
4	12463 13674	 * 	352.29	3VULN|1MDPS|3DMG|3DUR|1SELL	1SELL|2MBVNT|389DMG|489DUR|589VULN|6LEGI|7RPLT|89BPWR|aMDPS
5	11541 43221	 * 	341.51	4VULN|1MDPS|1CDMG|1DUR|1SELL	1SELL|2CDMG|356BEXP|4567VULN|56BPWR|8RAT|9DUR|aMDPS
6	11611 43221	 * 	341.51	4VULN|1MDPS|1CDMG|1DUR|1SELL	1SELL|2CDMG|3567VULN|456FEWX|56BPWR|8RAT|9DUR|aMDPS
7	11141 43221	 * 	341.21	4VULN|1MDPS|1CDMG|1DUR|1SELL	1SELL|2CDMG|356DUST|4567VULN|56BPWR|8RAT|9DUR|aMDPS
8	11643 11215	 * 	341.21	4VULN|1MDPS|1CDMG|1DUR|1SELL	1SELL|2CDMG|3489VULN|5DUR|6AEPOI|7LWND|aMDPS
9	11643 12215	 * 	341.21	4VULN|1MDPS|1CDMG|1DUR|1SELL	1SELL|2CDMG|3489VULN|5DUR|6AEPOI|7LHND|aMDPS
10	11651 43221	 * 	341.21	4VULN|1MDPS|1CDMG|1DUR|1SELL	1SELL|2CDMG|3567VULN|456DUST|56BPWR|8RAT|9DUR|aMDPS
11	11643 26312	 * 	338.93	2MDPS|2VULN|1CDMG|1DUR|1SELL	1SELL|2CDMG|34VULN|5DUR|6MLV|7aMDPS|8AME|9CANARM
12	11643 63332	 * 	338.93	2MDPS|2VULN|1CDMG|1DUR|1SELL	1SELL|2CDMG|34VULN|5DUR|6BASARM|7DMSP|8aMDPS|9LWND
13	21235 82332	 * 	337.49	DCR|1MDPS|1VULN|1CDMG|2DUR|1DMG	13MLV|23DUR|3BPWR|4LIT|5MBVNT|6RCR|7DMG|8VULN|9CDMG|aMDPS
14	21245 21211	 * 	335.88	2MDPS|2VULN|3DUR|1CDMG	13MLV|235DUR|3BPWR|47VULN|6LWND|89MDPS|aCDMG
